6b43d734fafbef9a1fd91deb902057a8502be7e3930eb609e6af82bf50950f13,0dbb892d358cfceb65937cc231e142faac7a8f563297a82b5558c1f70fa932fb,bcec7bda737f95bf48d15e1dc99edd7fee3841e2c70559b6a956413251375fba,3342e9ff54ab59c06c6453ccb28c3bfba7765be129c0792bf979e422bd02f971,7a95162b1d0a09ea93f4dfa234d3353d62dfdb7f4ee0c79eadbf448362f19dc1,4c33d968c4ea24a073377b611d33f159cc9f1f635d24b831f83b33294d1537a7,6b8d728d1ce97591ab26082806a053a36308c8502e3c931e5c7b1850241ba053,23b6f783c49f83bc7bd3f6e3c1e802f88429f3b1a2c73378980c9d7c60917da6,2836fccd37ee11d57499d31345bec66357a1d5e0c44aa66e78356622a0ba9779,8e9a03f46536319630a4f95c1a1f4fdf18f13b6b5230c55929a794559488d5ee,0c7e3beea87b8ae6b4b3f39bc1f6c6c617cb4d633a2c078e10d233e65043e3d9,54e6abc9007c1efdd06109ab58ba238ee61b7d26f5c7f664c686ee8a381da4de,e7258ced628e7bab5684a792b0f53152e3a5637fd2ffcbb557153d50d7d8624e,165ed21f70f1e68cf1be5441b0427d5d0bf8d71732ba49485284b12b735b0539,65bb221599493b0cff72e40463bbff8f7e28a7bdc3cd7f7dc44f658022e0006a
"25","924072001","92407","92407010","0","96","92407020","924070100","0","前哨冒險","90","1","8","924073001","6"
"25","924072002","92407","92407020","92407010","96","92407030","924070200","0","前哨冒險","90","2","8","924073002","6"
"25","924072003","92407","92407030","92407020","96","0","924070300","0","前哨冒險","90","3","8","924073003","6"
"25","924082001","92408","92408010","0","540","92408020","924080100","0","前哨冒險","90","1","25","924083001","25"
"25","924082002","92408","92408020","92408010","540","92408030","924080200","0","前哨冒險","90","2","25","924083002","25"
"25","924082003","92408","92408030","92408020","540","0","924080300","0","前哨冒險","90","3","25","924083003","25"
"25","924092001","92409","92409010","0","540","92409020","924090100","0","前哨冒險","90","1","25","924093001","25"
"25","924092002","92409","92409020","92409010","540","92409030","924090200","0","前哨冒險","90","2","25","924093002","25"
"25","924092003","92409","92409030","92409020","540","0","924090300","0","前哨冒險","90","3","25","924093003","25"
"25","924102001","92410","92410010","0","540","92410020","924100100","0","前哨冒險","90","1","25","924103001","25"
"25","924102002","92410","92410020","92410010","540","92410030","924100200","0","前哨冒險","90","2","25","924103002","25"
"25","924102003","92410","92410030","92410020","540","0","924100300","0","前哨冒險","90","3","25","924103003","25"
"25","924112001","92411","92411010","0","540","92411020","924110100","0","前哨冒險","90","1","25","924113001","25"
"25","924112002","92411","92411020","92411010","540","92411030","924110200","0","前哨冒險","90","2","25","924113002","25"
"25","924112003","92411","92411030","92411020","540","0","924110300","0","前哨冒險","90","3","25","924113003","25"
"25","924122001","92412","92412010","0","540","92412020","924120100","0","前哨冒險","90","1","25","924123001","25"
"25","924122002","92412","92412020","92412010","540","92412030","924120200","0","前哨冒險","90","2","25","924123002","25"
"25","924122003","92412","92412030","92412020","540","0","924120300","0","前哨冒險","90","3","25","924123003","25"
