442459d95c6f2a4beed36d3e319b74b791460a42d9fd91d7513232d5ffba5c37,b86cb265bf0cebe384b691395e83bc3596b225b977bd84d451a2f05761675d0b,f7dd0afae5c4ed583a4e4c30266e7cc0e19e3a2c57677133d46cd68bac303ce7,a32cba6e513476acb528b732114c200445e50ee76ad2da09358f3a36893f893a,d2bd891c7f16d2090bbbee2f9e50791d2ef57cd1ef8bb35b5e764c3b0ee08635,be14d63cf675c9fc25f8913ddbedcc3c84f24399296cce3c07fc528ab2f0b830,fb43c49ee3d513156d6cb644edbe0bdd7d1b2cf1e02af0f070f2baf7b9ed760b,e4ddeb1bdf10f6d16cbba3884ea4b91b6147f8d2407c41bd81872b7332d3e8d8,63b6f2c31b3d9bb72085622753b113855c309c7f887a01be80a04d6c1c0a33b2,4dc80e8b966d69f0fb4ac3161e7926f927a0190190bdd9671aad5f5a697cc8a8,214e16e5e2649e98ccfb5ffa63ed38498cbb20f309ffafd8af2c41e2a5cf01fa,35b63435487499476cf9a101dcba8ec3deede42fb9fdbeebc467964fa8dcc6f6,9821b800b0248f9d7ad2cc0af82a4e04ce14c35fb0815e252ee4b7eeee9aade5,a14f4c28ea849ade03583101b4a1ee07d78cac68714b554218542145739e7092,f1589b932ad1517ee6755189a8e8ac25ab535d8efe4d1d34120f9f635425923e,48074cdb2c6af07367feed22de72c8d8dcccea492dc66725a5b6cec7e443b159,0609f2f491e9598eeecf34f7b7277619e4b1fa32805ec450fb1bc658b48e24e0,3c85f238e1c4046dbdcfd4708d5677f808f4d391dcb47fce6d36b9d01ad709cc,ed5829b8ed0be8eac6ff972aab4ede40746439403fd09f03d49292e47bacd298,9d1bd007e1ff1300dd323fd53f4c9480b16f36cec1ef2de5499e00e3ec7ac4cd,fb29bb357ad794a4cd6c23caaf823b6d82755d660ff2447956473c0175e7d536,65cbdc132f7b92b2531070c30930c9e50d1b92352583bd92dc23d330651da414,c89be04067f75ebc38d66267b4372d6cbfb8a70fb60347ff7d3424a95e696f62,bfd96acc45b54bde05773f0552b92d8777e8012f1ddf2511005abe13428bd6cd,5d45c0b8ed92e24effeaed047030aaaccbdcfdcf5b0514ff21b1145a538286b6,868973c2d4ac2fd8e1bf0dfb5871d4833be0fb600dc05318c4d781aa6b6505ec,effb61b59648650f58f32b451a8238e7b8bebdf0064276c317f39979a881eced,8d3b6da7b96739706e1bf61552cc5ddcbcd29600987661f3a796215f67b8e7ff
"100101","106001","0","100101","100101","100101","100101","180301","0","100203","1001001","1","100305","1001","110301","100101","105401","0","100303","1","100003","128801","14","90","0","180301","50","2024/11/01 16:00:00"
"100201","106001","0","100201","100201","100201","100201","101801","0","100203","1001002","2","100101","1001","123701","100201","124501","0","100204","1","100003","110301","13","90","0","123701","50","2024/11/01 16:00:00"
"100301","104001","0","100301","100301","100301","100301","110301","0","100304","1001003","3","100102","1001","106901","100301","117301","0","100101","1","100003","105401","20","90","0","104001","50","2024/11/01 16:00:00"
"100402","129001","0","100401","100401","100401","100401","101401","0","100202","1001004","4","100304","1001","123001","100402","101801","0","100302","1","100003","103401","14","90","0","101801","50","2024/11/01 16:00:00"
"100501","111001","0","100501","100501","100501","100501","102801","0","100303","1001005","5","100102","1001","102601","100501","103001","0","100101","1","100003","104901","13","90","0","103001","50","2024/11/01 16:00:00"
"100601","100801","0","100601","100601","100602","100601","123001","0","100202","1001006","6","100304","1001","106001","100601","110301","0","100302","1","100003","106501","14","90","0","100801","50","2024/11/01 16:00:00"
"100701","108301","0","100701","100702","100701","100701","105501","2","100202","1001007","7","100101","1001","106001","100701","103401","0","100203","1","100003","128301","13","90","0","105501","50","2024/11/01 16:00:00"
"100802","123001","0","100801","100801","100801","100801","101801","7","100303","1001008","8","100102","1001","112201","100801","105301","0","100101","1","100003","105201","14","90","0","105201","50","2024/11/01 16:00:00"
"100901","124501","0","100901","100901","100901","100901","113401","11","100202","1001009","9","100304","1001","110301","100901","108901","0","100302","1","100003","100701","20","90","0","113401","50","2024/11/01 16:00:00"
"101005","115001","0","101002","101002","101005","101001","124101","1","100303","1001010","10","100102","1001","100901","101002","103401","8","100101","2","100003","106601","13","90","0","100901","50","2024/11/01 16:00:00"
"101105","121301","0","101105","101102","101105","101101","110301","16","100203","1001011","11","100305","1001","106901","101106","117501","18","100303","2","100003","105401","14","90","0","117501","50","2024/11/01 16:00:00"
"101206","129001","0","101206","101202","101205","101201","117301","3","100203","1001012","12","100101","1001","123001","101206","126101","10","100205","2","100003","108901","13","90","0","117301","50","2024/11/01 16:00:00"
"101306","129001","0","101306","101302","101301","101301","106001","6","100303","1001013","13","100102","1001","118501","101306","123001","11","100101","2","100003","101401","14","90","0","118501","50","2024/11/02 16:00:00"
