9a07dc66ec55293b88d5d630a5a1f88b7060f7530d7ae076a167bd7ebe839e0c,32967d92ef7b0639dcc90ac408b707e5b372705e89542b6c9c2d38d254e613a9,002af2c7faa568b08038f613c9a0e707a67225bc10ebb4b6164a8790cff84df2,a25c4e28227bb9e918e1231158ed98e41646786a02629d9a27c65379cd8c7583,d64b66609c0892c5e2f5e4325491aa516133d5dede8eae091d565eba0f7ab027,dfe6afe95271647d92e2005ce83e9f8a03f347ff8ecbe48c5ed24aa279a2c04f,0dbcec53e2df3b1791e3a09855ca033975f6d8098d270e8f854b7ac263421778,1b50746faec529b41fcd73adf9d585cfb31ecdc0efdab58959f59484aad58c03,7958c2fa08fdab7dbc2373eea53c8e3433df3f5d0355e25193eb04d05301d9b1
"1","8010","1","9","401707405","401707405","0","1","1"
"8040","1","1","9","401903101","401903101","0","8040","1"
"8040","1","1","9","401903105","401903105","0","8040","1"
"1","8040","1","9","401903106","401903106","0","1","8040"
"1","1","8040","9","401903107","401903107","0","1","8040"
"1","8040","8040","9","401903108","401903108","0","1","1"
"8040","1","1","9","401903201","401903201","0","8040","1"
"8040","1","1","9","401903205","401903205","0","8040","1"
"1","8040","1","9","401903206","401903206","0","1","8040"
"1","1","8040","9","401903207","401903207","0","1","8040"
"1","8040","8040","9","401903208","401903208","0","1","1"
"8040","1","1","9","401903301","401903301","0","8040","1"
"8040","1","1","9","401903305","401903305","0","8040","1"
"1","8040","1","9","401903306","401903306","0","1","8040"
"1","1","8040","9","401903307","401903307","0","1","8040"
"1","8040","8040","9","401903308","401903308","0","1","1"
"8040","1","1","9","401903401","401903401","0","8040","1"
"8040","1","1","9","401903405","401903405","0","8040","1"
"1","8040","1","9","401903406","401903406","0","1","8040"
"1","1","8040","9","401903407","401903407","0","1","8040"
"1","8040","8040","9","401903408","401903408","0","1","1"
"8040","1","1","9","401903501","401903501","0","8040","1"
"8040","1","1","9","401903505","401903505","0","8040","1"
"1","8040","1","9","401903506","401903506","0","1","8040"
"1","1","8040","9","401903507","401903507","0","1","8040"
"1","8040","8040","9","401903508","401903508","0","1","1"
"8040","1","1","9","401903601","401903601","0","8040","1"
"8040","1","1","9","401903605","401903605","0","8040","1"
"1","8040","1","9","401903606","401903606","0","1","8040"
"1","1","8040","9","401903607","401903607","0","1","8040"
"1","8040","8040","9","401903608","401903608","0","1","1"
"8040","1","1","9","401903701","401903701","0","8040","1"
"8040","1","1","9","401903705","401903705","0","8040","1"
"1","8040","1","9","401903706","401903706","0","1","8040"
"1","1","8040","9","401903707","401903707","0","1","8040"
"1","8040","8040","9","401903708","401903708","0","1","1"
"8040","1","8040","9","401904101","401904101","0","1","1"
"1","1","1","9","401904102","401904102","0","8040","8040"
"8040","1","1","9","401904106","401904106","0","1","8040"
"1","8040","8040","9","401904107","401904107","0","1","1"
"1","8040","1","9","401904111","401904111","0","8040","1"
"8040","1","8040","9","401904201","401904201","0","1","1"
"1","1","1","9","401904202","401904202","0","8040","8040"
"8040","1","1","9","401904206","401904206","0","1","8040"
"1","8040","8040","9","401904207","401904207","0","1","1"
"1","8040","1","9","401904211","401904211","0","8040","1"
"8040","1","8040","9","401904301","401904301","0","1","1"
"1","1","1","9","401904302","401904302","0","8040","8040"
"8040","1","1","9","401904306","401904306","0","1","8040"
