e0fb32aca606192247580febd73e9983ffda31f3f5c0fc2981750310ad34150d,73acf91bb856a0e852c376562ed5265641d8fd47b31231991c7d7e1a841639f6,27d7602fd560c0eca97408e60e679e1664e3ece6bd12f3754f5c8c6a905b13db,945babe21e909e8468c62ff4f25b0b42664b70d4ca21c6f741e6ceeaa060c438,522f2afce920cc5d9e5aad65172e538caaa1bfa7f3a5cb30a7f454f4c80916d3
"10213","1","9000277","10213001","5213062"
"10213","2","9000278","10213002","5213064"
"10213","3","9000279","10213003","5213066"
"10213","4","9000280","10213004","5213068"
"10213","5","9000281","10213005","5213070"
"10213","6","9000282","10213006","5213072"
"10213","7","9000283","10213007","5213074"
"10213","8","9000284","10213008","5213076"
"10213","9","9000285","10213009","5213078"
"10213","10","9000286","10213010","5213080"
"10213","11","9000287","10213011","5213082"
"10213","12","9000288","10213012","5213084"
"10213","13","9000289","10213013","5213086"
"10213","14","9000290","10213014","5213088"
"10213","15","9000291","10213015","5213090"
"10213","16","9000292","10213016","5213092"
"10213","17","9000293","10213017","5213094"
"10213","18","9000294","10213018","5213096"
"10213","19","9000295","10213019","5213098"
"10213","20","9000296","10213020","5213100"
"10213","21","9000297","10213021","5213102"
