ba50fb6f940eef839845106dda5a6fb03ab3478b624a4646638203fe6b8f9e0a,d63dce64a3e7aedd74f068f3543f6f09c65faeddd0125657cbc8c68638aa5aa9,440185f4b5a3e8c48a2fd86bf799dd44b594056a583b6869ed1b706aef333a12,6c5d4c262ab26b7d437a3908c081ddac78bc58e924081c31222dce8e2ecaf4ef
"100","200","101401","1005"
"100","200","101601","1005"
"100","200","101801","1005"
"100","200","103201","1005"
"100","200","105001","1005"
"100","200","105201","1005"
"100","200","106101","1005"
"100","200","106401","1005"
"100","200","106801","1005"
"100","200","108301","1005"
"100","200","110001","1005"
"100","200","110101","1005"
"100","200","112201","1005"
"100","200","114401","1005"
"100","200","114701","1005"
"100","200","115701","1005"
"100","200","115801","1005"
"100","200","100201","1006"
"100","200","102901","1006"
"100","200","104201","1006"
"100","200","105401","1006"
"100","200","105901","1006"
"100","200","107601","1006"
"100","200","108401","1006"
"100","200","108801","1006"
"100","200","111601","1006"
"100","200","111901","1006"
"100","200","113901","1006"
"100","200","115501","1006"
"100","200","115601","1006"
"100","200","117201","1006"
"100","200","117301","1006"
"100","200","117401","1006"
"100","200","180201","1006"
"100","200","180501","1006"
"100","200","100301","1007"
"100","200","100501","1007"
"100","200","103701","1007"
"100","200","104701","1007"
"100","200","105801","1007"
"100","200","106501","1007"
"100","200","106601","1007"
"100","200","107501","1007"
"100","200","108901","1007"
"100","200","111801","1007"
"100","200","113601","1007"
"100","200","114001","1007"
"100","200","114101","1007"
"100","200","114301","1007"
"100","200","116501","1007"
"100","200","116601","1007"
"100","200","180301","1007"
"100","200","180401","1007"
"100","200","100101","1008"
"100","200","100401","1008"
"100","200","102001","1008"
"100","200","102101","1008"
"100","200","102301","1008"
"100","200","102501","1008"
"100","200","102801","1008"
"100","200","103601","1008"
"100","200","106001","1008"
"100","200","107701","1008"
"100","200","107801","1008"
"100","200","108501","1008"
"100","200","108601","1008"
"100","200","108701","1008"
"100","200","110301","1008"
"100","200","111101","1008"
"100","200","111201","1008"
"100","200","111301","1008"
"100","200","112001","1008"
"100","200","112101","1008"
"100","200","114501","1008"
"100","200","180101","1008"
"100","200","180601","1008"
