f207911df3baf95abfb351d23ea9f30e80ff6ad062a92a0cb60871a8bb5e1906,9edcc13e8c503ff260d06cac5ac6031bb1e5911761200d16901dc9676c46dd32,1601d398f4233e3c542b48e81bd20530e9264009061cf18aca28e5c1167957fe,8939dcad53cf4ac4b73f6b897e1b50c960b889e5c70e3eca8db3944ad23618ae,ce0ab82d5567f501dbd2139e4535a5c163002cf65c47ebdf2a1fc12247b480f0,540d2127c07eff14e5ac827f2fe94c4d888dcbeb7610c79d15a4b5040d968069,c6ac09e9f4aa38204ce5c85b5d5f760a4fd21e538b28c91c8bf02b1ec692b501,bff213d28299cd011e95272d309e0e471b2b6413c8a13d1a96f63b115717339d,2268ed03e055f830fa2a2644938f0ceb3c6616868a4596d44ac3738125b163dd,e00892f4567e25dec6b79a6bf4aeb97ab79468f56df084a7ccbde9a96a47ec9b,1629cba9b068a24e06a8f01bf1be4e324e7d108ac6aca7eb34cda104bd43fbe5,2695b7bb648d93590f86e61a9ce4e7111ed43d8acc47c36635042b4a35a4ac2e
"1","0","0","1010001","0","0","4","1","0","1","3","0"
"2","vo_minigame_1005_nikki01_000","0","1010002","vo_minigame_1005","0","2","1","0","0","0","0"
"3","0","0","1010003","0","1.418","1","1","202","0","0","1"
"4","0","0","1010004","0","0","4","1","0","1.858","1","0"
"5","0","0","1010005","0","2.536","1","1","316","0","0","2"
"6","0","0","1010006","0","0","4","1","0","3.484","1","0"
"7","vo_minigame_1005_nikki01_001","0","1010007","vo_minigame_1005","0","2","1","0","0","0","0"
"8","0","0","1010008","0","1.131","1","1","183","0","0","3"
"9","0","0","1010009","0","0","4","1","0","1.407","1","0"
"10","0","183","1010010","0","1.043","1","1","318","0","0","3"
"11","0","0","1010011","0","0","4","1","0","1.719","1","0"
"12","0","318","1010012","0","0.69","1","1","389","0","0","3"
"13","0","0","1010013","0","0","4","1","0","0.69","1","0"
"14","0","0","1010014","0","1.694","1","1","244","0","0","4"
"15","0","0","1010015","0","0","4","1","0","2.204","1","0"
"16","0","244","1010016","0","1.298","1","1","384","0","0","4"
"17","0","0","1010017","0","0","4","1","0","1.298","1","0"
"18","0","0","1010018","0","1.118","1","1","67","0","0","5"
