ec6d12dca86fc9be4f76525f8df68b166dd19c23c36dce5b0243d46970b74021,cdaa0c17963d2669084f8f3ed19a5aa140162972ac8fb439c9e25e788cb7da65,6d6848a5eaed24c5c198d56547cbeff1f911d293214d026de5ed1e7d2bb236e6,3e9deaa0e994a3ae0dc8233a0fa0528cb6f15519c946c3ea7458599fb891ab54,051b396e551d775e38cdfa43c8919fc4a4e431e167a20fd73900f9df0bb269f7,7e6be3d53aea7e49fa60fddd8ec5f4a2c06e6f630522f9fc27a94c9824034672,fe4c61c8defa015cd8aae3e6dd7c0c5b06ff29d5641900de6fe21a8041fe9cf2,7dd08c30e81c97b29248679e6fa7469b36e4de94847bc065fc5747c895fef9c9
"0","0","1001201","10012","1","0","0","10012103"
"0","0","1001202","10012","2","0","0","10012107"
"0","0","1001203","10012","3","0","0","10012109"
"0","0","1001204","10012","4","1001201","0","10012114"
"0","0","1001204","10012","5","1001202","0","10012114"
"0","0","1001204","10012","6","1001203","0","10012114"
"0","0","2001201","20012","7","0","0","20012103"
"0","0","2001202","20012","8","0","0","20012107"
"0","0","2001203","20012","9","0","0","20012109"
"0","0","2001204","20012","10","2001201","0","20012114"
"0","0","2001204","20012","11","2001202","0","20012114"
"0","0","2001204","20012","12","2001203","0","20012114"
