3b7b803faff741696af3800700df7728ac9b4ee9f834e917639892c130d8c70e,4803d2660b270d105737c7b121c8416dd6b6eb742d3a54268d42b82e41cf23ae,67241373e8f3c96937828df320fabbcc1cf302a1ab9becce50e0df0909929012,0ba419aeb87e9d2e8a9ad19b03008ea76f342c5d0a3f2216381bcda51def70ff,46673f5824b4ab164dc25a52196701ce6c2bf26377fb58e5f7e75b3fc8e349a2,23a53bbe9f463dc943aa341cd63c562d2ff0b011020b2af060d5b61036aee2d6,f9d27a28a56d603ae11d6f2f525aa67b0d9662067ae8460aa6e9ada7b39e6a34,0bc0630a3c86e4af7c8bfaf1f1be985b10fe4a966472f86fd8f4268e02b12b40
"710000101","710100011","0","710000001","710000104","100","710000102","710000105"
"710000201","710100021","0","710000002","710000204","100","710000202","710000203"
"710000301","710100031","0","710000003","710000302","100","710000304","710000305"
"710000401","710100041","0","710000004","710000402","100","710000404","710000405"
"710000502","710100051","0","710000005","710000504","100","710000505","710000501"
"710000601","710100061","710000604","710000006","710000603","100","710000605","710000602"
"710000704","710100071","710000705","710000007","710000703","100","710000701","710000702"
"710000805","710100081","710000804","710000008","710000803","100","710000802","710000801"
"710000902","710100091","710000905","710000009","710000901","100","710000903","710000904"
"0","710100101","0","710000010","710001001","100","0","0"
"710001101","710100111","710001104","710000011","710001102","100","710001103","710001105"
"710001205","710100121","710001204","710000012","710001203","100","710001201","710001202"
"710001301","710100131","710001305","710000013","710001304","100","710001303","710001302"
"710001401","710100141","710001405","710000014","710001403","100","710001404","710001402"
"710001501","710100151","710001504","710000015","710001503","100","710001505","710001502"
"710001602","710100161","710001604","710000016","710001605","100","710001601","710001603"
"710001703","710100171","710001704","710000017","710001705","100","710001701","710001702"
"710001801","710100181","710001805","710000018","710001803","100","710001804","710001802"
"710001902","710100191","710001905","710000019","710001904","100","710001901","710001903"
"710002002","710100201","0","710000020","710002002","100","710002001","0"
"710002104","710100211","710002105","710000021","710002103","100","710002102","710002101"
"710002204","710100221","710002205","710000022","710002203","100","710002201","710002202"
"710002302","710100231","710002305","710000023","710002303","100","710002304","710002301"
"710002404","710100241","710002405","710000024","710002403","100","710002401","710002402"
"710002502","710100251","710002505","710000025","710002501","100","710002503","710002504"
"710002602","710100261","710002604","710000026","710002603","100","710002601","710002605"
"710002702","710100271","710002704","710000027","710002703","100","710002705","710002701"
"710002801","710100281","710002804","710000028","710002803","100","710002802","710002805"
"710002901","710100291","710002905","710000029","710002903","100","710002904","710002902"
"710003002","710100301","0","710000030","710003002","100","710003003","710003001"
"710003102","710100311","710003105","710000031","710003103","100","710003101","710003104"
"710003204","710100321","710003205","710000032","710003203","100","710003201","710003202"
"710003304","710100331","710003305","710000033","710003303","100","710003302","710003301"
"710003404","710100341","710003405","710000034","710003403","100","710003402","710003401"
"710003501","710100351","710003505","710000035","710003503","100","710003502","710003504"
"710003601","710100361","710003605","710000036","710003603","100","710003602","710003604"
"710003704","710100371","710003705","710000037","710003703","100","710003701","710003702"
"710003801","710100381","710003805","710000038","710003803","100","710003804","710003802"
"710003902","710100391","710003904","710000039","710003903","100","710003901","710003905"
"710004002","710100401","0","710000040","710004002","100","710004003","710004001"
"710004102","710100411","710004105","710000041","710004103","100","710004104","710004101"
"710004203","710100421","710004205","710000042","710004204","100","710004202","710004201"
"710004304","710100431","710004305","710000043","710004303","100","710004302","710004301"
"710004402","710100441","710004405","710000044","710004401","100","710004403","710004404"
"710004501","710100451","710004505","710000045","710004503","100","710004502","710004504"
"710004604","710100461","710004605","710000046","710004603","100","710004602","710004601"
"710004701","710100471","710004705","710000047","710004703","100","710004702","710004704"
"710004801","710100481","710004804","710000048","710004805","100","710004802","710004803"
"710004904","710100491","710004905","710000049","710004903","100","710004901","710004902"
"710005002","710100501","710005004","710000050","710005002","100","710005003","710005001"
"710005102","710100511","710005105","710000051","710005104","100","710005103","710005101"
"710005202","710100521","710005205","710000052","710005203","100","710005204","710005201"
"710005301","710100531","710005304","710000053","710005302","100","710005303","710005305"
"710005402","710100541","710005404","710000054","710005405","100","710005401","710005403"
"710005504","710100551","710005505","710000055","710005503","100","710005502","710005501"
"710005601","710100561","710005604","710000056","710005602","100","710005603","710005605"
"710005701","710100571","710005705","710000057","710005703","100","710005702","710005704"
"710005801","710100581","710005805","710000058","710005803","100","710005804","710005802"
"710005902","710100591","710005905","710000059","710005904","100","710005903","710005901"
"710006002","710100601","710006004","710000060","710006002","100","710006003","710006001"
"710006101","710100611","710006105","710000061","710006103","100","710006104","710006102"
"710006203","710100621","710006204","710000062","710006205","100","710006201","710006202"
"710006301","710100631","710006303","710000063","710006304","100","710006302","710006305"
"710006404","710100641","710006405","710000064","710006403","100","710006401","710006402"
"710006502","710100651","710006504","710000065","710006503","100","710006501","710006505"
"710006604","710100661","710006605","710000066","710006601","100","710006603","710006602"
"710006703","710100671","710006702","710000067","710006704","100","710006705","710006701"
"710006803","710100681","710006804","710000068","710006805","100","710006802","710006801"
"710006903","710100691","710006905","710000069","710006904","100","710006901","710006902"
"710007002","710100701","710007003","710000070","710007002","100","710007004","710007001"
"710007102","710200711","710007105","710000071","710007101","100","710007103","710007104"
"710007202","710200721","710007205","710000072","710007201","100","710007203","710007204"
"710007302","710200731","710007305","710000073","710007301","100","710007303","710007304"
"710007402","710200741","710007405","710000074","710007401","100","710007403","710007404"
"710007503","710200751","710007505","710000075","710007501","100","710007502","710007504"
"710007602","710200761","710007605","710000076","710007601","100","710007603","710007604"
"710007701","710200771","710007705","710000077","710007702","100","710007703","710007704"
"710007802","710200781","710007805","710000078","710007801","100","710007803","710007804"
"710007903","710200791","710007905","710000079","710007901","100","710007902","710007904"
