a3badf45097c2506c6af20483ec7eb04064fe0edba51ff44da35a180094044e2,e56fc71d9198ef77a955dd3843d13758ceffa06bf47cc7f0e3f70bf3e0a236a5,1d028758c787d0ad1be5b0285256243d27d53bfc24a2eb9627efd2535acb848c,b36171dbab965ff2e95e21ac5c48b479884524d406f827570cc44d78adeb701e,eb7687e1b9b5e32f7c9c3f64305e859b1b0442948de5dc1b65e319699b3e4969,64bca71476904089aa2c80f4b04c83ce5a1054bd889e68661c0289798213088c,0ed8a54c43aae63e19aefeebaf81000bf9539212247ee1569da9ad741dbb0170,d836acc24f98ba289263c51f32c337bc87c9cf818f1f5a3db44c4531a3a279bd,d5e4f49bd8ce34660fc30788d3e62bca1feac26ce6fb1efae4cbd2e1110aaa83,0557cabf2d29a730d4a007f1a724c7bd8746d15f4f0c5944ad9fa6e9d9f977be,fb648a3f9a477241a4866a8ec5049fa7e687f0af0d2a38d6b3396c01b97ed429,57e6212950f4ec637b042b90957dd8bffa2528828c2c11ef5d500e4587bd4cad,bb3b1dce04e8afc7f257d9e2dea7da6f22be2ab8317ac693eb9e113e5a10d026,08aae21e106969e38491497539a32d78c84a60301ae96db8d23f51eef1beae2a,fd469bcdf14373310aaa5a813ab1b91c2ea1a8d65f8daf61846721577045ed08,d5cbae81256541c48e1b0431a3bfb2fa5e324880311f597ba9264ad7b457d586,b8b2463eec591e655bd01cdf8a59903ec4ce7c5853b4c26e3203ccae4010f2f1,f66e2da8b0afa4bcd96fc32ee7e298f5c18c633ec58fa240d575e7e932ac950f,1c69ac6eb2f8ee247e92340b8c5b6905b5ff293427363b81ac30d4b62ee2b1b9
"6","100701","103401","6","100003","1","-100","100111","105501","123001","100701","90","1001","112201","0","6","1","6","6"
"6","103401","103401","6","100003","2","-100","100112","100901","123001","106601","90","1001","105101","0","6","1","6","6"
"6","110301","113401","6","100003","3","-100","100113","110301","101801","112701","90","1001","106901","0","6","1","6","6"
"4","100201","103401","5","100003","1","-100","100121","117301","100201","102901","90","1001","123001","0","4","2","4","4"
"4","104001","117301","4","100003","2","-100","100122","105101","104001","104801","90","1001","110301","0","4","2","4","4"
"4","101401","118001","4","100003","3","-100","100123","118501","111001","101401","90","1001","100801","0","5","2","4","4"
"1","112201","117301","3","100003","1","-100","100131","112201","100801","100701","90","1001","123001","0","2","3","1","2"
"1","105501","106601","1","100003","2","-100","100132","103401","112201","100501","90","1001","105501","0","1","3","2","2"
"1","124501","104801","2","100003","3","-100","100133","113401","124501","105401","90","1001","110301","0","2","3","3","1"
"6","111401","103401","6","100003","1","-100","100211","117301","111401","106601","90","1002","105001","0","6","1","6","6"
"6","113401","105401","6","100003","2","-100","100212","113401","100801","105201","90","1002","123001","0","6","1","6","6"
"6","105501","103401","6","100003","3","-100","100213","105501","107701","100501","90","1002","123001","0","6","1","6","6"
"4","122801","103401","4","100003","1","-100","100221","124101","119001","122801","90","1002","100901","0","5","2","4","4"
"4","100501","100501","4","100003","2","-100","100222","103401","123001","105201","90","1002","121101","0","4","2","5","4"
"4","118501","103401","5","100003","3","-100","100223","105501","118501","100701","90","1002","123001","0","4","2","5","4"
"1","108901","108901","1","100003","1","-100","100231","103401","123001","105201","90","1002","102601","0","1","3","3","2"
