13b215a0cc17285183554c138206bfbaa68d12d9ebaf5fc2a5abb8744f2dab3b,1a36f8fba4e37ea70d0933c426f53d03d69a3df91c22f64c68de1e40e701a2de,fbd223f1bbf9db40b8098a35f5921c7f703c4ed4056791f60a932b8fe2a05066,6e3629e14f4333923d331fb6bc1c587a77b4791da2c4fb507f3f52fc0fe9e731,ceae231c3e33064361ed9c837dc625c18a11820a54db393f438bccabd510d3eb,0af057f4ffb832edff8d6054148e16c088fadcc2c239102f369fdd40ff7a47b8,b25726217f224b49d0418b39a34fd8492f32c83b1592466a73e49638c294511d,eaebd1f16c0b2aef2bb4f27f9845eb9c226134a3c2b7b7d392beb415d7b0dd96,e357509c3e733740858a22b888717a277e1724e978caa62eac8a8d333ebbcb4b
"20021","5","1","129","1001","1002","0","達成公主騎士RANK 5","1001"
"20021","10","1","129","1002","1002","0","達成公主騎士RANK 10","1002"
"20021","30","1","129","1003","1002","0","達成公主騎士RANK 30","1003"
"20021","50","1","129","1004","1002","0","達成公主騎士RANK 50","1004"
"20021","100","1","129","1005","1002","0","達成公主騎士RANK 100","1005"
"20021","150","1","129","1006","1002","0","達成公主騎士RANK 150","1006"
"20021","200","1","129","1007","1002","0","達成公主騎士RANK 200","1007"
"20021","250","1","129","1008","1002","0","達成公主騎士RANK250","1007"
"20021","300","1","129","1009","1002","0","達成公主騎士RANK300","1007"
"20022","50","2","129","2001","1003","1","讓火屬性的屬性等級提升到50","2001"
"20022","100","2","129","2002","1003","1","讓火屬性的屬性等級提升到100","2002"
"20022","150","2","129","2003","1003","1","讓火屬性的屬性等級提升到150","2003"
"20022","200","2","129","2004","1003","1","讓火屬性的屬性等級提升到200","2004"
"20022","250","2","129","2005","1003","1","讓火屬性的屬性等級提升到250","2005"
"20022","300","2","129","2006","1003","1","讓火屬性的屬性等級提升到300","2006"
"20022","350","2","129","2007","1003","1","讓火屬性的屬性等級提升到350","2007"
"20022","400","2","129","2008","1003","1","讓火屬性的屬性等級提升到400","2008"
"20022","450","2","129","2009","1003","1","讓火屬性的屬性等級提升到450","2009"
"20022","500","2","129","2010","1003","1","讓火屬性的屬性等級提升到500","2010"
"20022","50","3","129","3001","1003","2","讓水屬性的屬性等級提升到50","2001"
"20022","100","3","129","3002","1003","2","讓水屬性的屬性等級提升到100","2002"
"20022","150","3","129","3003","1003","2","讓水屬性的屬性等級提升到150","2003"
"20022","200","3","129","3004","1003","2","讓水屬性的屬性等級提升到200","2004"
"20022","250","3","129","3005","1003","2","讓水屬性的屬性等級提升到250","2005"
"20022","300","3","129","3006","1003","2","讓水屬性的屬性等級提升到300","2006"
"20022","350","3","129","3007","1003","2","讓水屬性的屬性等級提升到350","2007"
"20022","400","3","129","3008","1003","2","讓水屬性的屬性等級提升到400","2008"
"20022","450","3","129","3009","1003","2","讓水屬性的屬性等級提升到450","2009"
"20022","500","3","129","3010","1003","2","讓水屬性的屬性等級提升到500","2010"
"20022","50","4","129","4001","1003","3","讓風屬性的屬性等級提升到50","2001"
"20022","100","4","129","4002","1003","3","讓風屬性的屬性等級提升到100","2002"
"20022","150","4","129","4003","1003","3","讓風屬性的屬性等級提升到150","2003"
"20022","200","4","129","4004","1003","3","讓風屬性的屬性等級提升到200","2004"
"20022","250","4","129","4005","1003","3","讓風屬性的屬性等級提升到250","2005"
"20022","300","4","129","4006","1003","3","讓風屬性的屬性等級提升到300","2006"
"20022","350","4","129","4007","1003","3","讓風屬性的屬性等級提升到350","2007"
"20022","400","4","129","4008","1003","3","讓風屬性的屬性等級提升到400","2008"
"20022","450","4","129","4009","1003","3","讓風屬性的屬性等級提升到450","2009"
"20022","500","4","129","4010","1003","3","讓風屬性的屬性等級提升到500","2010"
"20022","50","5","129","5001","1003","4","讓光屬性的屬性等級提升到50","2001"
"20022","100","5","129","5002","1003","4","讓光屬性的屬性等級提升到100","2002"
"20022","150","5","129","5003","1003","4","讓光屬性的屬性等級提升到150","2003"
"20022","200","5","129","5004","1003","4","讓光屬性的屬性等級提升到200","2004"
"20022","250","5","129","5005","1003","4","讓光屬性的屬性等級提升到250","2005"
