ab08da47bd2b604bce584d418ac510dcaed3ff474368f7e730d0997319052ca8,e546657da2bdd83a9927e14abef1def7b3477f63b2aa2cc3419e48cf58ef3853,03b1a0729c4604b6ff330ad95cae973f9bcfc8915b4ddcf3fd5855ecb5688572,de332f6ac401d864fb0560b78868c11230a5cd941985ae9ddc5c9218c59f880f,b087d0aceb5695c76a8a30eaf3045d9454944f890a68a8ddec6bc03613b0bf4f,48f35d805d05c054c961de54bfc88124aeee0de0afe15fc794ed88bf958ec58f,80c2b4975ad3d6fbc18909c31ecfbe70e91c7c3afa0b1439142444d9f9b17c7d,088becb1a0201969064fcadfacc2c37b0d5bf77122eb27f5ff2a71133553646c,12f4e65b08b5740d017d8fd2b83a17926582d43f11a61bec8362707f05cf783e,8018e74bc21ec7ace1ef05cd5b039fb625501422e33aa6997068752795892370,e554608c8f394271b212c0fc8ac487254988e9134af3213517eded969b991341,c8819b20ab458710e98a8505365398080308d4c41a6d7903922d67c659d5473f,87dd9e745c8b67461d625a6afaa0051513c0f8c159fccc440886d3d4edb25b96,710ed05c49eab4c85bf00878fb3da63e6f1eaa5889d3692c12dac8fae822a5ea,dffb071d7d3d7ba3ca71de9514b09674f0c5ef02cd9077c237bfa1c24b10ab8f,dc619b4e3b3bc60bec86f4a3bc8980930f4abd60e79fccf12aa7b7a755fbfe8b,75459f10eae2e8c79688a05397f35b7d94bcf7f3c7a2c9b69c10627695b306b7,9a413a8f438a297e3affe26006fd5c56a5f43a0df09c931fb00a075752551efc,57684bdda169b5ede97474d0b031bb945f68b7839921c74acf1a304da302b443
"1","90","100111","123001","6","103401","112201","100003","105501","-100","0","100701","6","100701","1001","6","6","1","6"
"1","90","100112","123001","6","103401","105101","100003","100901","-100","0","103401","6","106601","1001","6","6","2","6"
"1","90","100113","101801","6","113401","106901","100003","110301","-100","0","110301","6","112701","1001","6","6","3","6"
"2","90","100121","100201","4","103401","123001","100003","117301","-100","0","100201","4","102901","1001","4","4","1","5"
"2","90","100122","104001","4","117301","110301","100003","105101","-100","0","104001","4","104801","1001","4","4","2","4"
"2","90","100123","111001","4","118001","100801","100003","118501","-100","0","101401","5","101401","1001","4","4","3","4"
"3","90","100131","100801","2","117301","123001","100003","112201","-100","0","112201","2","100701","1001","1","1","1","3"
"3","90","100132","112201","2","106601","105501","100003","103401","-100","0","105501","1","100501","1001","1","2","2","1"
"3","90","100133","124501","1","104801","110301","100003","113401","-100","0","124501","2","105401","1001","1","3","3","2"
"1","90","100211","111401","6","103401","105001","100003","117301","-100","0","111401","6","106601","1002","6","6","1","6"
"1","90","100212","100801","6","105401","123001","100003","113401","-100","0","113401","6","105201","1002","6","6","2","6"
"1","90","100213","107701","6","103401","123001","100003","105501","-100","0","105501","6","100501","1002","6","6","3","6"
"2","90","100221","119001","4","103401","100901","100003","124101","-100","0","122801","5","122801","1002","4","4","1","4"
"2","90","100222","123001","4","100501","121101","100003","103401","-100","0","100501","4","105201","1002","4","5","2","4"
"2","90","100223","118501","4","103401","123001","100003","105501","-100","0","118501","4","100701","1002","4","5","3","5"
"3","90","100231","123001","2","108901","102601","100003","103401","-100","0","108901","1","105201","1002","1","3","1","1"
"3","90","100232","123001","1","102601","112201","100003","113401","-100","0","104801","2","104801","1002","1","3","2","2"
"3","90","100233","106001","2","114701","110301","100003","100501","-100","0","106001","1","100701","1002","1","7","3","2"
"1","90","100311","125101","6","122801","123001","100003","103401","-100","0","102901","6","102901","1003","6","6","1","6"
"1","90","100312","111001","6","106601","110301","100003","180301","-100","0","180301","6","105401","1003","6","6","2","6"
"1","90","100313","118501","6","121401","118001","100003","123001","-100","0","121401","6","101401","1003","6","6","3","6"
"2","90","100321","123001","4","106601","110301","100003","103401","-100","0","114701","4","114701","1003","4","5","1","4"
"2","90","100322","180201","4","117301","106901","100003","110301","-100","0","106901","4","100701","1003","4","4","2","5"
"2","90","100323","124501","4","117501","113401","100003","105101","-100","0","124501","4","103401","1003","4","5","3","4"
"3","90","100331","123001","8","108101","102601","100003","117301","-100","0","108101","2","103401","1003","1","3","1","1"
"3","90","100332","108201","1","103401","123501","100003","112701","-100","0","108201","2","100701","1003","1","8","2","2"
"3","90","100333","108301","3","123001","100801","100003","101001","-100","0","108301","1","101401","1003","1","8","3","1"
"1","90","100411","110301","6","106601","100901","100003","103401","-100","0","106601","6","114701","1004","6","6","1","6"
"1","90","100412","106901","6","100501","103401","100003","105401","-100","0","180401","6","180401","1004","6","6","2","6"
"1","90","100413","100801","6","105501","123001","100003","101401","-100","0","100801","6","103401","1004","6","6","3","6"
"2","90","100421","118001","4","106601","110301","100003","180301","-100","0","105401","4","105401","1004","4","4","1","4"
"2","90","100422","101801","4","113401","124501","100003","110301","-100","0","101801","4","105301","1004","4","4","2","5"
"2","90","100423","123001","4","123301","105501","100003","103401","-100","0","123301","4","105201","1004","4","5","3","4"
"3","90","100431","108301","3","125801","110301","100003","126101","-100","0","126101","3","126001","1004","3","8","1","2"
"3","90","100432","108301","1","103401","123001","100003","121101","-100","0","103301","2","103301","1004","7","8","2","3"
"3","90","100433","106001","2","117301","123001","100003","180501","-100","0","105801","2","105801","1004","7","7","3","3"
