cb57f9e4c66b8bc1908afe1c09629bac163601d97b0137205dad96bf6363fa7c,739e3922762acf9ad60d9dca98396e2c6bff429de12ea8c057c04725af59e7ab
"40","1"
"40","2"
"40","3"
"60","4"
"60","5"
"60","6"
"100","7"
"100","8"
"100","9"
"100","10"
"100","11"
"100","12"
"100","13"
"100","14"
"150","15"
"150","16"
"150","17"
"150","18"
"150","19"
"150","20"
"150","21"
"150","22"
"180","23"
"180","24"
"180","25"
"180","26"
"180","27"
"180","28"
"180","29"
"180","30"
"200","31"
"200","32"
"200","33"
"200","34"
"200","35"
"250","36"
"250","37"
"250","38"
"250","39"
"250","40"
