9b9e0a5315db21c5f4a14b3d9e968324786e599ca82915065ead5e3c4ce49b00,44d7c8e323014b551bf17efab0ac862e9cce4914c72941c88cfd7edd77f0b797,33102ea3d62c0a4ec66a894d140585663c772b985b7555d4b99f5666a8f9bca3,75dfe8ee72736be6254d0aca0c10adcb12eb3147bf1ec00440684f332a33eb33,d4ff65b29832f79b49f1b062bdcfc12e9af05962abf793075adeab39c63cffcf,7a4df49221c46d9b7a297a3fab1dfd27b2dfa9770ea2ae1b8a585e683f712c1d,8670b63c2c25fba16ba9310d417ebc7cbc16ff970c41625489f10997e2fb54bb,a243dc511134953c8a42fc53a940dbf3358244fbd2bc798b123a35522dd542a6,39740d5361f00465837d4a18e952e6e629b1e70cc16c6f480f2523707b91fdea,6bc2b49f35bc073a6557d517af9226653e516eec11a06c1a8396f3f4b5258912
"111","0","0","3","101","5000000","0","0","2","25101"
"211","0","0","3","201","5000000","0","0","2","25101"
"311","0","0","2","301","5500000","0","0","2","25101"
"411","0","0","2","401","5500000","0","0","2","25101"
"511","0","0","3","501","6000000","0","0","2","25101"
"611","0","0","2","601","6000000","0","0","2","25101"
"711","0","0","2","701","6500000","0","0","2","25101"
"811","0","0","2","801","6500000","0","0","2","25101"
"911","0","0","3","901","7000000","0","0","2","25101"
"1011","0","0","2","1001","7000000","0","0","2","25101"
"1111","1112","0","2","1101","7500000","0","0","2","25101"
"1211","1212","0","2","1201","7500000","0","0","2","25101"
"1311","0","0","3","1301","8000000","0","0","2","25101"
"1411","0","0","2","1401","8000000","0","0","2","25101"
"1511","0","0","2","1501","8500000","0","0","2","25101"
"1611","0","0","2","1601","8500000","0","0","2","25101"
"1711","0","0","3","1701","9000000","0","0","2","25101"
"1811","1812","0","2","1801","9000000","0","0","2","25101"
"1911","0","0","2","1901","9500000","0","0","2","25101"
"2011","0","0","2","2001","9500000","0","0","2","25101"
"2111","0","0","3","2101","10000000","0","0","2","25101"
"2211","0","0","2","2201","10000000","0","0","2","25101"
"2311","0","0","2","2301","10500000","0","0","2","25101"
"2411","0","0","2","2401","10500000","0","0","2","25101"
"2511","0","0","3","2501","11000000","0","0","2","25101"
"2611","2612","0","2","2601","11000000","0","0","2","25101"
"2711","2712","0","2","2701","11500000","0","0","2","25101"
"2811","2812","0","2","2801","11500000","0","0","2","25101"
"2911","0","0","3","2901","12000000","0","0","2","25101"
"3011","3012","0","2","3001","12000000","0","0","2","25101"
"3111","0","0","2","3101","12500000","0","0","2","25101"
"3211","0","0","2","3201","12500000","0","0","2","25101"
"3311","0","0","3","3301","13000000","0","0","2","25101"
"3411","0","0","3","3401","13000000","0","0","2","25101"
"3511","0","0","3","3501","13500000","0","0","2","25101"
"3611","0","0","3","3601","13500000","0","0","2","25101"
"3711","0","0","3","3701","13500000","0","0","2","25101"
"3811","3812","0","3","3801","14000000","0","0","2","25101"
"3911","0","0","3","3901","14000000","0","0","2","25101"
"4011","0","0","3","4001","14000000","0","0","2","25101"
"4111","0","0","3","4101","14500000","0","0","2","25101"
"4211","4212","0","3","4201","14500000","0","0","2","25101"
"4311","0","0","3","4301","14500000","0","0","2","25101"
"4411","0","0","3","4401","15000000","0","0","2","25101"
"4511","0","0","3","4501","15000000","0","0","2","25101"
"4611","0","0","3","4601","15000000","0","0","2","25101"
"4711","0","0","3","4701","15500000","0","0","2","25101"
"4811","0","0","3","4801","15500000","0","0","2","25101"
"4911","0","0","3","4901","15500000","0","0","2","25101"
"5011","0","0","3","5001","16000000","0","0","2","25101"
"5111","0","0","3","5101","16000000","0","0","2","25101"
"5211","0","0","3","5201","16000000","0","0","2","25101"
"5311","0","0","3","5301","16500000","0","0","2","25101"
"5411","5412","0","3","5401","16500000","0","0","2","25101"
"5511","0","0","3","5501","16500000","0","0","2","25101"
"5611","0","0","3","5601","17000000","0","0","2","25101"
"5711","0","0","3","5701","17000000","0","0","2","25101"
"5811","0","0","3","5801","17000000","0","0","2","25101"
"5911","0","0","3","5901","17500000","0","0","2","25101"
"6011","0","0","3","6001","17500000","0","0","2","25101"
"6111","0","0","3","6101","17500000","0","0","2","25101"
"6211","6212","0","3","6201","18000000","0","0","2","25101"
"6311","0","0","3","6301","18000000","0","0","2","25101"
"6411","0","0","3","6401","18000000","0","0","2","25101"
"6511","0","0","3","6501","18500000","0","0","2","25101"
"6611","0","0","3","6601","18500000","0","0","2","25101"
