894c7ef9c514334b9344a27cc20ff761d7681cd5fae2cb9ca98d875c3f84f282,e4cdca157feb231c520bbaedd09ba4691ecd706301fd97d41c1d4bc7af1ef4e0,b5a55e8b699751452091ec6f3211b07118353151ed7711cf3bd3a0dc56fe0193,9fd77425b49e6cb630661a96c6809a1eac06033ac1ab7c554ebc501fd44e3044,c9bcd34f337d9879812c0d467b70a129e98e5976e6b00114ca2a220208e96013,34cc672904dca7c3b74482a8588cda20fb2c27dec20566b5f24697323a7b2ce6,c8eca64b33049f2ea2f1c054ec866328f56db081018d8865b0a57a5852c99860
"1","10","91002","8","2500","獲得累積分數2500分","101"
"1","10","91002","8","5000","獲得累積分數5000分","102"
"1","10","91002","8","10000","獲得累積分數10000分","103"
"1","10","91002","8","12500","獲得累積分數12500分","104"
"1","10","91002","8","15000","獲得累積分數15000分","105"
"1","10","91002","8","20000","獲得累積分數20000分","106"
"1","10","91002","8","25000","獲得累積分數25000分","107"
"1","10","91002","8","30000","獲得累積分數30000分","108"
"1","10","91002","8","35000","取得累積分數35000分","109"
"1","10","91002","8","40000","取得累積分數40000分","110"
"1","10","91002","8","45000","取得累積分數45000分","111"
"1","1","11001302","15","50000","取得累積分數50000分","112"
"2","10","91002","8","2500","獲得累積分數2500分","201"
"2","10","91002","8","5000","獲得累積分數5000分","202"
"2","10","91002","8","10000","獲得累積分數10000分","203"
"2","10","91002","8","12500","獲得累積分數12500分","204"
"2","10","91002","8","15000","獲得累積分數15000分","205"
"2","10","91002","8","20000","獲得累積分數20000分","206"
"2","10","91002","8","25000","獲得累積分數25000分","207"
"2","10","91002","8","30000","獲得累積分數30000分","208"
"2","10","91002","8","35000","取得累積分數35000分","209"
"2","10","91002","8","40000","取得累積分數40000分","210"
"2","10","91002","8","45000","取得累積分數45000分","211"
"2","1","11001303","15","50000","取得累積分數50000分","212"
