707d4fa7eabefa3edc844256dd42f29d05c04d023bb95a2fb92e8d97c3e5eea0,530bc13bdeec0bf6699921fef2c0a6df8dae45131757df54a579f38ebc4f824f,84bbea286ba60ef74cb0e4e03b2e16f80bc66584cda99087e105ecee4c94d3fb
"101","1","可透過支線劇情來體驗特別的劇情。\n活動劇情會將於進入活動冒險後解放。"
"201","2","完成活動限定的任務後\n可解放的角色將會登場。\n以完成任務為目標吧。"
"301","3","挑戰Boss時，有時候\n會出現信賴度故事。信賴度將會按照對話的內容提升，\n達到特定的信賴度時可獲得禮物。"
"20005","4","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20007","5","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20009","6","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20010","7","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20011","8","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20013","9","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20015","10","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20016","11","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20018","12","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20020","13","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20021","14","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20022","15","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20025","16","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20026","17","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20027","18","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20029","19","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20031","20","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20032","21","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20033","22","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20035","23","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20038","24","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20040","25","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20042","26","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20044","27","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20045","28","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20047","29","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20051","30","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20052","31","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20053","32","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20055","33","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20057","34","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20058","35","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20059","36","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20063","37","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20065","38","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20066","39","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"20067","40","完成任務後可解放的角色將會登場。\n以完成任務為目標吧。"
"2003201","2003201","在VERY HARD和正先生會給予支援的樣子。\n使用給予暈眩效果的必殺技，為我們提供支援唷。\n在Boss無法動彈的瞬間，一口氣打倒它吧。"
"2003901","2003901","主人似乎很努力地在做作業。\n若能耐過怪物攻擊直到作業做完就勝利囉。\n作業進度可於畫面上的計量表確認喔。	"
