b1c46da327df82a862659053778856cef80b9d4f6d5c343c7433368bb254ad89,0b7740504261440849fd33b85c4366dae6ab4572ff7964b780ce5532eaa07be7,2c9ab6abcae94d063053948a2d67cb7418c6021324771d22261d5cb883e2d1ca,3a8bd600c0b144d003c57fdf200c5fdf91c2cc043cc4439dc10a3e829769838d,480d0245123dcb31a9d438e4c7524ec1803c0309b36bfbcd3ebd878739c009d3
"101","1","25","13000001","1"
"102","1","26","40001","1"
"103","1000","28","99012","1"
"201","1","25","13000002","2"
"202","1","26","40002","2"
"203","1000","28","99012","2"
"701","1","25","13000009","7"
"702","1","26","40003","7"
"703","1000","28","99012","7"
"1101","1","25","13000008","11"
"1102","1","26","40004","11"
"1103","1000","28","99012","11"
"1501","1","25","13000003","15"
"1502","1","26","40005","15"
"1503","1000","28","99012","15"
