465dbb8543e9d8368e9265db18baa22c66ba50dac60712593a35f4f33b6bc44f,20f34818019d2e1528d00db4e799459bf6c8a11988ca0ed40ce15c97db889684,7d6d39532927d5ab69c55e8e43c14f14595da5c6c9967a4a550d5e1919c930cb,79ca26930041f719ebec604553b2e21f20df3905e6331f233cae710a57678f19,97bec069d0ad66bd4aa634e8eb812a59546fa94e84d2cbc577814d159745a5c9,252c7952df944d225b8582633837fef774042736851fd12b1bac4da5697c0f90,cedaf0502f088ee3b630e85dbe23ad73bc14c4a6c79f5744685328f80af503af,3bc0dc62da6995c74f990a87a04a35bdf9aa2676ea3cff965d197b9ac1574035,3c767bee9d64855806a4e7b0a6ee6f99d0080ede267f18d0e4d4257ebee65ade,43cc46f5b7dd12568f82d5428ac4f381f2dcc09f60e20a9222781f8ec75fea66
"1","0","0","2","0","","1","1010001","vo_10011600_0101","vo_10011600"
"2","0","0","1","8","　從明天開始","1","1010002","0","0"
"3","1.625","1","4","0","","1","1010003","0","0"
"4","0","0","1","10","就要入學聖德蕾莎女學院了！","1","1010004","0","0"
"5","4","1","4","0","","1","1010005","0","0"
"6","0","0","2","0","","1","1010006","vo_10011600_0102","vo_10011600"
"7","0","0","1","8","　為什麼","1","1010007","0","0"
"8","1.375","1","4","0","","1","1010008","0","0"
"9","0","0","1","9","事情會變成這個樣子呢？\n","1","1010009","0","0"
"10","3.33333333333333","1","4","0","","1","1010010","0","0"
"11","0","0","2","0","","1","1010011","vo_10011600_0103","vo_10011600"
"12","0","0","1","8","雖然美里老師","1","1010012","0","0"
"13","1.75","1","4","0","","1","1010013","0","0"
"14","0","0","1","10","說我一定沒問題的……","1","1010014","0","0"
"15","3","1","4","0","","1","1010015","0","0"
"16","0","0","1","8","但是我一定辦不到啊～！\n","1","1010016","0","0"
"17","3.875","1","4","0","","1","1010017","0","0"
"18","0","0","2","0","","1","1010018","vo_10011600_0104","vo_10011600"
"19","0","0","1","8","可是。","1","1010019","0","0"
"20","2.375","1","4","0","","1","1010020","0","0"
"21","0","0","1","8","可是……","1","1010021","0","0"
"22","2.5","1","4","0","","1","1010022","0","0"
"23","0","0","2","0","","1","1010023","vo_10011600_0105","vo_10011600"
"24","0","0","1","8","可是、","1","1010024","0","0"
"25","1.375","1","4","0","","1","1010025","0","0"
"26","0","0","1","8","如果、","1","1010026","0","0"
"27","1.5","1","4","0","","1","1010027","0","0"
"28","0","0","1","8","我可以在聖德蕾莎女學院好好努力。\n\n","1","1010028","0","0"
"29","4.875","1","4","0","","1","1010029","0","0"
"30","0","0","2","0","","1","1010030","vo_10011600_0106","vo_10011600"
"31","0","0","1","6","……是不是就能","1","1010031","0","0"
"32","1.58333333333333","1","4","0","","1","1010032","0","0"
"33","0","0","1","8","交到朋友呢？","1","1010033","0","0"
"34","1.75","1","4","0","","1","1010034","0","0"
"1","0","0","2","0","","2","1020001","vo_10011600_0201","vo_10011600"
"2","0","0","1","8","　一想到要用「日安」向別人打招呼，","2","1020002","0","0"
"3","2.375","1","4","0","","2","1020003","0","0"
"4","0","0","1","8","我孤單的心靈就會緊張到怦怦狂跳。\n","2","1020004","0","0"
"5","4","1","4","0","","2","1020005","0","0"
"6","0","0","2","0","","2","1020006","vo_10011600_0202","vo_10011600"
"7","0","0","1","8","不過，","2","1020007","0","0"
"8","1.125","1","4","0","","2","1020008","0","0"
"9","0","0","1","8","此時BB團團長卻突然現身！","2","1020009","0","0"
