a1a9242d75ad55f7f49054b4e41e093eeeedeec66fa9dadf429d5693cc5e215c,5908880b4665ad9af3ef00ae52352fc52b486c26e1d35bf2a7c0ba596898bdbc,80c78d0c3a95f18d8fb55eb8a7225df6d1fca639575cea504347ba157e946b33,227350627fd21cc7c490cbf7a39eb61eb3931664f870543709edb4718302a4bc,76af0af7aeafd72145d6c81d2ae94e223221e6fc0da3e73f8f6e1827aae9b4de,2cfff6402f3055c629091138cb2a0c12dc0dee41955c93d9d5e3a87fbbdbf6dc,5896147a496502833bfd878331338229cbd6b51ec7c1368cbad057c5dad211e8,8e88cefbaba53c52863c310bf6ed1239a8027d04cf3942a313e4b5a6c39db189,1d1d99e9dea2fd401ad8ec7609015ab69dfcfe82ddf4503cb78b50e49fb92795
"320010106","0","11","502001102","0.7","1","1","1","43.5"
"320010106","0","67","502001103","0.65","2","2","3","13"
"320010106","0","49","0","0.65","3","3","2","-74"
"320010107","0","13","502001108","0.7","1","4","1","-49"
"320010107","0","62","502001109","0.85","2","5","3","-4"
"320010107","0","50","0","0.65","3","6","2","59"
"320010108","0","-10","0","1.05","1","7","1","0"
"320010109","0","-10","0","1.05","1","8","1","-15"
"320010110","0","-45","0","0.43","1","9","1","-85"
"320010110","0","-45","0","0.43","2","10","2","85"
"320010206","0","11","502001202","0.7","1","11","1","43.5"
"320010206","0","67","502001203","0.65","2","12","3","13"
"320010206","0","49","0","0.65","3","13","2","-74"
"320010207","0","13","502001208","0.7","1","14","1","-49"
"320010207","0","62","502001209","0.85","2","15","3","-4"
"320010207","0","50","0","0.65","3","16","2","59"
"320010208","0","-10","0","1.05","1","17","1","0"
"320010209","0","-10","0","1.05","1","18","1","-15"
"320010210","0","-45","0","0.43","1","19","1","-85"
"320010210","0","-45","0","0.43","2","20","2","85"
"320010306","0","11","502001302","0.7","1","21","1","43.5"
"320010306","0","67","502001303","0.65","2","22","3","13"
"320010306","0","49","0","0.65","3","23","2","-74"
"320010307","0","13","502001308","0.7","1","24","1","-49"
"320010307","0","62","502001309","0.85","2","25","3","-4"
"320010307","0","50","0","0.65","3","26","2","59"
"320010308","0","-10","0","1.05","1","27","1","0"
"320010309","0","-10","0","1.05","1","28","1","-15"
"320010310","0","-45","0","0.43","1","29","1","-85"
"320010310","0","-45","0","0.43","2","30","2","85"
"320010406","0","11","502001402","0.7","1","31","1","43.5"
"320010406","0","67","502001403","0.65","2","32","3","13"
"320010406","0","49","0","0.65","3","33","2","-74"
"320010407","0","13","502001408","0.7","1","34","1","-49"
