1df7cce060019fb80756444ac00f1a29d782e89d4eada2ed6b09365f26012f90,687f393e8a2197eb64e4b8ba2b0c9cc1899f791c527fe7e1dfb9de37957a82e8,e6aecbd65337298e4717af302e9e8c26f810834ab0bb4c8df1a823704145885a,83da05b6defc446a28642ae5de97a2a7d0a7ef95b214949a5111c767aec0fbaf,f3baf817efd0ee80c23f90314b5bd0e20db31472960b183862d01bf7e24211d3,0fe3c9a06589b4838be4cfab5a7d501996ac3a74f36da7ba4bbb548fc3bdf620,b7bf82bc47c437b78f850a46865dcc75e205876da4dbb9d4ad5c094091f2927f,9712d58de1caf8de756ea8aed3ca60309fa490f6b7e5567f7c2c43b35f99cd0d,0f0679d5bd346b01638eaa173dfd3967691c59d17692472dd9b8b2edf93f9aa7,5e37753e0fad6b09cdd480509d42f8be8d4c6b9da72563cbb1b0f72ae93111ac,bf44f69be1e2954fa9dd89fca86973bc12d7e4481b8470410012d392624d60a6,a44a51a778bd63fdacef0096a254db92a4a3273e78f87e97407ef8ff173a789f,90630af4431740a0cb3bf229cd3ed409be52f0312789dd5399a92c823f7a2bc7,557460569cd5e39a34dd22a9637418198a514430729cd81cff3c1def3221ca13,5131ab3f4082bdb3f91751efbb3205c7982881ecbd0985b00f4af20443029067
"7001","7","-363","1","2015/12/17 15:00:00","0","偶爾參加共鬥\n好像也不錯吼？\n我也助你一臂之力吧。","凱留","2099/12/17 14:59:59","0","106001","1","1","0","0"
"7002","7","-363","1","2015/12/17 15:00:00","0","似乎可以和許多人\n協力戰鬥呢。\n要是主人的話，\n想必能夠非常活躍吧。","可可蘿","2099/12/17 14:59:59","0","105901","1","1","0","0"
"7003","7","-363","1","2015/12/17 15:00:00","0","和許多人一起\n共同戰鬥！\n一起加油吧☆　","貪吃佩可","2099/12/17 14:59:59","0","105801","1","1","0","0"
"10001","10","-363","1","2015/12/17 15:00:00","0","用寶石可以換食物…\n不對，是換貴重物品啦！","貪吃佩可","2099/12/17 14:59:59","0","105801","1","1","0","0"
"10002","10","-363","1","2015/12/17 15:00:00","0","寶石要好好想清楚\n再使用哦！\n別亂花喔！","凱留","2099/12/17 14:59:59","0","106001","1","1","0","0"
"10003","10","-363","1","2015/12/17 15:00:00","0","用主人的寶石\n可以買到各種貴重的物品\n雖然如此，浪費還是\n『壞壞』呦。","可可蘿","2099/12/17 14:59:59","0","105901","1","1","0","0"
"10004","10","-363","2","2015/12/17 15:00:00","0","只要有寶石\n似乎就能交換貴重物品\n珍惜著使用吧","雪菲","2030/12/17 14:59:59","0","106401","1","1","2104010","0"
"12001","12","-416.5","1","2015/12/17 15:00:00","0","達到特定條件的話\n可以得到報酬喔！\n一起加油吧♪　","貪吃佩可","2099/12/17 14:59:59","0","105801","1","1","0","0"
"13001","13","-363","1","2015/12/17 15:00:00","0","雖然經歷了各種事，\n回頭一看，\n感覺卻挺不賴吶？","凱留","2099/12/17 14:59:59","0","106001","1","1","0","0"
"13002","13","-363","1","2015/12/17 15:00:00","0","和主人度過的快樂每一天……\n到這裡可以隨意\n想回想幾次就回想幾次♪　","可可蘿","2099/12/17 14:59:59","0","105901","1","1","0","0"
"13003","13","-363","2","2015/12/17 15:00:00","0","裡頭裝有許多\n和大家一起的重要回憶呢\n希望能跟各位一同回想\n雋刻於心上","雪菲","2099/12/17 14:59:59","0","106401","1","1","2104010","0"
"13004","13","-363","1","2015/12/17 15:00:00","0","看到你有很多\n和女生共度的回憶哦！\n嗚呼嗚呼♪\n你很受歡迎呢☆","貪吃佩可","2099/12/17 14:59:59","0","105801","1","1","0","0"
"14001","14","-363","1","2015/12/17 15:00:00","0","這是可以獲得培育\n所需的道具的冒險。\n為了主人，在下\n一定會變強的呦","可可蘿","2099/12/17 14:59:59","0","105901","1","1","0","0"
"14002","14","-363","2","2015/12/17 15:00:00","0","只要攻略這個冒險，\n似乎就能取得道具。\n為了變得更強，\n要拚命努力啊！","雪菲","2099/12/17 14:59:59","0","106401","1","1","2104010","0"
"14003","14","-363","1","2015/12/17 15:00:00","0","攻略這個冒險的話，\n可以得到道具哦\n蒐集許多道具，變得\n越來越強吧！","貪吃佩可","2099/12/17 14:59:59","0","105801","1","1","0","0"
"14004","14","-363","1","2015/12/17 15:00:00","0","攻略冒險的話，\n聽說就能得到道具\n能拿的東西，\n我們就要拿到！","凱留","2099/12/17 14:59:59","0","106001","1","1","0","0"
"15001","15","-470","1","2015/12/17 15:00:00","0","主人，做好行前準備\n一起完成充實的冒險吧。","可可蘿","2099/12/17 14:59:59","0","105901","1","1","0","0"
"16001","16","-363","2","2015/12/17 15:00:00","0","欸……要不要加入戰隊？\n一個人是很開心，但跟大家\n一起很熱鬧，我覺得很棒","雪菲","2099/12/17 14:59:59","0","106401","1","1","2104010","0"
"16002","16","-363","1","2015/12/17 15:00:00","0","要加入戰隊看看嗎？\n和大家一起冒險\n非常開心哦！","貪吃佩可","2099/12/17 14:59:59","0","105801","1","1","0","0"
"16003","16","-363","1","2015/12/17 15:00:00","0","似乎可以加入戰隊哦\n機會難得，加入看看吧？\n好像挺好玩的哦♪","凱留","2099/12/17 14:59:59","0","106001","1","1","0","0"
"16004","16","-363","1","2015/12/17 15:00:00","0","在這裡可以加入戰隊，\n有很多厲害的戰隊，\n真令人目不暇給。","可可蘿","2099/12/17 14:59:59","0","105901","1","1","0","0"
"17002","17","-363","1","2015/12/17 15:00:00","0"," 在這邊可以回顧\n與同伴一同參加戰隊競賽時\n大顯身手的樣子。","可可蘿","2099/12/17 14:59:59","0","105901","1","1","0","0"
"17004","25","-363","1","2015/12/17 15:00:00","0","模擬戰的戰績裡如果有你\n喜歡的內容在裡面的話，\n可以存檔喔","凱留","2030/12/17 14:59:59","0","106001","1","1","0","0"
"17005","25","-363","1","2015/12/17 15:00:00","0","主人，您這次在戰隊競賽的\n活躍表現已存檔\n請用來作為未來戰鬥時的參考吧","可可蘿","2030/12/17 14:59:59","0","105901","1","1","0","0"
"17006","25","-363","2","2015/12/17 15:00:00","0","這次的戰隊競賽\n戰況如何？\n看戰績，或許能活用到\n下次的戰鬥上","雪菲","2030/12/17 14:59:59","0","106401","1","1","2104010","0"
"17007","25","-363","1","2015/12/17 15:00:00","0","可以複習一下這次戰隊競賽\n的戰績喔！\n也讓我看看吧☆","貪吃佩可","2030/12/17 14:59:59","0","105801","1","1","0","0"
"18001","18","-363","1","2019/03/06 16:00:00","0","歡迎！\n在這裡提供主頁或\n公會小屋播放音樂的\n變更與購買服務喔。","花凜","2030/12/17 14:59:59","0","190801","1","1","0","0"
"18002","18","-363","1","2019/03/06 16:00:00","0","BGM的變更與購買\n都可以在這裡進行喔\n我們為您準備了，\n很多動人的樂曲喔！","花凜","2030/12/17 14:59:59","0","190801","2","1","0","0"
"19001","19","-470","1","2019/03/06 16:00:00","0","主頁或公會小屋的BGM\n都可以更改喔\n您喜歡的樂曲，\n也請讓我聽聽看吧。","花凜","2030/12/17 14:59:59","0","190801","3","1","0","0"
"19002","19","-470","1","2019/03/06 16:00:00","0","在這裡，\n可以將BGM更改喔\n您要更改為什麼樂曲呢？\n呵呵呵，我也很期待呢♪","花凜","2030/12/17 14:59:59","0","190801","4","1","0","0"
"20001","20","-470","1","2019/03/06 16:00:00","0","在這裡，\n可以讓您購買BGM喔，\n也可以讓您試聽，\n請仔細挑選吧。","花凜","2030/12/17 14:59:59","0","190801","5","1","0","0"
"20002","20","-470","1","2019/03/06 16:00:00","0","歡迎光臨！\n請到這裡購買BGM\n有很多優秀的樂曲，\n讓人挑得目不暇給呢。","花凜","2030/12/17 14:59:59","0","190801","6","1","0","0"
"21001","21","-363","1","2019/03/06 16:00:00","0","在這裡好像可以用取得的道具\n來製作專用裝備呢\n如果收集到了道具\n就立刻來試做吧！","凱留","2030/12/17 14:59:59","0","106001","1","1","0","0"
"21002","21","-363","1","2019/03/06 16:00:00","0","攻略時有可能\n獲得稀有的道具喔\n有了這類道具\n好像可以用來製作專用裝備。","可可蘿","2030/12/17 14:59:59","0","105901","1","1","0","0"
