8ea6bc13158605c9bfe2d956bed17bffcfcb242284007b883d3de49251e39d27,860a15f4de260953e457a38c07b183c65d63d268be92453e70593c2c76af6417,46cd6d37e5244ce15a245ef089456dedb7754866fcd5e27b601597518d90c05d,8e0ec6ddcedff36bd5222cccc7615a3f08ac192e517039158a82f58e4da4f846,6dbe14d2d92dfed5f0da63fdf064fc5d581f846e5164c40c694420a6b265f3b3,0c9e26f2ea6e5bbc03a87324359fbd34baeaca7e33e97fc32f50b70cdc14ddac,b17d2f481387bbf24e8c48d73a7bd2e2ba9cb09604cb2eb1d6a173b2905f34c6
"10","101","91002","1","8","2500","獲得累積分數2500分"
"10","102","91002","1","8","5000","獲得累積分數5000分"
"10","103","91002","1","8","10000","獲得累積分數10000分"
"10","104","91002","1","8","12500","獲得累積分數12500分"
"10","105","91002","1","8","15000","獲得累積分數15000分"
"10","106","91002","1","8","20000","獲得累積分數20000分"
"10","107","91002","1","8","25000","獲得累積分數25000分"
"10","108","91002","1","8","30000","獲得累積分數30000分"
"10","109","91002","1","8","35000","取得累積分數35000分"
"10","110","91002","1","8","40000","取得累積分數40000分"
"10","111","91002","1","8","45000","取得累積分數45000分"
"1","112","11001302","1","15","50000","取得累積分數50000分"
"10","201","91002","2","8","2500","獲得累積分數2500分"
"10","202","91002","2","8","5000","獲得累積分數5000分"
"10","203","91002","2","8","10000","獲得累積分數10000分"
"10","204","91002","2","8","12500","獲得累積分數12500分"
"10","205","91002","2","8","15000","獲得累積分數15000分"
"10","206","91002","2","8","20000","獲得累積分數20000分"
"10","207","91002","2","8","25000","獲得累積分數25000分"
"10","208","91002","2","8","30000","獲得累積分數30000分"
"10","209","91002","2","8","35000","取得累積分數35000分"
"10","210","91002","2","8","40000","取得累積分數40000分"
"10","211","91002","2","8","45000","取得累積分數45000分"
"1","212","11001303","2","15","50000","取得累積分數50000分"
