58c7b5cb48f6a1c793ab60f787e8af67bbfcf8b206479b64da12da263e5cf926,d5a86ca00e014b49282a92ebae7cadae572e2c9bb429eaed19cb4fe922b78bfa,05e62460a236c11a1e27cfe8bd42796fe5b8adb38fa2d987478e7a91e91d5153,96cb7f0830aa5fc7a3390e76566b1b5c9608f9babfcb02e83771e52c758374bd,cb414a3c1a6af2ec7a12f64d5bd12aa8bbbda84f3a0f37db1cce399ffa880a39,1840b22615680e889faa5b95100b995d1c4494953eef5ca1502b4d136ec8dff8,f7f5de55ab0b9f7abdc27f65f77ef9bfb3abcf52ce5c6ff8a4320874ccbe1712,48b29c00f8b9182d13c98d04e1edc836f971f7f230e75888bda935f6a233b9d0,6b2de9f37b04ae1dbee9404b0be7b3e5b7b0badef739a3a16ddf6e63c584a276,71ee96934beff286987df090c92c92f0abe654f944433f9202f9df42c90f8e8c,2abd43a48588189d12083a4e2da269b9855841bb9d1e49e83bb77447d4287d72
"1","0","52","12001","-250","30","talk_sad","1","5","2.2","12"
"1","0","1","12002","0","1","","1","6","0","12"
"0","0","29","12003","0","50","black","0","5","1","12"
"0","0","1","12004","0","1","","1","6","0","12"
"0","","","12005","","","","","91","","12"
"1","0","1","12006","1","1","","1","6","0.2","12"
"0","0","1","12007","1","1","","1","6","0.2","12"
"1","","-250","12008","2","0.3","","-20","2","","12"
"0","","0","12009","2","0.3","","0","2","","12"
"0.6","","","12010","","","","0","93","","12"
"vo_asb","","0","12011","","0","","vo_asb_0121","21","","12"
"1","0","10","12012","1","1","0","回想起來，\n我甚至連伴手禮都沒帶……","11","0","12"
"0","","0","12013","","0","","","91","","12"
"1","","1","12014","","","","guts2_talk_shy","3","0.2","12"
"vo_asb","","0","12015","","0","","vo_asb_0122","21","","12"
"1","0","10","12016","1","1","0","下次拜訪的時候必定……！","11","0","12"
"0","","0","12017","","0","","","91","","12"
"1","","1","12018","","","","sad_talk_surprise","3","0.2","12"
"vo_asb","","0","12019","","0","","vo_asb_0123","21","","12"
"1","0","10","12020","1","1","0","……不過，帶什麼才好呢？\n要是選了不適合的東西，\n反倒讓對方感到困擾也不行……","11","0","12"
"0","","0","12021","","0","","","91","","12"
"1","","1","12022","","","","surprise_talk_dere","3","0.3","12"
"vo_asb","","0","12023","","0","","vo_asb_0124","21","","12"
"1","0","10","12024","1","1","0","畢竟是跟兄長大人有關的地方……\n果然還是跟兄長大人商量，\n再一起去挑比較好吧……","11","0","12"
"0","","0","12025","","0","","","91","","12"
"1","0","0","12026","1","sad_idle_red_riri","","sad_talk_riri_in","3","0.4","12"
"vo_asb","","0","12027","","0","","vo_asb_0125","21","","12"
"1","0","10","12028","1","1","0","……一起……挑伴手禮……\n……臉紅。","11","0","12"
"0","","0","12029","","0","","","91","","12"
"12031","","","12030","","","","","101","","12"
"1","0","1","12031","0","1","","1","6","0.3","12"
"0","0","1","12032","0","1","","1","6","0.3","12"
"1","","-250","12033","1","0.3","","-120","2","","12"
"0","","0","12034","1","0.3","","-100","2","","12"
"0","","","12035","","","","0","22","","12"
"0.4","","","12036","","","","0","93","","12"
"1","0","17","13001","-230","20","riri_idle_look_shy","1","5","2.2","13"
"2","0","19","13002","-255","-140","clear_idle_look_shy","2","5","2.2","13"
"3","1","18","13003","-245","270","idle_look_precia","3","5","2.2","13"
"1","0","1","13004","0","1","","1","6","0","13"
"2","0","1","13005","0","1","","1","6","0","13"
"3","0","1","13006","0","1","","1","6","0","13"
"1","","0","13007","1","0","","100","31","0","13"
"100","","","13008","","","","0","35","","13"
"0","0","16","13009","0","50","black","0","5","1","13"
"0","0","1","13010","0","1","","1","6","0","13"
"0","","","13011","","","","","91","","13"
"0.1","","","13012","","","","0","93","","13"
"1","0","1","13013","1","1","","1","6","0.2","13"
"2","0","1","13014","1","1","","1","6","0.2","13"
"3","0","1","13015","1","1","","1","6","0.2","13"
"0","0","1","13016","1","1","","1","6","0.2","13"
"1","","-230","13017","2","0.3","","-30","2","","13"
"2","","-255","13018","2","0.3","","-190","2","","13"
"3","","-245","13019","2","0.3","","220","2","","13"
"0","","0","13020","2","0.3","","0","2","","13"
"100","","","13021","","","","1","32","","13"
"0.6","","","13022","","","","0","93","","13"
"1","","1","13023","","","","sad_talk_look_shy_riri","3","0.2","13"
"vo_asb","","0","13024","","0","","vo_asb_1521","21","","13"
"1","0","10","13025","1","1","0","其實我們……\n要讓兄長大人看這本\n學習的剪貼簿，\n會覺得有點害羞。","11","0","13"
"0","","0","13026","","0","","","91","","13"
"1","","1","13027","","","","sad_idle_normal_look_shy_riri","3","0.2","13"
"2","","1","13028","","","","clear_talk_look_shy","3","0.2","13"
"vo_asb","","0","13029","","0","","vo_asb_1522","21","","13"
"2","0","10","13030","1","1","0","因為，雖然有很多快樂的回憶，\n但也同樣搞砸了許多事或力不從心。\n這些事要特地讓哥哥看一遍，\n是很需要勇氣的……","11","0","13"
"0","","0","13031","","0","","","91","","13"
"2","","1","13032","","","","clear_idle_look_shy","3","0.3","13"
"3","","1","13033","","","","sad_talk_look_precia","3","0.2","13"
"vo_asb","","0","13034","","0","","vo_asb_1523","21","","13"
"3","0","10","13035","1","1","0","赤裸裸的，\n冒險記。","11","0","13"
"0","","0","13036","","0","","","91","","13"
"3","","1","13037","","","","idle_look_precia","3","0.2","13"
"1","","1","13038","","","","talk_look_shy_riri","3","0.3","13"
"vo_asb","","0","13039","","0","","vo_asb_1524","21","","13"
"1","0","10","13040","1","1","0","但是……這也是種學習。\n兄長大人，能請您務必告訴我們，\n您看完之後的感想嗎？","11","0","13"
