e1d6543ebc96d3b2ac2d8d5b5c828f711d0e6220f7ddfa0dd8cd5b272dfbabf3,5a438eb098994e6ba42dafe0ff8f697813a8bda0ed5e4be9d1e6ffe812a27a2d,d2e98974d5f838e14aa14b476afa392de6e51200b8bd84eff458235c32722eae,d6c5cf779b5ce76915f3c6b4c76c3964041ab0b5e70d7f290f9f6c6d1cdfa953,7ee099b1ec8b1c2e0715d7a63908da41030c017f19ccd427c83014a3afc91ffd,4efeac8ef23284de701cf60eaec879237c762b3c048849b83995982eb41be25f,ba72e9258817ace9f01fee6c56598bbd15f33e4ef37b7fa648eb1cd42e733d23,222b1f573e386c57b0150fa3798c5ffc8b1fcf4c344748122cd59608d2763e05,8d4065b7daa8139ba538995cd4c81645558961235fac798a871e0aabb5b78db5,ae5f4543a6cd2dcb7e341a578c2b20023c4920ddc688146bcd3afffb37971202,283f0fb7eb1e0b3bada7febdd943a86b95f53fe37a2d96faf7d5db1097922f8e
"1","283001001","8","91002","10","2","25021","8","2","25013","31"
"2","283001002","8","91002","10","2","25021","8","2","25013","31"
"3","283001003","8","91002","10","2","25021","8","2","25013","32"
"4","283001004","8","91002","10","2","25021","8","2","25013","32"
"5","283001005","8","91002","10","2","25021","8","2","25013","33"
"6","283001006","8","91002","10","2","25021","9","2","25013","33"
"7","283001007","8","91002","10","2","25021","9","2","25013","34"
"8","283001008","8","91002","10","2","25021","9","2","25013","35"
"9","283001009","8","91002","10","2","25021","9","2","25013","35"
"10","283001010","8","91002","30","2","25021","10","2","25013","37"
"11","283001011","8","91002","10","2","25021","10","2","25013","41"
"12","283001012","8","91002","10","2","25021","11","2","25013","43"
"13","283001013","8","91002","10","2","25021","11","2","25013","46"
"14","283001014","8","91002","10","2","25021","12","2","25013","48"
"15","283001015","8","91002","10","2","25021","12","2","25013","50"
"16","283001016","8","91002","10","2","25021","13","2","25013","53"
"17","283001017","8","91002","10","2","25021","14","2","25013","55"
"18","283001018","8","91002","10","2","25021","14","2","25013","58"
"19","283001019","8","91002","10","2","25021","15","2","25013","60"
"20","283001020","8","91002","30","2","25021","15","2","25013","62"
"21","283001021","8","91002","10","2","25021","16","2","25013","68"
"22","283001022","8","91002","10","2","25021","16","2","25013","70"
"23","283001023","8","91002","10","2","25021","16","2","25013","72"
"24","283001024","8","91002","10","2","25021","17","2","25013","75"
"25","283001025","8","91002","10","2","25021","18","2","25013","77"
"26","283001026","8","91002","10","2","25021","18","2","25013","79"
"27","283001027","8","91002","10","2","25021","19","2","25013","82"
"28","283001028","8","91002","10","2","25021","19","2","25013","84"
"29","283001029","8","91002","10","2","25021","19","2","25013","86"
"30","283001030","8","91002","30","2","25021","20","2","25013","89"
"31","283001031","8","91002","10","2","25021","20","2","25013","94"
"32","283001032","8","91002","10","2","25021","21","2","25013","96"
"33","283001033","8","91002","10","2","25021","21","2","25013","99"
"34","283001034","8","91002","10","2","25021","22","2","25013","101"
"35","283001035","8","91002","10","2","25021","22","2","25013","103"
"36","283001036","8","91002","10","2","25021","23","2","25013","106"
"37","283001037","8","91002","10","2","25021","23","2","25013","108"
"38","283001038","8","91002","10","2","25021","24","2","25013","111"
"39","283001039","8","91002","10","2","25021","25","2","25013","113"
"40","283001040","8","91002","30","2","25021","25","2","25013","115"
"41","283001041","8","91002","10","2","25021","26","2","25013","121"
"42","283001042","8","91002","10","2","25021","27","2","25013","123"
"43","283001043","8","91002","10","2","25021","28","2","25013","125"
"44","283001044","8","91002","10","2","25021","28","2","25013","128"
"45","283001045","8","91002","10","2","25021","29","2","25013","130"
"46","283001046","8","91002","10","2","25021","30","2","25013","132"
"47","283001047","8","91002","10","2","25021","30","2","25013","135"
"48","283001048","8","91002","10","2","25021","31","2","25013","137"
"49","283001049","8","91002","10","2","25021","31","2","25013","139"
"50","283001050","8","91002","30","2","25021","31","2","25013","142"
