9be180c85a76dce5e53da51f5c0b2f31273ad43a5d20e78f381aae735e16ce1e,c084ee0a1549447fa4dff4591e08f75aa697dc5ff9107e25894b80a39373816b,50539cbf06720c0b554e6506451b0700bd9821fbb7d50e2a4531540e91e9bc60,928462e48460591455b665eba6d00325a42647fd8a12ef4e67a3a6ff4c35f9e2,df3bb427aa17a9244748751ff1042aeabc16662ca8498a3fdf008f697f777647,98df7114c36561c7f4282680c2198924669f16de305f6bcb8fdb457f81c40278,0865fc15f22989c5950cd25e479f2d89c9947ae344c0683b6fd95ecf4c22bf41,a4c7b91a4a963af0919951134309729b98498f9352286a0099f8f3e997ae3ff1
"710000001","710100011","710000101","710000102","710000105","710000104","0","100"
"710000002","710100021","710000201","710000202","710000203","710000204","0","100"
"710000003","710100031","710000301","710000304","710000305","710000302","0","100"
"710000004","710100041","710000401","710000404","710000405","710000402","0","100"
"710000005","710100051","710000502","710000505","710000501","710000504","0","100"
"710000006","710100061","710000601","710000605","710000602","710000603","710000604","100"
"710000007","710100071","710000704","710000701","710000702","710000703","710000705","100"
"710000008","710100081","710000805","710000802","710000801","710000803","710000804","100"
"710000009","710100091","710000902","710000903","710000904","710000901","710000905","100"
"710000010","710100101","0","0","0","710001001","0","100"
"710000011","710100111","710001101","710001103","710001105","710001102","710001104","100"
"710000012","710100121","710001205","710001201","710001202","710001203","710001204","100"
"710000013","710100131","710001301","710001303","710001302","710001304","710001305","100"
"710000014","710100141","710001401","710001404","710001402","710001403","710001405","100"
"710000015","710100151","710001501","710001505","710001502","710001503","710001504","100"
"710000016","710100161","710001602","710001601","710001603","710001605","710001604","100"
"710000017","710100171","710001703","710001701","710001702","710001705","710001704","100"
"710000018","710100181","710001801","710001804","710001802","710001803","710001805","100"
"710000019","710100191","710001902","710001901","710001903","710001904","710001905","100"
"710000020","710100201","710002002","710002001","0","710002002","0","100"
"710000021","710100211","710002104","710002102","710002101","710002103","710002105","100"
"710000022","710100221","710002204","710002201","710002202","710002203","710002205","100"
"710000023","710100231","710002302","710002304","710002301","710002303","710002305","100"
"710000024","710100241","710002404","710002401","710002402","710002403","710002405","100"
"710000025","710100251","710002502","710002503","710002504","710002501","710002505","100"
"710000026","710100261","710002602","710002601","710002605","710002603","710002604","100"
"710000027","710100271","710002702","710002705","710002701","710002703","710002704","100"
"710000028","710100281","710002801","710002802","710002805","710002803","710002804","100"
"710000029","710100291","710002901","710002904","710002902","710002903","710002905","100"
"710000030","710100301","710003002","710003003","710003001","710003002","0","100"
"710000031","710100311","710003102","710003101","710003104","710003103","710003105","100"
"710000032","710100321","710003204","710003201","710003202","710003203","710003205","100"
"710000033","710100331","710003304","710003302","710003301","710003303","710003305","100"
"710000034","710100341","710003404","710003402","710003401","710003403","710003405","100"
"710000035","710100351","710003501","710003502","710003504","710003503","710003505","100"
"710000036","710100361","710003601","710003602","710003604","710003603","710003605","100"
"710000037","710100371","710003704","710003701","710003702","710003703","710003705","100"
"710000038","710100381","710003801","710003804","710003802","710003803","710003805","100"
"710000039","710100391","710003902","710003901","710003905","710003903","710003904","100"
"710000040","710100401","710004002","710004003","710004001","710004002","0","100"
"710000041","710100411","710004102","710004104","710004101","710004103","710004105","100"
"710000042","710100421","710004203","710004202","710004201","710004204","710004205","100"
"710000043","710100431","710004304","710004302","710004301","710004303","710004305","100"
"710000044","710100441","710004402","710004403","710004404","710004401","710004405","100"
"710000045","710100451","710004501","710004502","710004504","710004503","710004505","100"
"710000046","710100461","710004604","710004602","710004601","710004603","710004605","100"
"710000047","710100471","710004701","710004702","710004704","710004703","710004705","100"
"710000048","710100481","710004801","710004802","710004803","710004805","710004804","100"
"710000049","710100491","710004904","710004901","710004902","710004903","710004905","100"
"710000050","710100501","710005002","710005003","710005001","710005002","710005004","100"
"710000051","710100511","710005102","710005103","710005101","710005104","710005105","100"
"710000052","710100521","710005202","710005204","710005201","710005203","710005205","100"
"710000053","710100531","710005301","710005303","710005305","710005302","710005304","100"
"710000054","710100541","710005402","710005401","710005403","710005405","710005404","100"
"710000055","710100551","710005504","710005502","710005501","710005503","710005505","100"
"710000056","710100561","710005601","710005603","710005605","710005602","710005604","100"
"710000057","710100571","710005701","710005702","710005704","710005703","710005705","100"
"710000058","710100581","710005801","710005804","710005802","710005803","710005805","100"
"710000059","710100591","710005902","710005903","710005901","710005904","710005905","100"
"710000060","710100601","710006002","710006003","710006001","710006002","710006004","100"
"710000061","710100611","710006101","710006104","710006102","710006103","710006105","100"
"710000062","710100621","710006203","710006201","710006202","710006205","710006204","100"
"710000063","710100631","710006301","710006302","710006305","710006304","710006303","100"
"710000064","710100641","710006404","710006401","710006402","710006403","710006405","100"
"710000065","710100651","710006502","710006501","710006505","710006503","710006504","100"
"710000066","710100661","710006604","710006603","710006602","710006601","710006605","100"
"710000067","710100671","710006703","710006705","710006701","710006704","710006702","100"
"710000068","710100681","710006803","710006802","710006801","710006805","710006804","100"
"710000069","710100691","710006903","710006901","710006902","710006904","710006905","100"
"710000070","710100701","710007002","710007004","710007001","710007002","710007003","100"
"710000071","710200711","710007102","710007103","710007104","710007101","710007105","100"
"710000072","710200721","710007202","710007203","710007204","710007201","710007205","100"
"710000073","710200731","710007302","710007303","710007304","710007301","710007305","100"
"710000074","710200741","710007402","710007403","710007404","710007401","710007405","100"
"710000075","710200751","710007503","710007502","710007504","710007501","710007505","100"
"710000076","710200761","710007602","710007603","710007604","710007601","710007605","100"
"710000077","710200771","710007701","710007703","710007704","710007702","710007705","100"
"710000078","710200781","710007802","710007803","710007804","710007801","710007805","100"
"710000079","710200791","710007903","710007902","710007904","710007901","710007905","100"
"710000080","710200801","710008001","710008002","710008003","710008001","710008004","100"
"710000081","710200811","710008102","710008103","710008104","710008101","710008105","100"
"710000082","710200821","710008202","710008203","710008204","710008201","710008205","100"
"710000083","710200831","710008302","710008303","710008304","710008301","710008305","100"
"710000084","710200841","710008402","710008403","710008404","710008401","710008405","100"
"710000085","710200851","710008502","710008503","710008504","710008501","710008505","100"
"710000086","710200861","710008602","710008603","710008604","710008601","710008605","100"
"710000087","710200871","710008703","710008702","710008704","710008701","710008705","100"
"710000088","710200881","710008802","710008803","710008804","710008801","710008805","100"
"710000089","710200891","710008902","710008903","710008904","710008901","710008905","100"
"710000090","710200901","710009001","710009002","710009003","710009001","710009004","100"
"710000091","710200911","710009102","710009103","710009104","710009101","710009105","100"
"710000092","710200921","710009202","710009203","710009204","710009201","710009205","100"
"710000093","710200931","710009302","710009304","710009303","710009301","710009305","100"
"710000094","710200941","710009402","710009403","710009404","710009401","710009405","100"
"710000095","710200951","710009504","710009502","710009503","710009501","710009505","100"
"710000096","710200961","710009602","710009603","710009604","710009601","710009605","100"
"710000097","710200971","710009702","710009703","710009704","710009701","710009705","100"
"710000098","710200981","710009802","710009801","710009804","710009803","710009805","100"
"710000099","710200991","710009902","710009903","710009904","710009901","710009905","100"
"710000100","710201001","710010001","710010002","710010004","710010001","710010003","100"
"710000101","710201011","710010102","710010103","710010104","710010101","710010105","100"
"710000102","710201021","710010203","710010202","710010204","710010201","710010205","100"
"710000103","710201031","710010302","710010303","710010304","710010301","710010305","100"
"710000104","710201041","710010402","710010403","710010404","710010401","710010405","100"
"710000105","710201051","710010502","710010503","710010504","710010501","710010505","100"
"710000106","710201061","710010602","710010603","710010604","710010601","710010605","100"
"710000107","710201071","710010701","710010703","710010702","710010704","710010705","100"
"710000108","710201081","710010802","710010803","710010804","710010801","710010805","100"
"710000109","710201091","710010902","710010903","710010904","710010901","710010905","100"
"710000110","710201101","710011001","710011002","710011003","710011001","710011004","100"
"710000111","710301111","710011103","710011104","710011102","710011101","710011105","100"
"710000112","710301121","710011201","710011202","710011204","710011203","710011205","100"
"710000113","710301131","710011301","710011304","710011302","710011303","710011305","100"
"710000114","710301141","710011401","710011403","710011404","710011402","710011405","100"
"710000115","710301151","710011503","710011504","710011502","710011501","710011505","100"
"710000116","710301161","710011603","710011602","710011604","710011601","710011605","100"
"710000117","710301171","710011703","710011702","710011704","710011701","710011705","100"
"710000118","710301181","710011802","710011803","710011804","710011801","710011805","100"
"710000119","710301191","710011903","710011904","710011902","710011901","710011905","100"
"710000120","710301201","710012001","710012002","710012003","710012001","710012004","100"
"710000121","710301211","710012104","710012105","710012102","710012101","710012103","100"
"710000122","710301221","710012201","710012202","710012204","710012203","710012205","100"
"710000123","710301231","710012302","710012303","710012304","710012301","710012305","100"
"710000124","710301241","710012402","710012405","710012404","710012401","710012403","100"
"710000125","710301251","710012502","710012503","710012505","710012501","710012504","100"
"710000126","710301261","710012604","710012603","710012602","710012601","710012605","100"
"710000127","710301271","710012702","710012703","710012704","710012701","710012705","100"
"710000128","710301281","710012803","710012804","710012802","710012801","710012805","100"
"710000129","710301291","710012904","710012901","710012902","710012903","710012905","100"
"710000130","710301301","710013001","710013002","710013003","710013001","710013004","100"
"710000131","710401311","710013102","710013103","710013104","710013101","710013105","100"
"710000132","710401321","710013202","710013203","710013204","710013201","710013205","100"
"710000133","710401331","710013302","710013303","710013304","710013301","710013305","100"
"710000134","710401341","710013402","710013403","710013404","710013401","710013405","100"
"710000135","710401351","710013502","710013503","710013504","710013501","710013505","100"
"710000136","710401361","710013602","710013603","710013604","710013601","710013605","100"
"710000137","710401371","710013702","710013703","710013704","710013701","710013705","100"
"710000138","710401381","710013802","710013804","710013805","710013801","710013803","100"
"710000139","710401391","710013902","710013903","710013904","710013901","710013905","100"
"710000140","710401401","710014001","710014002","710014003","710014001","710014004","100"
"710000141","710401411","710014102","710014103","710014104","710014101","710014105","100"
"710000142","710401421","710014201","710014202","710014203","710014204","710014205","100"
"710000143","710401431","710014304","710014302","710014303","710014301","710014305","100"
"710000144","710401441","710014402","710014403","710014404","710014401","710014405","100"
"710000145","710401451","710014503","710014502","710014504","710014501","710014505","100"
"710000146","710401461","710014602","710014603","710014604","710014601","710014605","100"
"710000147","710401471","710014702","710014703","710014704","710014701","710014705","100"
"710000148","710401481","710014802","710014803","710014804","710014801","710014805","100"
"710000149","710401491","710014902","710014903","710014904","710014901","710014905","100"
"710000150","710401501","710015001","710015002","710015003","710015001","710015004","100"
"710000151","710501511","710015103","710015101","710015104","710015102","710015105","100"
"710000152","710501521","710015204","710015201","710015203","710015202","710015205","100"
"710000153","710501531","710015302","710015303","710015304","710015301","710015305","100"
"710000154","710501541","710015402","710015403","710015404","710015401","710015405","100"
"710000155","710501551","710015503","710015505","710015502","710015501","710015504","100"
"710000156","710501561","710015602","710015604","710015603","710015601","710015605","100"
"710000157","710501571","710015701","710015702","710015704","710015703","710015705","100"
"710000158","710501581","710015804","710015802","710015805","710015801","710015803","100"
"710000159","710501591","710015902","710015903","710015904","710015901","710015905","100"
"710000160","710501601","710016001","710016002","710016003","710016001","710016004","100"
"710000161","710501611","710016102","710016104","710016103","710016101","710016105","100"
"710000162","710501621","710016202","710016203","710016204","710016201","710016205","100"
"710000163","710501631","710016302","710016303","710016304","710016301","710016305","100"
"710000164","710501641","710016402","710016403","710016404","710016401","710016405","100"
"710000165","710501651","710016501","710016503","710016504","710016502","710016505","100"
"710000166","710501661","710016603","710016602","710016605","710016601","710016604","100"
"710000167","710501671","710016701","710016703","710016704","710016702","710016705","100"
"710000168","710501681","710016802","710016803","710016804","710016801","710016805","100"
"710000169","710501691","710016903","710016902","710016904","710016901","710016905","100"
"710000170","710501701","710017001","710017002","710017003","710017001","710017004","100"
"710000171","710601711","710017101","710017102","710017104","710017103","710017105","100"
"710000172","710601721","710017201","710017204","710017202","710017203","710017205","100"
"710000173","710601731","710017303","710017304","710017302","710017301","710017305","100"
"710000174","710601741","710017403","710017402","710017404","710017401","710017405","100"
"710000175","710601751","710017501","710017502","710017504","710017503","710017505","100"
"710000176","710601761","710017601","710017604","710017602","710017603","710017605","100"
"710000177","710601771","710017701","710017704","710017702","710017703","710017705","100"
"710000178","710601781","710017801","710017802","710017804","710017803","710017805","100"
"710000179","710601791","710017904","710017901","710017902","710017903","710017905","100"
"710000180","710601801","710018004","710018005","710018003","710018001","710018002","100"
"710000181","710601811","710018103","710018101","710018102","710018103","710018104","100"
"710000182","710601821","710018204","710018201","710018202","710018203","710018205","100"
"710000183","710601831","710018303","710018301","710018302","710018303","710018304","100"
"710000184","710601841","710018401","710018402","710018404","710018403","710018405","100"
"710000185","710601851","710018501","710018502","710018504","710018503","710018505","100"
"710000186","710601861","710018601","710018604","710018602","710018603","710018605","100"
"710000187","710601871","710018701","710018704","710018702","710018703","710018705","100"
"710000188","710601881","710018801","710018804","710018802","710018803","710018805","100"
"710000189","710601891","710018901","710018904","710018902","710018903","710018905","100"
"710000190","710601901","710019001","710019002","710019003","710019004","710019005","100"
"710000191","710701911","710019102","710019103","710019104","710019101","710019105","100"
"710000192","710701921","710019202","710019203","710019204","710019201","710019205","100"
"710000193","710701931","710019302","710019303","710019304","710019301","710019305","100"
"710000194","710701941","710019402","710019403","710019404","710019401","710019405","100"
"710000195","710701951","710019502","710019503","710019504","710019501","710019505","100"
"710000196","710701961","710019602","710019603","710019604","710019601","710019605","100"
"710000197","710701971","710019702","710019703","710019704","710019701","710019705","100"
"710000198","710701981","710019802","710019803","710019804","710019801","710019805","100"
"710000199","710701991","710019902","710019903","710019904","710019901","710019905","100"
"710000200","710702001","710020002","710020003","710020004","710020001","710020005","100"
"710000201","710702011","710020102","710020103","710020104","710020101","710020105","100"
"710000202","710702021","710020202","710020203","710020204","710020201","710020205","100"
"710000203","710702031","710020302","710020303","710020304","710020301","710020305","100"
"710000204","710702041","710020402","710020403","710020404","710020401","710020405","100"
"710000205","710702051","710020502","710020503","710020504","710020501","710020505","100"
"710000206","710702061","710020602","710020603","710020604","710020601","710020605","100"
"710000207","710702071","710020702","710020703","710020704","710020701","710020705","100"
"710000208","710702081","710020802","710020803","710020804","710020801","710020805","100"
"710000209","710702091","710020902","710020903","710020904","710020901","710020905","100"
"710000210","710702101","710021002","710021003","710021004","710021001","710021005","100"
"710000211","710802111","710021102","710021103","710021104","710021101","710021105","100"
"710000212","710802121","710021202","710021203","710021204","710021201","710021205","100"
"710000213","710802131","710021302","710021303","710021304","710021301","710021305","100"
"710000214","710802141","710021402","710021403","710021404","710021401","710021405","100"
"710000215","710802151","710021502","710021503","710021504","710021501","710021505","100"
"710000216","710802161","710021602","710021603","710021604","710021601","710021605","100"
"710000217","710802171","710021702","710021703","710021704","710021701","710021705","100"
"710000218","710802181","710021802","710021803","710021804","710021801","710021805","100"
"710000219","710802191","710021902","710021903","710021904","710021901","710021905","100"
"710000220","710802201","710022003","710022001","710022004","710022002","0","100"
"710000221","710802211","710022102","710022103","710022104","710022101","710022105","100"
"710000222","710802221","710022202","710022203","710022204","710022201","710022205","100"
"710000223","710802231","710022302","710022303","710022304","710022301","710022305","100"
"710000224","710802241","710022402","710022403","710022404","710022401","710022405","100"
"710000225","710802251","710022502","710022503","710022504","710022501","710022505","100"
"710000226","710802261","710022602","710022603","710022604","710022601","710022605","100"
"710000227","710802271","710022702","710022703","710022704","710022701","710022705","100"
"710000228","710802281","710022802","710022803","710022804","710022801","710022805","100"
"710000229","710802291","710022902","710022903","710022904","710022901","710022905","100"
"710000230","710802301","710023002","710023001","710023004","710023003","0","100"
"710000231","710902311","710023102","710023103","710023104","710023101","710023105","100"
"710000232","710902321","710023202","710023203","710023204","710023201","710023205","100"
"710000233","710902331","710023302","710023303","710023304","710023301","710023305","100"
"710000234","710902341","710023402","710023403","710023404","710023401","710023405","100"
"710000235","710902351","710023502","710023503","710023504","710023501","710023505","100"
"710000236","710902361","710023602","710023603","710023604","710023601","710023605","100"
"710000237","710902371","710023702","710023703","710023704","710023701","710023705","100"
"710000238","710902381","710023802","710023803","710023804","710023801","710023805","100"
"710000239","710902391","710023902","710023903","710023904","710023901","710023905","100"
"710000240","710902401","710024002","710024003","710024004","710024001","0","100"
"710000241","710902411","710024102","710024103","710024104","710024101","710024105","100"
"710000242","710902421","710024202","710024203","710024204","710024201","710024205","100"
"710000243","710902431","710024302","710024303","710024304","710024301","710024305","100"
"710000244","710902441","710024402","710024403","710024404","710024401","710024405","100"
"710000245","710902451","710024502","710024503","710024504","710024501","710024505","100"
"710000246","710902461","710024602","710024603","710024604","710024601","710024605","100"
"710000247","710902471","710024702","710024703","710024704","710024701","710024705","100"
"710000248","710902481","710024802","710024803","710024804","710024801","710024805","100"
"710000249","710902491","710024902","710024903","710024904","710024901","710024905","100"
"710000250","710902501","710025002","710025003","710025004","710025001","0","100"
"710000251","711002511","710025102","710025103","710025104","710025101","710025105","100"
"710000252","711002521","710025202","710025203","710025204","710025201","710025205","100"
"710000253","711002531","710025302","710025303","710025304","710025301","710025305","100"
"710000254","711002541","710025402","710025403","710025404","710025401","710025405","100"
"710000255","711002551","710025502","710025503","710025504","710025501","710025505","100"
"710000256","711002561","710025602","710025603","710025604","710025601","710025605","100"
"710000257","711002571","710025702","710025703","710025704","710025701","710025705","100"
"710000258","711002581","710025802","710025803","710025804","710025801","710025805","100"
"710000259","711002591","710025902","710025903","710025904","710025901","710025905","100"
"710000260","711002601","710026002","710026003","710026004","710026001","0","100"
"710000261","711002611","710026102","710026103","710026104","710026101","710026105","100"
"710000262","711002621","710026202","710026203","710026204","710026201","710026205","100"
