061e10acfc26d531dcd461deee047163c7e1f7cf5a5895c4f905b13c9eccd783,f23bf28224ae60ab81848689606d752038800cbe8c52b86f262ca5be5dc12043,2a8c967039045db245f5a17fe2d844422b95aaaa3c721ae8052efe8d039c1b7c,a77eaffc9a7e3f8d61129bafb741a80db2aa61a575c5b9faf649f424543df7b3,58bbcd6bdced75e58adc958787926a7f21843e23051b7245a7f08cd78537f4f2,010f8b7895e39dabfed6e1fe58e6cd15f4bc7e62ffb87fdf1b80870c14f0b3da,6abe8e34afd74b8ae86927de22ed7c77f3efdb37bd8b28d25418112e81e4fe8a,164c0f73784cd7aa6b2adfe6a1ab9d089304125f5a7a8a171c08da0cec077ee9
"1","200","2","111","3","5","104","4"
"1","2","2","211","3","5","14","4"
"1","2","2","311","3","5","103","4"
"1","2","2","411","3","5","102","4"
"1","200","2","511","3","5","104","4"
"1","250","2","611","3","5","1","4"
"1","3","2","711","3","5","101","4"
"1","3","2","811","3","5","100","4"
"1","200","2","911","3","5","104","4"
"1","250","2","1011","3","5","1","4"
"1","250","2","1111","3","5","3","4"
"1","250","2","1112","3","5","5","4"
"1","150","2","1211","3","5","6","4"
"1","150","2","1212","3","5","7","4"
"1","200","2","1311","3","5","104","4"
"1","2","2","1411","3","5","103","4"
"1","2","2","1511","3","5","102","4"
"1","250","2","1611","3","5","1","4"
"1","200","2","1711","3","5","104","4"
"1","500","2","1811","3","5","2","4"
"1","500","2","1812","3","5","4","4"
"1","3","2","1911","3","5","101","4"
"1","3","2","2011","3","5","100","4"
"1","200","2","2111","3","5","104","4"
"1","250","2","2211","3","5","1","4"
"1","3","2","2311","3","5","100","4"
"1","3","2","2411","3","5","101","4"
"1","200","2","2511","3","5","104","4"
"1","500","2","2611","3","5","2","4"
"1","500","2","2612","3","5","4","4"
"1","150","2","2711","3","5","6","4"
"1","150","2","2712","3","5","7","4"
"1","500","2","2811","3","5","2","4"
"1","500","2","2812","3","5","4","4"
"1","200","2","2911","3","5","104","4"
"1","250","2","3011","3","5","3","4"
"1","250","2","3012","3","5","5","4"
"1","3","2","3111","3","5","100","4"
"1","3","2","3211","3","5","101","4"
"1","200","2","3311","3","5","104","4"
"1","2","2","3411","3","5","100","4"
"1","200","2","3511","3","5","104","4"
"1","1","2","3611","3","5","103","4"
"1","1","2","3711","3","5","102","4"
"1","250","2","3811","3","5","2","4"
"1","250","2","3812","3","5","4","4"
"1","1","2","3911","3","5","102","4"
"1","200","2","4011","3","5","104","4"
"1","2","2","4111","3","5","100","4"
"1","150","2","4211","3","5","6","4"
"1","150","2","4212","3","5","7","4"
"1","200","2","4311","3","5","104","4"
"1","1","2","4411","3","5","103","4"
"1","200","2","4511","3","5","104","4"
"1","2","2","4611","3","5","101","4"
"1","1","2","4711","3","5","102","4"
"1","200","2","4811","3","5","104","4"
"1","1","2","4911","3","5","103","4"
"1","200","2","5011","3","5","104","4"
"1","2","2","5111","3","5","101","4"
"1","1","2","5211","3","5","102","4"
"1","200","2","5311","3","5","104","4"
"1","150","2","5411","3","5","6","4"
"1","150","2","5412","3","5","7","4"
"1","1","2","5511","3","5","103","4"
"1","200","2","5611","3","5","104","4"
"1","2","2","5711","3","5","100","4"
"1","2","2","5811","3","5","101","4"
"1","1","2","5911","3","5","103","4"
"1","200","2","6011","3","5","104","4"
"1","1","2","6111","3","5","102","4"
"1","250","2","6211","3","5","2","4"
"1","250","2","6212","3","5","4","4"
"1","200","2","6311","3","5","104","4"
"1","1","2","6411","3","5","103","4"
"1","1","2","6511","3","5","102","4"
"1","200","2","6611","3","5","104","4"
"1","150","2","6711","3","5","6","4"
"1","150","2","6712","3","5","7","4"
"1","1","2","6811","3","5","102","4"
"1","200","2","6911","3","5","104","4"
"1","1","2","7011","3","5","103","4"
"1","2","2","7111","3","5","101","4"
"1","2","2","7211","3","5","100","4"
"1","200","2","7311","3","5","104","4"
"1","1","2","7411","3","5","103","4"
"1","1","2","7511","3","5","102","4"
"1","250","2","7611","3","5","2","4"
"1","250","2","7612","3","5","4","4"
"1","200","2","7711","3","5","104","4"
"1","2","2","7811","3","5","101","4"
"1","2","2","7911","3","5","100","4"
"1","200","2","8011","3","5","104","4"
"1","150","2","8111","3","5","6","4"
"1","150","2","8112","3","5","7","4"
"1","2","2","8211","3","5","101","4"
"1","250","2","8311","3","5","2","4"
"1","250","2","8312","3","5","4","4"
"1","1","2","8411","3","5","103","4"
"1","200","2","8511","3","5","104","4"
"1","2","2","8611","3","5","100","4"
"1","1","2","8711","3","5","102","4"
"1","1","2","8811","3","5","103","4"
"1","200","2","8911","3","5","104","4"
"1","1","2","9011","3","5","102","4"
"1","200","2","9111","3","5","104","4"
"1","250","2","9211","3","5","2","4"
"1","250","2","9212","3","5","4","4"
"1","200","2","9311","3","5","104","4"
"1","1","2","9411","3","5","102","4"
"1","1","2","9511","3","5","103","4"
"1","200","2","9611","3","5","104","4"
"1","200","2","9711","3","5","104","4"
"1","2","2","9811","3","5","101","4"
"1","200","2","9911","3","5","104","4"
"1","1","2","10011","3","5","102","4"
"1","1","2","10111","3","5","103","4"
"1","200","2","10211","3","5","104","4"
"1","250","2","10311","3","5","2","4"
"1","250","2","10312","3","5","4","4"
"1","2","2","10411","3","5","100","4"
"1","200","2","10511","3","5","104","4"
"1","1","2","10611","3","5","103","4"
"1","200","2","10711","3","5","104","4"
"1","1","2","10811","3","5","103","4"
"1","2","2","10911","3","5","100","4"
"1","200","2","11011","3","5","104","4"
"1","2","2","11111","3","5","101","4"
"1","200","2","11211","3","5","104","4"
"1","1","2","11311","3","5","102","4"
"1","200","2","11411","3","5","104","4"
"1","1","2","11511","3","5","103","4"
"1","200","2","11611","3","5","104","4"
"1","1","2","11711","3","5","102","4"
"1","200","2","11811","3","5","104","4"
"1","150","2","11911","3","5","6","4"
"1","150","2","11912","3","5","7","4"
"1","200","2","12011","3","5","104","4"
"1","1","2","12111","3","5","102","4"
"1","1","2","12211","3","5","103","4"
"1","2","2","12311","3","5","100","4"
"1","1","2","12411","3","5","102","4"
"1","200","2","12511","3","5","104","4"
"1","2","2","12611","3","5","101","4"
