1eff6c7f36a9865348bf7d890fb140bdbd6fcb12bc2cc783eaa33fff7f313ca9,711b0b91c857f56f9cf561575d0ad508746db00fecca835edd008e7f5f8121f1,9125c0409874a602e9b46c0f811af7e9c4c7b9c511a2082f40b044198d656658,3ba9dd79a4da86e869108e3e9397833a5d8c99e177fea2973e57a5d46f8b5ffe,ef034c61ef4d631ec6c6944c41c5ae8ad6c14c8359f72bd75240eb7eab741254,bd23abdb3d32bd0e49cf506325ab892d45fd5947929517ad8a489802534a6f23,e2416368ea26a2bb3f744c747a3f41fee90d7c63558fab80ab4add0318f7d6d1,7bdaed1c99685a9c1d17d8c46433dea7318230e86068145dbe9f0e9075915496
"7001","1","7","0","1","追尋失落的記憶","2030/04/24 14:59:59","2019/02/13 12:00:00"
"7002","2","7","0","1","姊妹羈絆與願望之塔","2030/04/24 14:59:59","2019/03/15 16:00:00"
"7003","3","7","0","1","眾星二重奏","2030/04/24 14:59:59","2019/04/17 16:00:00"
"7004","4","7","0","1","Sisters‧Booking","2030/04/24 14:59:59","2019/06/17 16:00:00"
"7005","5","7","0","1","惡作劇的鬼屋","2030/04/24 14:59:59","2019/08/16 16:00:00"
"7006","6","7","0","1","兩人的榮耀與羈絆相隨","2030/04/24 14:59:59","2019/10/18 16:00:00"
"7007","7","7","0","1","冥風戰記外傳‧吸血鬼傳承","2030/04/24 14:59:59","2019/12/17 16:00:00"
"7008","8","7","0","1","天真妹系Shooters！","2030/04/24 14:59:59","2020/02/17 16:00:00"
"7009","9","7","0","1","毛茸茸的童話奇遇行","2030/04/24 14:59:59","2020/04/14 16:00:00"
"7010","10","7","0","1","教師們的指導","2030/04/24 14:59:59","2020/06/12 16:00:00"
"7011","11","7","0","1","忍劍奇幻旅程","2030/04/24 14:59:59","2020/08/14 16:00:00"
"7012","12","7","0","1","擦肩而過的距離","2030/04/24 14:59:59","2020/10/13 16:00:00"
"7013","13","7","0","1","不諧和的Work&Rest","2030/04/24 14:59:59","2020/12/10 16:00:00"
"7014","14","7","0","1","淑女的理想與成人的真相","2030/04/24 14:59:59","2021/02/09 16:00:00"
"7015","15","7","0","1","姐姐的命題與博士的對偶","2030/04/24 14:59:59","2021/04/08 16:00:00"
"7016","16","7","0","1","追憶的歌姬與徘徊的幽靈","2030/04/24 14:59:59","2021/06/11 16:00:00"
"7017","17","7","0","1","美之探究者與女君之宴","2030/04/24 14:59:59","2021/08/13 16:00:00"
"7018","18","7","0","1","別冒失！脫離大凶大作戰！","2030/04/24 14:59:59","2021/10/08 16:00:00"
"7019","19","7","0","1","與軍人們的共同任務","2030/04/24 14:59:59","2021/12/10 16:00:00"
"7020","20","7","0","1","小題大作的搞笑與鯛魚燒","2030/04/24 14:59:59","2022/02/10 16:00:00"
"7021","21","7","0","1","年輕正義與大人美學","2030/04/24 14:59:59","2022/04/08 16:00:00"
"7022","22","7","0","1","超能力×魔法＝超魔法少女","2030/04/24 14:59:59","2022/06/10 16:00:00"
"7023","23","7","0","1","加油打氣英雄團！","2030/04/24 14:59:59","2022/08/09 16:00:00"
"7024","24","7","0","1","變貌大妃與（前）黑心商人","2030/04/24 14:59:59","2022/11/08 16:00:00"
"7025","25","7","0","1","激鬥！龍獸之拳交鋒","2030/04/24 14:59:59","2023/03/09 16:00:00"
"7026","26","7","0","1","孤獨女孩交流會","2030/04/24 14:59:59","2023/08/11 16:00:00"
"7027","27","7","0","1","壞蛋們充滿樂趣的旅程","2030/04/24 14:59:59","2024/02/10 16:00:00"
"7028","28","7","0","1","瘋狂拉比林斯","2030/04/24 14:59:59","2024/09/09 16:00:00"
"7029","29","7","0","1","龍之崛起","2030/04/24 14:59:59","2025/09/10 16:00:00"
