8612209e227bbf43b7563b3bc9e7e822fb3bddeddeeaf61b38faa61f97c4a799,b415ad52954b45f2d9fee61276fb33e2c4144c895a3489304632f59e7518d533,6b7b8d1d6e3338473be4ab9f274251828d23d64b8d7887d920392bcd71dae3ce,bfca206952beca1d10ff1a71305e0b08e4a969aba55feb346c2c9afb7b52bffa,a0dc59b7d720061187f28e3a6389de06a9f4a90d610e30328625e5eda817cdf7,08834c4b529146c330bccde0e0acd9857271f3a264e5f080dcaee9819416be5f,d189481ae6116b312e1badf052124d188d2afdffda0ee291038c0e5d50bed41f,980f2b1416893bd478d9fb7589b9bf73d1dbd1046c2398a84acbf99f9c7f11a1,d8639bba5712d891ec582fde37f87c28b3467d4ee424a4ea05b6e6d6f91d21f5,d5c993e86f780bd73216e104bfa2078abe579220ad00977e2b93557202d5fbd4
"20","0","1","3","1","1","1","獲得20個零件","100","10000"
"25","0","1","3","2","1","2","獲得25個零件","100","10001"
"30","0","1","3","3","1","2","獲得30個零件","100","10002"
"35","0","1","3","4","1","3","獲得35個零件","100","10003"
"40","0","1","3","5","1","3","獲得40個零件","100","10004"
"45","0","1","3","6","1","4","獲得45個零件","100","10005"
"50","0","1","3","7","1","4","獲得50個零件","100","10006"
"1500","0","1","2","101","2","3","將總戰力提升至1500以上","101","20000"
"2000","0","1","2","102","2","3","將總戰力提升至2000以上","101","20001"
"2500","0","1","2","103","2","3","將總戰力提升至2500以上","101","20002"
"3000","0","1","2","104","2","3","將總戰力提升至3000以上","101","20003"
"3500","0","1","2","105","2","3","將總戰力提升至3500以上","101","20004"
"4000","0","1","2","106","2","4","將總戰力提升至4000以上","101","20005"
"4500","0","1","2","107","2","4","將總戰力提升至4500以上","101","20006"
"5000","0","1","2","108","2","4","將總戰力提升至5000以上","101","20007"
"6000","0","1","2","109","2","4","將總戰力提升至6000以上","101","20008"
"7000","0","1","2","110","2","4","將總戰力提升至7000以上","101","20009"
"8000","0","1","2","111","2","5","將總戰力提升至8000以上","101","20010"
"9000","0","1","2","112","2","5","將總戰力提升至9000以上","101","20011"
"10000","0","1","2","600","2","5","將總戰力提升至10000以上","101","20012"
"100","0","2","4","201","3","2","累積獲得100pt戰鬥點數","200","30000"
"200","0","2","4","202","3","2","累積獲得200pt戰鬥點數","200","30001"
"300","0","2","4","203","3","2","累積獲得300pt戰鬥點數","200","30002"
"400","0","2","4","204","3","2","累積獲得400pt戰鬥點數","200","30003"
"500","0","2","4","205","3","2","累積獲得500pt戰鬥點數","200","30004"
"600","0","2","4","206","3","3","累積獲得600pt戰鬥點數","200","30005"
"700","0","2","4","207","3","3","累積獲得700pt戰鬥點數","200","30006"
"800","0","2","4","208","3","3","累積獲得800pt戰鬥點數","200","30007"
"900","0","2","4","209","3","3","累積獲得900pt戰鬥點數","200","30008"
"1000","0","2","4","210","3","3","累積獲得1000pt戰鬥點數","200","30009"
"5","0","4","1","401","5","7","從布武機那邊獲得5個零件","400","50000"
"10","0","4","1","402","5","7","從布武機那邊獲得10個零件","400","50001"
"15","0","4","1","403","5","7","從布武機那邊獲得15個零件","400","50002"
"20","0","4","1","404","5","7","從布武機那邊獲得20個零件","400","50003"
"25","0","4","1","405","5","7","從布武機那邊獲得25個零件","400","50004"
"30","0","4","1","406","5","7","從布武機那邊獲得30個零件","400","50005"
"35","0","4","1","407","5","7","從布武機那邊獲得35個零件","400","50006"
"40","0","4","1","408","5","7","從布武機那邊獲得40個零件","400","50007"
"45","0","4","1","409","5","7","從布武機那邊獲得45個零件","400","50008"
"50","0","4","1","700","5","6","從布武機那邊獲得50個零件","400","50009"
"800","30009","2","4","999","6","7","累積獲得800pt戰鬥點數（可以不限次數達成）","209","60000"
"14","0","3","3","799","7","6","通過關卡14","300","70000"
"50","0","3","3","800","7","8","通過關卡50","301","70001"
