227a55e3a4b013269ed82058eb511146f4bfc7e349a8c09d9584c8491acbe038,68f3e6d8ac20851ac15cb6362502a091aae795cb3376aaa1d5b306beec707674,edeb1c943d6ab9f9237ab3b59b2248f1306ae1760bf4fd0052b51a32707baed6,6301cc1f6c95e4bc198a3a339fe272bd1f3b8e79754d40d354f477f1a852c855,0be80aca9df0ffb1ce60fc857c8f099c93503350fa470bf3cfdc7609cb658991,947afec47457baaf17881cc6ff1ffbf26988c3d59b9cdb62857e75354ab9aec0,f8d66031a86db36cbb3aae804dd1bc7458192322665d3815e13cbc5ee898e716,6661e5153025327efac048d23ddaad3801d75a331b993e6ef5f382a402b0fab1,c48c6a25f9a4a682f5c36c0bb48d841b755039cd207e9ebd25ab5475f4522c42,d49d82f1faeada95be85720c3109bc08213ac344bcf2e792a574ba9c4b0313b0
"1001","32","1003","575","1","1002","1100001","1","1","10590"
"1004","32","1006","575","1","1005","1100002","1","1","10590"
"1007","32","1009","575","1","1008","1100003","1","2","10590"
"1010","33","1012","500","1","1011","1100004","1","1","11820"
"1013","33","1015","500","1","1014","1100005","1","1","11820"
"1016","33","1018","500","1","1017","1100006","1","2","11820"
"1019","33","1021","500","1","1020","1100007","1","4","11820"
"1022","35","1024","375","1","1023","1100008","1","1","13050"
"1025","35","1027","375","1","1026","1100009","1","1","13050"
"1028","35","1030","375","1","1029","1100010","1","6","13050"
"2001","34","2003","575","1","2002","1200001","2","1","10590"
"2004","34","2006","575","1","2005","1200002","2","1","10590"
"2007","34","2009","575","1","2008","1200003","2","1","10590"
"2010","34","2012","575","1","2011","1200004","2","1","10590"
"2013","34","2015","575","1","2014","1200005","2","2","10590"
"2016","34","2018","575","1","2017","1200006","2","4","10590"
"2019","34","2021","575","1","2020","1200007","2","6","10590"
"2022","35","2024","500","1","2023","1200008","2","1","11820"
"2025","35","2027","500","1","2026","1200009","2","1","11820"
"2028","35","2030","500","1","2029","1200010","2","1","11820"
"2031","35","2033","500","1","2032","1200011","2","1","11820"
"2034","35","2036","500","1","2035","1200012","2","4","11820"
"2037","35","2039","500","1","2038","1200013","2","6","11820"
"2040","38","2042","375","1","2041","1200014","2","1","13050"
"2043","38","2045","375","1","2044","1200015","2","1","13050"
"2046","38","2048","375","1","2047","1200016","2","1","13050"
"2049","38","2051","375","1","2050","1200017","2","1","13050"
"2052","38","2054","375","1","2053","1200018","2","2","13050"
"2055","38","2057","375","1","2056","1200019","2","4","13050"
"2058","38","2060","375","1","2059","1200020","2","6","13050"
"3001","37","3003","575","1","3002","1300001","3","1","10590"
"3004","37","3006","575","1","3005","1300002","3","1","10590"
"3007","37","3009","575","1","3008","1300003","3","1","10590"
"3010","37","3012","575","1","3011","1300004","3","1","10590"
"3013","37","3015","575","1","3014","1300005","3","1","10590"
"3016","37","3018","575","1","3017","1300006","3","1","10590"
"3019","37","3021","575","1","3020","1300007","3","2","10590"
"3022","37","3024","575","1","3023","1300008","3","2","10590"
"3025","37","3027","575","1","3026","1300009","3","4","10590"
"3028","37","3030","575","1","3029","1300010","3","6","10590"
"3031","38","3033","500","1","3032","1300011","3","1","11820"
"3034","38","3036","500","1","3035","1300012","3","1","11820"
"3037","38","3039","500","1","3038","1300013","3","1","11820"
"3040","38","3042","500","1","3041","1300014","3","1","11820"
"3043","38","3045","500","1","3044","1300015","3","1","11820"
"3046","38","3048","500","1","3047","1300016","3","1","11820"
"3049","38","3051","500","1","3050","1300017","3","2","11820"
"3052","38","3054","500","1","3053","1300018","3","4","11820"
"3055","38","3057","500","1","3056","1300019","3","4","11820"
"3058","38","3060","500","1","3059","1300020","3","6","11820"
"3061","40","3063","375","1","3062","1300021","3","1","13050"
"3064","40","3066","375","1","3065","1300022","3","1","13050"
"3067","40","3069","375","1","3068","1300023","3","1","13050"
"3070","40","3072","375","1","3071","1300024","3","1","13050"
"3073","40","3075","375","1","3074","1300025","3","1","13050"
"3076","40","3078","375","1","3077","1300026","3","1","13050"
"3079","40","3081","375","1","3080","1300027","3","2","13050"
"3082","40","3084","375","1","3083","1300028","3","4","13050"
"3085","40","3087","375","1","3086","1300029","3","6","13050"
"3088","40","3090","375","1","3089","1300030","3","6","13050"
"4001","29","4003","700","2","4002","2100001","1","3","9360"
"4004","29","4006","700","2","4005","2100002","1","5","9360"
"4007","29","4009","700","2","4008","2100003","1","7","9360"
"4010","29","4012","700","2","4011","2100004","1","3","9360"
"4013","29","4015","700","2","4014","2100005","1","5","9360"
"4016","29","4018","700","2","4017","2100006","1","7","9360"
"4019","30","4021","575","2","4020","2100007","1","3","10590"
"4022","30","4024","575","2","4023","2100008","1","5","10590"
"4025","30","4027","575","2","4026","2100009","1","7","10590"
"4028","30","4030","575","2","4029","2100010","1","3","10590"
"5001","33","5003","700","2","5002","2200001","2","3","9360"
"5004","33","5006","700","2","5005","2200002","2","5","9360"
"5007","33","5009","700","2","5008","2200003","2","7","9360"
"5010","33","5012","700","2","5011","2200004","2","3","9360"
"5013","33","5015","700","2","5014","2200005","2","5","9360"
"5016","33","5018","700","2","5017","2200006","2","7","9360"
"5019","33","5021","700","2","5020","2200007","2","3","9360"
"5022","33","5024","700","2","5023","2200008","2","5","9360"
"5025","33","5027","700","2","5026","2200009","2","7","9360"
"5028","33","5030","700","2","5029","2200010","2","3","9360"
"5031","33","5033","700","2","5032","2200011","2","5","9360"
"5034","33","5036","700","2","5035","2200012","2","7","9360"
"5037","34","5039","575","2","5038","2200013","2","3","10590"
"5040","34","5042","575","2","5041","2200014","2","5","10590"
"5043","34","5045","575","2","5044","2200015","2","7","10590"
"5046","34","5048","575","2","5047","2200016","2","3","10590"
"5049","34","5051","575","2","5050","2200017","2","5","10590"
"5052","34","5054","575","2","5053","2200018","2","7","10590"
"5055","34","5057","575","2","5056","2200019","2","5","10590"
"5058","34","5060","575","2","5059","2200020","2","7","10590"
"6001","33","6003","700","2","6002","2300001","3","3","9360"
"6004","33","6006","700","2","6005","2300002","3","5","9360"
"6007","33","6009","700","2","6008","2300003","3","7","9360"
"6010","33","6012","700","2","6011","2300004","3","3","9360"
"6013","33","6015","700","2","6014","2300005","3","5","9360"
"6016","33","6018","700","2","6017","2300006","3","7","9360"
"6019","33","6021","700","2","6020","2300007","3","3","9360"
"6022","33","6024","700","2","6023","2300008","3","5","9360"
"6025","33","6027","700","2","6026","2300009","3","7","9360"
"6028","33","6030","700","2","6029","2300010","3","3","9360"
"6031","33","6033","700","2","6032","2300011","3","5","9360"
"6034","33","6036","700","2","6035","2300012","3","7","9360"
"6037","33","6039","700","2","6038","2300013","3","3","9360"
"6040","33","6042","700","2","6041","2300014","3","5","9360"
"6043","33","6045","700","2","6044","2300015","3","7","9360"
"6046","33","6048","700","2","6047","2300016","3","3","9360"
"6049","33","6051","700","2","6050","2300017","3","5","9360"
"6052","33","6054","700","2","6053","2300018","3","7","9360"
"6055","34","6057","575","2","6056","2300019","3","3","10590"
"6058","34","6060","575","2","6059","2300020","3","5","10590"
"6061","34","6063","575","2","6062","2300021","3","7","10590"
"6064","34","6066","575","2","6065","2300022","3","3","10590"
"6067","34","6069","575","2","6068","2300023","3","5","10590"
"6070","34","6072","575","2","6071","2300024","3","7","10590"
"6073","34","6075","575","2","6074","2300025","3","3","10590"
"6076","34","6078","575","2","6077","2300026","3","5","10590"
"6079","34","6081","575","2","6080","2300027","3","7","10590"
"6082","34","6084","575","2","6083","2300028","3","3","10590"
"6085","34","6087","575","2","6086","2300029","3","5","10590"
"6088","34","6090","575","2","6089","2300030","3","7","10590"
"7001","39","7003","340","3","7002","3100001","1","1","14280"
"7004","39","7006","340","3","7005","3100002","1","1","14280"
"7007","39","7009","340","3","7008","3100003","1","1","14280"
"7010","39","7012","340","3","7011","3100004","1","1","14280"
"7013","39","7015","340","3","7014","3100005","1","1","14280"
"7016","39","7018","340","3","7017","3100006","1","1","14280"
"7019","36","7021","375","3","7020","3100007","1","1","13050"
"7022","36","7024","375","3","7023","3100008","1","1","13050"
"7025","36","7027","375","3","7026","3100009","1","1","13050"
"7028","36","7030","375","3","7029","3100010","1","1","13050"
"8001","41","8003","340","3","8002","3200001","2","1","14280"
"8004","41","8006","340","3","8005","3200002","2","1","14280"
"8007","41","8009","340","3","8008","3200003","2","1","14280"
"8010","41","8012","340","3","8011","3200004","2","1","14280"
"8013","41","8015","340","3","8014","3200005","2","1","14280"
"8016","41","8018","340","3","8017","3200006","2","1","14280"
"8019","41","8021","340","3","8020","3200007","2","1","14280"
"8022","41","8024","340","3","8023","3200008","2","1","14280"
"8025","41","8027","340","3","8026","3200009","2","1","14280"
"8028","41","8030","340","3","8029","3200010","2","1","14280"
"8031","41","8033","340","3","8032","3200011","2","1","14280"
"8034","41","8036","340","3","8035","3200012","2","1","14280"
"8037","38","8039","375","3","8038","3200013","2","1","13050"
"8040","38","8042","375","3","8041","3200014","2","1","13050"
"8043","38","8045","375","3","8044","3200015","2","1","13050"
"8046","38","8048","375","3","8047","3200016","2","1","13050"
"8049","38","8051","375","3","8050","3200017","2","1","13050"
"8052","38","8054","375","3","8053","3200018","2","1","13050"
"8055","38","8057","375","3","8056","3200019","2","1","13050"
"8058","38","8060","375","3","8059","3200020","2","1","13050"
"9001","40","9003","340","3","9002","3300001","3","1","14280"
"9004","40","9006","340","3","9005","3300002","3","1","14280"
"9007","40","9009","340","3","9008","3300003","3","1","14280"
"9010","40","9012","340","3","9011","3300004","3","1","14280"
"9013","40","9015","340","3","9014","3300005","3","1","14280"
"9016","40","9018","340","3","9017","3300006","3","1","14280"
"9019","40","9021","340","3","9020","3300007","3","1","14280"
"9022","40","9024","340","3","9023","3300008","3","1","14280"
"9025","40","9027","340","3","9026","3300009","3","1","14280"
"9028","40","9030","340","3","9029","3300010","3","1","14280"
"9031","40","9033","340","3","9032","3300011","3","1","14280"
"9034","40","9036","340","3","9035","3300012","3","1","14280"
"9037","40","9039","340","3","9038","3300013","3","1","14280"
"9040","40","9042","340","3","9041","3300014","3","1","14280"
"9043","40","9045","340","3","9044","3300015","3","1","14280"
"9046","40","9048","340","3","9047","3300016","3","1","14280"
"9049","40","9051","340","3","9050","3300017","3","1","14280"
"9052","40","9054","340","3","9053","3300018","3","1","14280"
"9055","39","9057","375","3","9056","3300019","3","1","13050"
"9058","39","9060","375","3","9059","3300020","3","1","13050"
"9061","39","9063","375","3","9062","3300021","3","1","13050"
"9064","39","9066","375","3","9065","3300022","3","1","13050"
"9067","39","9069","375","3","9068","3300023","3","1","13050"
"9070","39","9072","375","3","9071","3300024","3","1","13050"
"9073","39","9075","375","3","9074","3300025","3","1","13050"
"9076","39","9078","375","3","9077","3300026","3","1","13050"
"9079","39","9081","375","3","9080","3300027","3","1","13050"
"9082","39","9084","375","3","9083","3300028","3","1","13050"
"9085","39","9087","375","3","9086","3300029","3","1","13050"
"9088","39","9090","375","3","9089","3300030","3","1","13050"
