ca2a013a09fa9654839d63f877f97f53f44cb1f49ab1d665b35e1193a5d45f31,74f9214711ccaf426ec81da5123e2cf85f910120f8387692fc46daee00b812f3,9dcdfd7d52aea9c47fe828aadff3e677c8c330dcaa6c75b5a025b2cc3bd37597,7b775e0ae0f636e36d13477ca74a63adbc9dc424c43eb48c7c30eb5f9a9744e3,c1d577776395e3052b5f7f25c4cbbd57694395864b4bf8b626375ccf24da80ce,48ae0168e873bb3fc85eea920adfb23c27d3fa2f8becdbc9f566fa2f0ee9be99,265d6d23948f7f50de373dd434a113e372e89272b514f0362241efdf3af13b3c,0a6f3fa696309806224b44076c5f74fee9f3cd9bf2a61db7d51e849c43a2f643,bbd8170ffc0facc0b3f302b37eab0b54a79b65e96e5993bc253607ac3bd467d4,9295a3b56ecccd6c2a77b56786db8166d8489b9465d924be56634e1122b404a0,d51a589520d8f938b794ecf8c8b32304cff49f466737947b81c3d3d741829452,13a0468322a5407533b4211d2cc3e3fe5337aed956eada63eea8a55923425fb5
"92407","1","1","92407120","92407110","924072101","0","90","924071100","500000000","1","924073101"
"92407","2","2","92407130","92407120","924072102","92407110","90","924071200","1000000000","1","924073102"
"92407","3","3","92407140","92407130","924072103","92407120","90","924071300","1500000000","1","924073103"
"92407","4","3","0","92407140","924072104","92407130","90","924071400","0","1","924073104"
"92407","1","1","92407220","92407210","924072201","0","90","924072100","500000000","1","924073201"
"92407","2","2","92407230","92407220","924072202","92407210","90","924072200","1000000000","1","924073202"
"92407","3","3","92407240","92407230","924072203","92407220","90","924072300","1500000000","1","924073203"
"92407","4","3","0","92407240","924072204","92407230","90","924072400","0","1","924073204"
"92407","1","1","92407320","92407310","924072301","0","90","924073100","500000000","1","924073301"
"92407","2","2","92407330","92407320","924072302","92407310","90","924073200","1000000000","1","924073302"
"92407","3","3","92407340","92407330","924072303","92407320","90","924073300","1500000000","1","924073303"
"92407","4","3","0","92407340","924072304","92407330","90","924073400","0","1","924073304"
"92408","1","1","92408120","92408110","924082101","0","90","924081100","500000000","1","924083101"
"92408","2","2","92408130","92408120","924082102","92408110","90","924081200","1000000000","1","924083102"
"92408","3","3","92408140","92408130","924082103","92408120","90","924081300","1500000000","1","924083103"
"92408","4","3","0","92408140","924082104","92408130","90","924081400","0","1","924083104"
"92408","1","1","92408220","92408210","924082201","0","90","924082100","500000000","1","924083201"
"92408","2","2","92408230","92408220","924082202","92408210","90","924082200","1000000000","1","924083202"
"92408","3","3","92408240","92408230","924082203","92408220","90","924082300","1500000000","1","924083203"
"92408","4","3","0","92408240","924082204","92408230","90","924082400","0","1","924083204"
"92408","1","1","92408320","92408310","924082301","0","90","924083100","500000000","1","924083301"
"92408","2","2","92408330","92408320","924082302","92408310","90","924083200","1000000000","1","924083302"
"92408","3","3","92408340","92408330","924082303","92408320","90","924083300","1500000000","1","924083303"
"92408","4","3","0","92408340","924082304","92408330","90","924083400","0","1","924083304"
