8e0339dbc94bde6f10d808f600b392809b2dabf0926adf307b0aea638012c8da,434849ae866f0af54d28608f2ea03e8bb5bb6f9dc65dfc273ca94c30bd8f399f,9bcca0aefe469628c209672a80250c872228dd87dbd45c696a18a8f0745f1006,610386ff3923676bd9b6fd9b63485f397b270735ec6f81fd0ff22457b3ef4397,8101e33ad167479784018437ef3dff82ef55c324957dee918491b2d010b3355f,371f2236ea92e91afea391e68bffa98058736d892360c8641ed26f9f34af6e5b,6fd4fa5214362be228a0ecec8ba3b93b51193fff5d74e2c14d35cbb675841a74,acedead0824f64e2cccf0c7dc29a168f1c70df75a530d57eed7090064ad1ecfc,809885a92c81c017c954b607f6d3cad0b436d06fe00b75c3405dcd3062688ed3,01ce2f0ae3e7caf6d664057b696c29122409af9798b1ed3228905714030739de,ed1bc886e1dbfccd78da93e57710d85f6d839c2c8f985bb5b6b172b030af722c,13c2165e8938854d272346352ddcc796eaef58d025c09e30668cff7a3c0a3bcb,29f5a7acd9fe8f40f3bd2118de9da02091e9acb9f5fd5d01a678c03b97bc2aee,66700cfcec0f6fd58ab58f692b36d4e97dd2fc95a2e6576d80e55728c9d84654
"1","-1","1","30","1","1","1","7","6","1","1","1001","4","30"
"1","-1","1","60","1","1","1","11","6","1","1","1002","31","60"
"1","-1","1","90","1","1","1","15","6","1","1","1003","61","90"
"1","-1","1","120","1","1","1","19","6","1","1","1004","91","120"
"1","-1","1","150","1","1","1","23","6","1","1","1005","121","150"
"1","-1","1","180","1","1","1","27","6","1","1","1006","151","180"
"1","-1","1","210","1","1","1","29","6","1","1","1007","181","210"
"1","-1","1","240","1","1","1","31","6","1","1","1008","211","240"
"1","-1","1","270","1","1","1","31","6","1","1","1009","241","270"
"1","-1","1","300","1","1","1","31","6","1","1","1010","271","300"
"1","-1","1","310","1","1","1","31","6","1","1","1011","301","-1"
"1","-1","1","30","2","1","1","7","5","1","1","1101","4","30"
"1","-1","1","60","2","1","1","11","5","1","1","1102","31","60"
"1","-1","1","90","2","1","1","15","5","1","1","1103","61","90"
"1","-1","1","120","2","1","1","19","5","1","1","1104","91","120"
"1","-1","1","150","2","1","1","23","5","1","1","1105","121","150"
"1","-1","1","180","2","1","1","27","5","1","1","1106","151","180"
"1","-1","1","210","2","1","1","29","5","1","1","1107","181","210"
"1","-1","1","240","2","1","1","31","5","1","1","1108","211","240"
"1","-1","1","270","2","1","1","31","5","1","1","1109","241","270"
"1","-1","1","300","2","1","1","31","5","1","1","1110","271","300"
"1","-1","1","310","2","1","1","31","5","1","1","1111","301","-1"
"1","-1","1","-1","3","1","1","7","5","1","1","1201","4","30"
"1","-1","1","-1","3","1","1","11","5","1","1","1202","31","60"
"1","-1","1","-1","3","1","1","15","5","1","1","1203","61","90"
"1","-1","1","-1","3","1","1","19","5","1","1","1204","91","120"
"1","-1","1","-1","3","1","1","23","5","1","1","1205","121","150"
"1","-1","1","-1","3","1","1","27","5","1","1","1206","151","180"
"1","-1","1","-1","3","1","1","29","5","1","1","1207","181","210"
"1","-1","1","-1","3","1","1","31","5","1","1","1208","211","240"
"1","-1","1","-1","3","1","1","31","5","1","1","1209","241","270"
"1","-1","1","-1","3","1","1","31","5","1","1","1210","271","300"
"1","-1","1","-1","3","1","1","31","5","1","1","1211","301","-1"
"1","-1","1","30","4","1","1","7","5","1","1","1301","4","30"
"1","-1","1","60","4","1","1","10","5","1","1","1302","31","60"
"1","-1","1","90","4","1","1","13","5","1","1","1303","61","90"
"1","-1","1","120","4","1","1","16","5","1","1","1304","91","120"
"1","-1","1","150","4","1","1","19","5","1","1","1305","121","150"
"1","-1","1","180","4","1","1","22","5","1","1","1306","151","180"
"1","-1","1","210","4","1","1","25","5","1","1","1307","181","210"
"1","-1","1","240","4","1","1","28","5","1","1","1308","211","240"
"1","-1","1","270","4","1","1","28","5","1","1","1309","241","270"
"1","-1","1","300","4","1","1","28","5","1","1","1310","271","300"
"1","-1","1","310","4","1","1","28","5","1","1","1311","301","-1"
"1","-1","1","-1","5","1","1","7","5","1","1","1401","4","30"
"1","-1","1","-1","5","1","1","10","5","1","1","1402","31","60"
"1","-1","1","-1","5","1","1","13","5","1","1","1403","61","90"
"1","-1","1","-1","5","1","1","16","5","1","1","1404","91","120"
"1","-1","1","-1","5","1","1","19","5","1","1","1405","121","150"
"1","-1","1","-1","5","1","1","22","5","1","1","1406","151","180"
"1","-1","1","-1","5","1","1","25","5","1","1","1407","181","210"
"1","-1","1","-1","5","1","1","28","5","1","1","1408","211","240"
"1","-1","1","-1","5","1","1","28","5","1","1","1409","241","270"
"1","-1","1","-1","5","1","1","28","5","1","1","1410","271","300"
"1","-1","1","-1","5","1","1","28","5","1","1","1411","301","-1"
"1","-1","1","-1","6","1","1","7","3","1","1","1501","4","30"
"1","-1","1","-1","6","1","1","10","3","1","1","1502","31","60"
"1","-1","1","-1","6","1","1","13","3","1","1","1503","61","90"
"1","-1","1","-1","6","1","1","16","3","1","1","1504","91","120"
"1","-1","1","-1","6","1","1","19","3","1","1","1505","121","150"
