e546647093b2a2384665e5da735e2587087dffdda40a53804218526aba19f56f,84d013bacecf08ee69891857ac901aef28641da4e7294721e2e9f60a681239aa,00557913b64228a9656adb98f6f902383e4d95baf8d4e2e01f28ccd780d716d7,f0f09117031617fe55d2511a8c2905b8084231597f4c3900eecf5f5d9a7005bd,11e33546fe8b1ab9eea364d63aa78a54303e00d8118e2b2382b4580f594136b1,f63712d85a55969af897fc6bbd12d2512361daa78cb55c504a3aebd9cd034fd8,74c68a18bf4fc559532cb89228a14d30ebe2e2e8147bbd0816ff08acc9d131fd,69f86a2d19ddff2fb8a52cbe1897e9016603fa090fff62033b1737468fcb88db,45b0780f6d8f317d4a7daebc9affe98bd15456950149badbb3c557423be84bb2,ab50ee961a5d96c929d06e4e41832f246a5d42a16557d5439b7d6a69424dca63,a69fe1185dc6e2b763ea899e046a55aff89339f56257d3df159862a5be17cbe4,cda6c6ed98c4505e922e74310f9af1a23a6644c5711509cf84bbdcda441db530
"1","1","0","2","4","11041","0","0","104","0","101","0"
"2","2","1","3","2","10141","0","0","14","0","201","0"
"3","3","2","2","2","11031","0","0","103","0","301","0"
"4","4","3","1","1","11021","0","0","102","0","401","0"
"5","5","4","2","4","11041","0","0","104","0","501","0"
"6","6","5","3","1","10011","0","0","1","0","601","0"
"7","7","6","4","3","11011","0","0","101","0","701","0"
"8","8","7","3","1","11001","0","0","100","0","801","0"
"9","9","8","2","4","11041","0","0","104","0","901","0"
"10","10","9","3","2","10011","0","0","1","0","1001","0"
"11","11","10","4","1","10511","0","0","51","0","1101","0"
"12","12","11","3","2","10521","0","0","52","0","1201","0"
"13","13","12","2","4","11041","0","0","104","0","1301","0"
"14","14","13","1","1","11031","0","0","103","0","1401","0"
"15","15","14","2","1","11021","0","0","102","0","1501","0"
"16","16","15","3","1","10011","0","0","1","0","1601","0"
"17","17","16","2","4","11041","0","0","104","0","1701","0"
"18","18","17","3","2","10501","0","0","50","0","1801","0"
"19","19","18","4","3","11011","0","0","101","0","1901","0"
"20","20","19","3","2","11001","0","0","100","0","2001","0"
"21","21","20","2","4","11041","0","0","104","0","2101","0"
