15a681b458c57b9f72e8cff408d828f5827a09fb29072ed45886e5d79096ab37,acd70a81227c9871f73a7fbc308b5cb78db59ff6b595f96910bfa0d7cfa957a8,c6a1fa16d868a9bbadbf426bb0f540206670de44c38b9537e60a4c9a6a68b105,b372966ce50b370835d9e6637802cd3aeb45be00a71a2e624e4e48c9ec58b4dd
"1","HP","1","10000"
"2","物理攻擊力","1","10000"
"3","物理防禦力","1","10000"
"4","魔法攻擊力","1","10000"
"5","魔法防禦力","1","10000"
"6","物理暴擊率","1","10000"
"7","魔法暴擊率","1","10000"
"8","迴避率","0","1"
"9","HP吸收","0","1"
"10","HP自動恢復","0","1"
"11","TP自動恢復","0","1"
"12","物理貫通傷害","0","1"
"13","魔法貫通傷害","0","1"
"14","TP上升","0","1"
"15","回復量上升","0","1"
"16","TP消耗減輕","0","1"
"17","命中","0","1"
"100","物理暴擊傷害","1","100"
"101","魔法暴擊傷害","1","100"
"102","物理造成的傷害","1","100"
"103","魔法造成的傷害","1","100"
"104","屬性獎勵","1","10000"
