29b13f3d3da8f6b03576c0eba1e3e8cd580fce91f5d2cc2bf2e76c38f8c13877,8f0b8e37a70d3d3f22ce39352570ea72d41f2511c5e4b3f1f1b7b34941f7f9e8,2d021abb55862e9cec17108211200b3a686b92e44495fbf3c8818106b98433b0,f3cfd17f0bc6a08d1965b2b854d2c24e1446993c497e767268dabddf110b5857,5513f6b1ac11272419e6eab69ced08175c54f9edb40a397be0fbc2c0b33a5c88,bf4b6b01811cf75c4f4b8cdefcf049843f73a09a0d2966643e0c5f13a9209283,cb9758121afdc8d8f7188ebd5a45f00d5fcb5fc681b5ddd7943d99d4cb7eae43,dd6fbe7641121e2caf1c5c4287f4eb4453a80f3cd65283a0d174b86809579c81,c8c594d36f08bf9feaf0b11391e6c49e3133afa656ddac90b5240e19fa7dfeb4,8d0a701b7fd0b55d8a1819070dc8dfb50c8835ea51443d0b1d073c67ff963abd
"Pug","0","1","Bug","0","0","0","Hug","Mug","2110001"
"Technical","0","1","Technology","0","0","0","Techie","Technician","2110003"
"樹冰","0","1","雪崩","0","0","0","冰瀑","暴風雪","2110005"
"大理石","0","1","磁鐵","0","0","0","黑曜石","化石","2110006"
"Oceania","0","1","Ocean","0","0","0","Bay","River","2110007"
"Dash","0","1","At","0","0","0","Slash","Hashtag","2110008"
"建築物裡面","0","1","會曬到太陽的地方","0","0","0","總是很涼快的地方","不會曬到太陽的地方","2110010"
"更正","0","1","更新","0","0","0","更動","更替","2110011"
"虹村雪","0","1","暴風雪","0","0","0","六月雪","風吹雪","2110012"
"Orange","0","1","Grape","0","0","0","Banana","Apple","2110014"
"新幹線","0","1","地平線","0","0","0","電話線","拋物線","2110016"
"藍歷史","0","1","黑歷史","0","0","0","紅歷史","白歷史","2110018"
"味噌","0","1","醬油","0","0","0","醋","味醂","2110019"
"Truck","0","1","Track","0","0","0","Train","Bus","2110021"
"愈描愈黑","0","1","火上加油","0","0","0","加油添醋","難上加難","2110022"
"Heart","0","1","Liver","0","0","0","Stomach","Brain","2110023"
"啟動","0","1","啟用","0","0","0","開場","開演","2110024"
"line","0","1","coin","0","0","0","cane","loin","2110025"
"常服","0","1","服裝","0","0","0","便服","服侍","2110026"
"流水號","0","1","水印","0","0","0","水章","水標","2110028"
"Owl","0","1","Elephant","0","0","0","Cockroach","Spider","2110031"
"啷","0","1","狼","0","0","0","朗","浪","2110032"
"雪上加霜","0","1","如虎添翼","0","0","0","雪中送炭","錦上添花","2110034"
