499299e5e1412595d7f30a09c6fcf9e9dfae0977e6dd32649887b5e0f207cbb9,0ccc645b44a336f6bb0cb9d68c9a5259d0ffb7518a336e0baecb3498f68bffc7,b0e3853a2a59cb202a64decac5004a8b1145e2adf81c1a5e124262f461e1c864,a362e36dbc6a004ffc5c22625b28e752be60d2bf1d667925a70253bfa4a29110,d945ecdec2e464f450457d4c0fb937945ef87faf77243d899ac20cc2302568d2,674895ead4e711fd310c8ceebec25542c43389380c8170d5f4d2540e7cdfd340,a121dc185960bd022e308871ff87b3852385963daa2b0bb8b68b5983005b2823,03b60f9393451b84b9082b183de732f23cd146bd67647eaa8eb7d3b9d68d3056,f36f08a809d949d998af88a3b89a75724e64d40382207169f0a62db4f24b90aa,dd50631f10ea41165c11528169982b87ee06ebc532c7ac18e4c859323a3eb597,65a556817f60ee737292f356a1d908785c61dc1ddcb6d663bd21c8b9cbf29681,ac20ccfdde42fd8a766a2c63953cbc10540c6c26093ca7a9139fb975650e2d9e,39dbea0aa2ea6e5c4e6ef39e06aaa2fe1ed6a010a4a1934ac5f4e538ffce46b1,9ca5ac32526f9aad1e95fa4db88696d49bed9c0848fe33c82bc56fbce22f32da,3b67b89b36249e0fa43ccf317e17ec5f184e0ccf99f31138dfd9b18111d1e973,780497eff9c4cf8ba1324c7efff36e44038c43685547ba1160558f6308fcb814,709b45079566dfb75c11f18c57ebb9eaebb20fb4db7202d27c8f0034f3565998
"4104351","4201401","43200","108","11001001","1","-470","1","10","7200","4104401","11001001","11001","克梅利亞洞窟","4101351","100000","4101401"
"4110351","4203401","43200","90","11001002","2","-235","1","10","7200","4110401","11001002","11001","盧可拉諾大瀑布","4106351","100000","4106401"
"4105351","4201401","43200","108","11001003","3","0","1","10","7200","4105401","11001003","11001","艾里巨木","4102351","100000","4102401"
"4109351","4203401","43200","90","11001004","4","235","1","10","7200","4109401","11001004","11001","伊雷亞溪谷","4108351","100000","4108401"
"4107351","4201401","43200","108","11001005","5","470","1","10","7200","4107401","11001005","11001","史達爾斷崖","4103351","100000","4103401"
"4101401","4301401","43200","108","11002001","6","-470","1","10","7200","4201401","11002003","11002","阿爾巴岸堤","4301351","100000","4104401"
"4106401","4305401","43200","90","11002002","7","-235","1","10","7200","4203401","11002002","11002","撒達爾史朵\n沙灘","4305351","100000","4110401"
"4102401","4302401","43200","108","11002003","8","0","1","10","7200","4201401","11002001","11002","達爾里克\n巨岩","4302351","100000","4105401"
"4108401","4304401","43200","90","11002004","9","235","1","10","7200","4203401","11001005","11002","安卡爾川","4304351","100000","4109401"
"4103401","4303401","43200","108","11002005","10","470","1","10","7200","4201401","11001001","11002","達克比亞\n森林","4303351","100000","4107401"
"4201401","4109401","43200","108","11003001","11","-470","1","10","7200","4104401","11003001","11003","密瑪斯\n洞穴","4201351","100000","4101401"
"4202401","4110401","43200","90","11003002","11","-155","1","10","7200","4102401","11003002","11003","雷安特河","4202351","100000","4108401"
"4203401","4109401","43200","108","11003003","11","160","1","10","7200","4105401","11003003","11003","刻蘭德\n廢墟","4203351","100000","4103401"
"4204401","4110401","43200","90","11003004","11","470","1","10","7200","4107401","11003004","11003","迪歐涅加\n冰海","4204351","100000","4106401"
