ea979aafd0fb25c1852944044033f653e2b78eb215168e760616fb0d685c6e5e,d234996164e36d518c5aab7609c647b0a26a0e46637e289b1f6cb6994ea4d44c,2742187d36c1b28d0ffac4aca3f1e346d260305eb2fa24aa05d1b1384fb28264,96775967dabb1ed45fc0eb373eb838084e761639575b9d3344fb838d65dcbb31,375d560d0b34b162f27eed2e216e571970ce2ac2f7890737112311bb7f407139,c73bdb22cd7da2da18b5eb358f1b053766bb233bdad3b2f41077f39907ded993,98e5ec913881d5c978dee52b49588853239a570a1c9a98d6c64e3af81b04acd4,1492a88be3f3cb4e252bcd6722124e008bd0d5fd3f90304bcd5d4767fcf0ce51,39878621b08834ab3f0b5aad0d688e931fe7f29fa61833498e919ee2efe9869f,40f92bbb8b141817125ef66d9c53af26ce5612eddde8110ac77c3e5c63417716,ef2f2706d1f2387f650d76a1082f848359f468f20f5299fb7a30cce8372de0da,05fada29404fc33a37745f386a639113ffc05a5490a97e3a8c0388dc0f7645b2,f599196a3977785d27fcde6fb09286dd2f1e661e0c49b8a002a03e213a728e12,3d314e7bff3a9f1abd4ab192e82ad11aaa21f77ba4943e68d3486e6f1168f1f8
"1","1","30","1","1","4","7","1001","-1","1","1","30","1","6"
"1","1","60","1","1","31","11","1002","-1","1","1","60","1","6"
"1","1","90","1","1","61","15","1003","-1","1","1","90","1","6"
"1","1","120","1","1","91","19","1004","-1","1","1","120","1","6"
"1","1","150","1","1","121","23","1005","-1","1","1","150","1","6"
"1","1","180","1","1","151","27","1006","-1","1","1","180","1","6"
"1","1","210","1","1","181","29","1007","-1","1","1","210","1","6"
"1","1","240","1","1","211","31","1008","-1","1","1","240","1","6"
"1","1","270","1","1","241","31","1009","-1","1","1","270","1","6"
"1","1","300","1","1","271","31","1010","-1","1","1","300","1","6"
"1","1","310","1","1","301","31","1011","-1","1","1","-1","1","6"
"1","1","30","1","1","4","7","1101","-1","2","1","30","1","5"
"1","1","60","1","1","31","11","1102","-1","2","1","60","1","5"
"1","1","90","1","1","61","15","1103","-1","2","1","90","1","5"
"1","1","120","1","1","91","19","1104","-1","2","1","120","1","5"
"1","1","150","1","1","121","23","1105","-1","2","1","150","1","5"
"1","1","180","1","1","151","27","1106","-1","2","1","180","1","5"
"1","1","210","1","1","181","29","1107","-1","2","1","210","1","5"
