94153b778cec0f1216018cef82d2e49b4d01ee3ee07d0e6407a043934ad49828,955c19240b072a14cfe5a55026bf205e261eb7ad00fcc966f71cc004d2b2d22c,9c4de8b218a1fb6c27dd38527d25c4a4cf4b56d087dbe4bdffebcf0c6c285ed9
"可透過支線劇情來體驗特別的劇情。\n活動劇情會將於進入活動冒險後解放。","1","101"
"完成活動限定的任務後\n可解放的角色將會登場。\n以完成任務為目標吧。","2","201"
"挑戰Boss時，有時候\n會出現信賴度故事。信賴度將會按照對話的內容提升，\n達到特定的信賴度時可獲得禮物。","3","301"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","4","20005"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","5","20007"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","6","20009"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","7","20010"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","8","20011"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","9","20013"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","10","20015"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","11","20016"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","12","20018"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","13","20020"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","14","20021"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","15","20022"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","16","20025"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","17","20026"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","18","20027"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","19","20029"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","20","20031"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","21","20032"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","22","20033"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","23","20035"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","24","20038"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","25","20040"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","26","20042"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","27","20044"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","28","20045"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","29","20047"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","30","20051"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","31","20052"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","32","20053"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","33","20055"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","34","20057"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","35","20058"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","36","20059"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","37","20063"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","38","20065"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","39","20066"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","40","20067"
"完成任務後可解放的角色將會登場。\n以完成任務為目標吧。","41","20068"
"在VERY HARD和正先生會給予支援的樣子。\n使用給予暈眩效果的必殺技，為我們提供支援唷。\n在Boss無法動彈的瞬間，一口氣打倒它吧。","2003201","2003201"
"主人似乎很努力地在做作業。\n若能耐過怪物攻擊直到作業做完就勝利囉。\n作業進度可於畫面上的計量表確認喔。	","2003901","2003901"
