fcb5f087687e889fa2424a5caaf4533626663d895432fa094e0b5751b2d246f5,d9df1c707343fec8b7d8fe76a76f1e0bb4c984568cabb0076ddc7f31f0c198f3,e1e8679d04cc2f850936cd8c02675ca80b3946c865fb63f69712533d45a4c60c,a86bb5ffd69a8c066099e42e615a4376fc8a0994e704030d3eb96e114f53efdb,45bb20aabfe74a4b1448b222bc6d283cd745ae3331d0caf7ffc9811c004f7c66,8505509e971e54d08dfb3234d3e18ac86893811a5ec8350104f699780ebf64ea,afd3a08b204cb6d6b93304140c69a9a60430ad3bf6775733a694a711ad76866c,77381cf7ba3fef8439d629cb61c06dee801d65731db6c9a91d7e09e99652e78f,3aa6a8f69cf72c780357e750dbd595f351fa19e5210d06ec5adeac1dca8c90d9,a2a9473ce3b97d9a24e1116d7779a7d7633fb54ac5aea731e6a1dd89657491f1,f939f7b2ec03e7f2c7bcb3c4e4b2f5722b0d6d6535763603376bec6c62bb37f8
"110931","-421","nyx_idle_normal","11010001","1","1.35","1","0","101","-209.3","110"
"104831","121.8","nyx_idle_normal","11010002","1","1.35","1","0","101","-182.5","110"
"104631","227.7","nyx_idle_normal","11010003","1","1.35","1","0","101","-182.5","110"
"103231","340.3","nyx_talk_normal","11010004","1","1.35","1","1","101","-182.5","110"
"103431","449.6","nyx_idle_normal","11010005","1","1.35","1","1","101","-182.5","110"
"2","-421","NoItem","11010006","2","1.35","5","0","101","-209.3","120"
"1","0","","11010007","1","1","31","","101","1","0"
"3","0","","11010008","15","0","31","","101","1","-300"
"4","0","","11010009","15","0","31","","101","1.5","-300"
"bgm_M347","","","11010010","bgm_M347","","25","","101","",""
"","","","11010011","2","","93","","101","",""
"nyx_101_chieru_01","nyx_101_chieru_loop","","11010012","2","0.2","3","","101","1","0"
"nyx_101_chieru_01","nyx_101_chieru_loop","","11010013","110931","0.2","3","","101","1","0"
"切嚕～♪\n一開始總而言之\n要有衝擊性！","","","11010014","110931","","11","","101","","10"
"","","","11010015","0.4","","93","","101","",""
"0","","","11010016","3","","32","","101","",""
"1","","","11010017","3","","32","","101","",""
"","","","11010018","11010014","","91","","101","",""
"我要當個用強而有力\n的第一聲切嚕緊抓住\n評審員的心的孩子","","","11010019","110931","","11","","101","","10"
"","","","11010020","1","","93","","101","",""
"nyx_idle_joy1","","","11010021","103231","0.2","3","","101","","1"
"nyx_cmn_05","","","11010022","104631","0.2","3","","101","","1"
"","","","11010023","11010019","","91","","101","",""
"nyx_101_chieru_01","nyx_101_chieru_loop","","11010024","2","0.2","3","","101","1","0"
"nyx_101_chieru_01","nyx_101_chieru_loop","","11010025","110931","0.2","3","","101","1","0"
"切嚕～♪\n不對，還可以更好……\n切～☆嚕～！","","","11010026","110931","","11","","101","","7"
"","","","11010027","0.4","","93","","101","",""
"0","","","11010028","3","","32","","101","",""
"1","","","11010029","3","","32","","101","",""
"","","","11010030","0.6","","93","","101","",""
"nyx_talk_bitter","","","11010031","103431","0.2","3","","101","","1"
"nyx_cmn_04","","","11010032","104631","0.2","3","","101","","1"
"","","","11010033","2","","93","","101","",""
"nyx_101_chieru_02","nyx_101_chieru_loop","","11010034","2","0.2","3","","101","1","0"
"nyx_101_chieru_02","nyx_101_chieru_loop","","11010035","110931","0.2","3","","101","1","0"
"","","","11010036","0.4","","93","","101","",""
"0","","","11010037","3","","32","","101","",""
"1","","","11010038","4","","32","","101","",""
"","","","11010039","11010026","","91","","101","",""
"nyx_idle_bitter","","","11010040","103431","0.2","3","","101","","1"
"nyx_talk_sad","","","11010041","104831","0.2","3","","101","","1"
"吶，那個……\n妳們有沒有聽到\n走廊傳來的聲音？","","","11010042","104831","","11","","101","","10"
"","","","11010043","0","","91","","101","",""
"1","","","11010044","110931","","4","","101","",""
"1","","","11010045","2","","4","","101","",""
"nyx_101_chieru_02","nyx_101_chieru_loop","","11010046","2","0.2","3","","101","1","0"
"nyx_101_chieru_02","nyx_101_chieru_loop","","11010047","110931","0.2","3","","101","1","0"
"nyx_idle_sad","","","11010048","104831","0.2","3","","101","","1"
"nyx_talk_sad","","","11010049","104631","0.2","3","","101","","1"
"聽起來好像在說什麼\n切嚕切嚕的喵……\n好恐怖喵……","","","11010050","104631","","11","","101","","10"
"","","","11010051","0","","91","","101","",""
"nyx_idle_sad","","","11010052","104631","0.2","3","","101","","1"
"nyx_talk_sad","","","11010053","103431","0.2","3","","101","","1"
"該不會是學校的七大\n不可思議之類的吧……\n好、好想回家……","","","11010054","103431","","11","","101","","10"
"","","","11010055","0","","91","","101","",""
"nyx_idle_sad","","","11010056","103431","0.2","3","","101","","1"
"nyx_talk_joy2","","","11010057","103231","0.2","3","","101","","1"
"還真是有趣呢！\n對於待會會出現什麼\n我感到非常期待呢！","","","11010058","103231","","11","","101","","10"
"","","","11010059","0","","91","","101","",""
"","","","11010060","0.4","","93","","101","",""
"0","","","11010061","110931","","4","","101","",""
"0","","","11010062","2","","4","","101","",""
