a6839e9ae155e23c31a0f90c23ea433f849855a6ebf29ee08ce4996dbb768683,07ba0477c633375812c8b7736a81d56a75d981ec8ddb3f9cb6a3e751f1f0e9cd,7384201273fa81ee9a9653f2a9597686d4b64ec6bba55e5f01981f16340601ff,62b2443013a71ded42571c18030fee74a5cbdaa555bb10df7f6452b1c98549f6,bf927d5c22fc4ca466cbb55923b528b3fe192fe2477b93c9d4ad25c9b89bc2d9,be43dfcea8f8313c10cc5841428b357b5e0221a2bc0d765d9fa4b1a22b32b754,316c3a4f4437dd78c6cb05b11f9ad27d3347e3ba4357d35673cea920a4505b8a,4230a83e0da276892c6c85cc1b824905bb4ddf6e16238a2b977c43bb26b547f0
"0","想讓掩護者\n成為夥伴！","掩護者職階的\n隨機印記×2\n＋始源盧幣×200","192801","11011","21_role_tank","0","11011"
"0","想讓治療者\n成為夥伴！","治療者職階的\n隨機印記×2\n＋始源盧幣×200","192801","11012","22_role_healer","0","11012"
"0","想讓增幅者\n成為夥伴！","增幅者職階的\n隨機印記×2\n＋始源盧幣×200","192801","11021","23_role_booster","0","11021"
"0","想讓增益者\n成為夥伴！","增益者職階的\n隨機印記×2\n＋始源盧幣×200","192801","11022","24_role_buffer","0","11022"
"0","想讓減益者\n成為夥伴！","減益者職階的\n隨機印記×2\n＋始源盧幣×200","192901","11031","25_role_debuffer","0","11031"
"0","想讓妨礙者\n成為夥伴！","妨礙者職階的\n隨機印記×2\n＋始源盧幣×200","192901","11032","26_role_jammer","0","11032"
"0","想讓攻擊者\n成為夥伴！","攻擊者職階的\n隨機印記×2\n＋始源盧幣×200","192901","11041","27_role_attacker","0","11041"
"0","想讓破防者\n成為夥伴！","破防者職階的\n隨機印記×2\n＋始源盧幣×200","192901","11042","28_role_breaker","0","11042"
"0","試試身手吧！","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×200","100501","11051","41_matsuri_guts","0","11051"
"0","與強敵間的戰鬥令人興奮！","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×300","107101","11052","42_chris_cool","0","11052"
