a0f76b4342be0a4673732107d8bcda8e4d22c99eab2b3dc232f0e60fe031ac81,6d1fe9600ea0b2737a662e67c95db18accd9d09f8ff114508688980d93dd4bc4,43d682e29a0189f26f308be51b601d3201a16a273480719249cdb6115b7699d0,b670384bec6fa64be32513bbffb2eb6ca5b6b0ddade3a7ed1de123390cec38cc,ae69dacf844d22f27330537583d07945908880f64f50d60bd4a245c0f6f363d4,fbad5083b549d4359f6a0d12553597529692bf40e632cfa9f8126dd6cd904782,0d0b4bb58af41754176587dbe73896e26fd2a931e1db877913b2d817d6231d13,265c404b595b84c91de65b374cfe88accdf9a30a9eb689671b984ffdd0de4c9f
"11001","ＴＰ上升+5","1","11001","加速玉飾","具有不可思議效果的耳環。\n會賦予裝備者活力加速的效果。","1","1"
"11002","每受到傷害時恢復ＴＰ100（最多１次）","1","11002","水蓮之盾","具有不可思議效果的圓盾。\n能將受到的攻擊轉換為能量。","1","1"
"11003","戰鬥開始時恢復ＴＰ100","1","11003","青輝之環","具有不可思議效果的手環。\n當戰鬥開始，會同時給予\n裝備者能量。","1","1"
"11004","ＴＰ消耗減輕＋2","1","11004","冷玉法杖","具有不可思議效果的法杖。\n會賦予裝備者保存力量的效果。","1","1"
"11005","可重複的行動速度＋10％","1","11005","踏風之鞋","具有不可思議效果的鞋。\n能讓裝備者迅速行動。","1","1"
"12001","狀態異常命中＋20","2","12001","紫晶比薩利歐","具有不可思議效果的首飾。\n能更容易對敵人造成異常狀態。","1","1"
"12002","對敵方全體施加詛咒（每秒【弱化】數×300傷害）","2","12002","魔杖梅吉那耶","具有不可思議效果的法杖。光持有\n就能詛咒敵人。","1","1"
"12003","對敵方全體施加中毒（每秒【弱化】數×300傷害）","2","12003","暗劍劇毒","具有不可思議效果的短劍。光持有\n就能使敵人中毒。","1","1"
"12004","敵人的物理/魔法攻擊力－10％","2","12004","破防帽消解","具有不可思議效果的帽子。\n一旦裝備，就能弱化敵人的攻擊。","1","1"
"12005","敵人的物理/魔法防禦力－10％","2","12005","崩刀山崎","具有不可思議效果的刀。\n擁有瓦解敵人防禦的力量。","1","1"
"13001","敵人的物理/魔法被暴擊傷害＋10％","3","13001","殺手長矛","具有不可思議效果的槍。能以犀利\n的一擊對敵人造成重傷。","1","1"
"13002","物理/魔法暴擊傷害＋10％","3","13002","賞花之刀","具有不可思議效果的刀。可提高\n賦予致命攻擊時的威力。","1","1"
"13003","普通攻擊強化＋30","3","13003","劈裂拳套","具有不可思議效果的護手。\n能施展出經過強化的一擊。","1","1"
"13004","物理/魔法暴擊率＋10％","3","13004","暴擊之弓","具有不可思議效果的弓。一旦裝備，\n能更容易給予致命一射。","1","1"
"13005","ＨＰ吸收＋10","3","13005","吸收手斧","具有不可思議效果的斧頭。在攻擊\n的同時，能吸取敵人的體力。","1","1"
"14001","增益強化＋30","4","14001","強化寶石","具有不可思議效果的耳飾。可提高\n裝備者的強化效果。","1","1"
"14002","提升物理/魔法攻擊力\n（前方角色的物理防禦力×5）","4","14002","抗鐵板甲","具有不可思議效果的鎧甲。能將\n夥伴的強韌轉換為自身的攻擊。","1","1"
"14003","提升物理/魔法攻擊力\n（前方角色的魔法防禦力×5）","4","14003","抗魔禮服","具有不可思議效果的禮服。能將\n裝備者的抗魔天賦替換成攻擊力。","1","1"
"14004","物理/魔法攻擊力＋20％","4","14004","蛇紋之劍","具有不可思議效果的大劍。能強化\n裝備者的攻擊力。","1","1"
"14005","物理/魔法防禦力＋10％","4","14005","防守護甲","具有不可思議效果的鎧甲。能提高\n裝備者的防禦力。","1","1"
"15001","恢復強化＋10","5","15001","回生杖","具有不可思議效果的法杖。\n能提高治癒力。","1","1"
"15002","ＨＰ＋10％","5","15002","豐命輪","具有不可思議效果的戒指。能強化\n裝備者的生命力。","1","1"
"15003","每15秒展開物理無效護盾（【守備】數×500無效）","5","15003","鐵防甲","具有不可思議效果的鎧甲。\n能保護裝備者免受物理攻擊。","1","1"
