798d68f6f36b5eeb1efbcaa24959338f5f6cca8b52ab818963f962210778d1e5,69468a0d822c520ec68102860dfba473b84414d28507fe17f74d0cf1a1fc46bc,f1843f0d773869bca92992f3725098bd28ea8356e1f91b88fbefe98be55beaed,352c3d7fa3f6ba8f06b69f93a110a64d31f5e6e563be1652dbb4cd015356015f,6d4304ee511e1b010b080d1e8797b43041a343509c315cda79c652cbdb1c7973,9aaf576aa58b7d43a5f4bec95e0ee6f39b8cc0b2017cd77f849b118d1a52d5a5,148ec02b524c541f42d5c85baa1dc977cebcef63502518f0d416c6debbf4c2f3,590630f45d7f70c7fe3b3fd1bb557226046cce952cb236e4a77b09671d7edfdc,32c33c9ec215304cc3ebad7f9006f7179d8481d05b35e932c4d21be2e5fe4049,72b09231dc49f5da71f8ea220c94762e465bf7259ef08a2b65f071ce9fc04437,cb6621264819eadf3b57091357604d6e9968614a6395bf29363bc3567a96d60a,11676b87a11702f0f45f6dca16fbf9669348b1a7fef1e9383d21a136783fa6eb
"10116115","0","4","1","1","0","0.8","0","1011611501","0","0","0"
"10116115","vo_won_10116115_01","2","2","0","0","0","0","1011611502","0","vo_won","0"
"10116115","0","1","3","0","230","0","2.68","1011611503","1","0","0"
"10116115","0","4","4","1","0","3.17","0","1011611504","0","0","0"
"10116115","0","1","5","0","420","0","2","1011611505","1","0","230"
"10116115","0","4","6","1","0","2.03","0","1011611506","0","0","0"
"10116115","0","1","7","0","140","0","1.51","1011611507","2","0","0"
"10116115","0","4","8","1","0","2","0","1011611508","0","0","0"
"10116115","0","1","9","0","275","0","1.92","1011611509","2","0","140"
"10116115","0","4","10","1","0","2.42","0","1011611510","0","0","0"
"10116115","0","1","11","0","430","0","1.09","1011611511","2","0","275"
"10116115","0","4","12","1","0","1.09","0","1011611512","0","0","0"
"10116115","0","1","13","0","230","0","1.88","1011611513","3","0","0"
"10116115","0","4","14","1","0","2.47","0","1011611514","0","0","0"
"10116115","0","1","15","0","430","0","1.88","1011611515","3","0","230"
"10116115","0","4","16","1","0","1.88","0","1011611516","0","0","0"
"10116115","0","1","17","0","52","0","0.588999999999999","1011611517","4","0","0"
"10116115","0","4","18","1","0","0.965999999999999","0","1011611518","0","0","0"
"10116115","0","1","19","0","400","0","1.423","1011611519","4","0","52"
"10116115","0","4","20","1","0","2.673","0","1011611520","0","0","0"
"10116115","vo_won_10116115_02","2","21","0","0","0","0","1011611521","0","vo_won","0"
"10116115","0","1","22","0","340","0","1.699","1011611522","5","0","0"
"10116115","0","4","23","1","0","2.495","0","1011611523","0","0","0"
"10116115","0","1","24","0","450","0","0.236","1011611524","5","0","340"
"10116115","0","4","25","1","0","0.4","0","1011611525","0","0","0"
"10116115","0","1","26","0","120","0","1.4","1011611526","6","0","0"
"10116115","0","4","27","1","0","2","0","1011611527","0","0","0"
"10116115","0","1","28","0","400","0","2.853","1011611528","6","0","120"
"10116115","0","4","29","1","0","4.428","0","1011611529","0","0","0"
"10116115","vo_won_10116115_03","2","30","0","0","0","0","1011611530","0","vo_won","0"
"10116115","0","1","31","0","140","0","1.261","1011611531","7","0","0"
"10116115","0","4","32","1","0","1.715","0","1011611532","0","0","0"
"10116115","0","1","33","0","430","0","2.245","1011611533","7","0","140"
"10116115","0","4","34","1","0","2.759","0","1011611534","0","0","0"
"10116115","0","1","35","0","450","0","3.212","1011611535","8","0","0"
"10116115","0","4","36","1","0","3.212","0","1011611536","0","0","0"
"10116115","0","1","37","0","450","0","0.499","1011611537","8","0","450"
"10116115","0","4","38","1","0","2.042","0","1011611538","0","0","0"
"10116115","vo_won_10116115_04","2","39","0","0","0","0","1011611539","0","vo_won","0"
"10116115","0","1","40","0","77","0","0.717","1011611540","9","0","0"
"10116115","0","4","41","1","0","1.491","0","1011611541","0","0","0"
"10116115","0","1","42","0","363","0","2.868","1011611542","9","0","77"
"10116115","0","4","43","1","0","3.897","0","1011611543","0","0","0"
"10116115","vo_won_10116115_05","2","44","0","0","0","0","1011611544","0","vo_won","0"
"10116115","0","1","45","0","423","0","0.179","1011611545","9","0","363"
"10116115","0","4","46","1","0","0.179","0","1011611546","0","0","0"
"10116115","0","1","47","0","450","0","1.979","1011611547","10","0","0"
"10116115","0","4","48","1","0","2.727","0","1011611548","0","0","0"
"10116115","0","1","49","0","450","0","2.432","1011611549","10","0","450"
"10116115","0","4","50","1","0","2.432","0","1011611550","0","0","0"
"10116115","0","1","51","0","55","0","1.321","1011611551","11","0","0"
"10116115","0","4","52","1","0","2.245","0","1011611552","0","0","0"
"10116115","vo_won_10116115_06","2","53","0","0","0","0","1011611553","0","vo_won","0"
"10116115","0","1","54","0","360","0","2.161","1011611554","11","0","55"
"10116115","0","4","55","1","0","3.392","0","1011611555","0","0","0"
"10116115","vo_won_10116115_07","2","56","0","0","0","0","1011611556","0","vo_won","0"
"10116115","0","1","57","0","235","0","0.982","1011611557","12","0","0"
"10116115","0","4","58","1","0","1.563","0","1011611558","0","0","0"
"10116115","0","1","59","0","450","0","1.916","1011611559","12","0","235"
