b8e8a7ae3cc88011cf8625c61d3408ca6706f208046625a2e090be12e0a6b6ca,85a263d7f6dfac05778e04304a0543a831ac50181e3441f18b191f772d4b0827,50bcafa3da9e03593dd3c9dc3bf57fd5593d6186c171fa398264a858b5641101,1713a86eba9c45b9f90788810070310896883daad991e47df7d6c5fdce9b72ad,55ac4f1cf3bed5511742978e85d34c9cc9042a526a6e50e855091b9246bc11f1
"1","3000000","94002","100101","12"
"2","300","20004","100101","2"
"3","1000","90008","100102","2"
"4","6","25001","100103","2"
"5","1000000","94002","100104","12"
"6","300","20004","100104","2"
"7","1000","90008","100105","2"
"8","6","25001","100106","2"
"9","40","91002","100107","8"
"10","1000000","94002","100107","12"
"11","300","20004","100107","2"
"12","1000","90008","100108","2"
"13","1","41000","100109","2"
"14","7","25001","100109","2"
"15","1000000","94002","100110","12"
"16","400","20004","100110","2"
"17","1500","90008","100111","2"
"18","40","91002","100112","8"
"19","7","25001","100112","2"
"20","1000000","94002","100113","12"
"21","400","20004","100113","2"
"22","1500","90008","100114","2"
"23","1","41000","100115","2"
"24","7","25001","100115","2"
"25","1000000","94002","100116","12"
"26","500","20004","100116","2"
"27","40","91002","100117","8"
"28","1500","90008","100117","2"
"29","2000000","94002","100118","12"
"30","8","25001","100118","2"
"31","2000","90008","100118","2"
"32","3000000","94002","100201","12"
"33","300","20004","100201","2"
"34","1000","90008","100202","2"
"35","12","25001","100203","2"
"36","1000000","94002","100204","12"
"37","300","20004","100204","2"
"38","1000","90008","100205","2"
"39","10","25001","100206","2"
"40","40","91002","100207","8"
"41","1000000","94002","100207","12"
"42","300","20004","100207","2"
"43","1000","90008","100208","2"
"44","1","41000","100209","2"
"45","10","25001","100209","2"
"46","1000000","94002","100210","12"
"47","400","20004","100210","2"
"48","1500","90008","100211","2"
"49","40","91002","100212","8"
"50","9","25001","100212","2"
"51","1000000","94002","100213","12"
"52","400","20004","100213","2"
"53","1500","90008","100214","2"
"54","1","41000","100215","2"
"55","1000000","94002","100216","12"
"56","500","20004","100216","2"
"57","40","91002","100217","8"
"58","1500","90008","100217","2"
"59","2000000","94002","100218","12"
"60","2000","90008","100218","2"
"61","3000000","94002","100301","12"
"62","300","20004","100301","2"
"63","1000","90008","100302","2"
"64","12","25001","100303","2"
"65","1000000","94002","100304","12"
"66","300","20004","100304","2"
"67","1000","90008","100305","2"
"68","10","25001","100306","2"
"69","40","91002","100307","8"
"70","1000000","94002","100307","12"
"71","300","20004","100307","2"
"72","1000","90008","100308","2"
"73","1","41000","100309","2"
"74","10","25001","100309","2"
"75","1000000","94002","100310","12"
"76","400","20004","100310","2"
"77","1500","90008","100311","2"
"78","40","91002","100312","8"
"79","9","25001","100312","2"
"80","1000000","94002","100313","12"
"81","400","20004","100313","2"
"82","1500","90008","100314","2"
"83","1","41000","100315","2"
"84","1000000","94002","100316","12"
"85","500","20004","100316","2"
"86","40","91002","100317","8"
"87","1500","90008","100317","2"
"88","2000000","94002","100318","12"
"89","2000","90008","100318","2"
"90","3000000","94002","100401","12"
"91","300","20004","100401","2"
"92","1000","90008","100402","2"
"93","12","25001","100403","2"
"94","1000000","94002","100404","12"
"95","300","20004","100404","2"
"96","1000","90008","100405","2"
"97","10","25001","100406","2"
"98","40","91002","100407","8"
"99","1000000","94002","100407","12"
"100","300","20004","100407","2"
"101","1000","90008","100408","2"
"102","1","41000","100409","2"
"103","10","25001","100409","2"
"104","1000000","94002","100410","12"
"105","400","20004","100410","2"
"106","1500","90008","100411","2"
"107","40","91002","100412","8"
"108","9","25001","100412","2"
"109","1000000","94002","100413","12"
"110","400","20004","100413","2"
"111","1500","90008","100414","2"
"112","1","41000","100415","2"
"113","1000000","94002","100416","12"
"114","500","20004","100416","2"
"115","40","91002","100417","8"
"116","1500","90008","100417","2"
"117","2000000","94002","100418","12"
"118","2000","90008","100418","2"
"119","3000000","94002","100501","12"
"120","300","20004","100501","2"
"121","1000","90008","100502","2"
"122","12","25001","100503","2"
"123","1000000","94002","100504","12"
"124","300","20004","100504","2"
"125","1000","90008","100505","2"
"126","10","25001","100506","2"
"127","40","91002","100507","8"
"128","1000000","94002","100507","12"
"129","300","20004","100507","2"
"130","1000","90008","100508","2"
"131","1","41000","100509","2"
"132","10","25001","100509","2"
"133","1000000","94002","100510","12"
"134","400","20004","100510","2"
"135","1500","90008","100511","2"
"136","40","91002","100512","8"
"137","9","25001","100512","2"
"138","1000000","94002","100513","12"
"139","400","20004","100513","2"
"140","1500","90008","100514","2"
"141","1","41000","100515","2"
"142","1000000","94002","100516","12"
