1e06d320817b49a67160cacba7832baaba1da250556729102a977382daf9f541,82a655bc8c5179f68509bc237b5b51770d6a671060b75f81e553ad7a44901d83,f187b039acb782888910750742e19dfcdb4c0a5fe7c99365ab6594240b511d15,94debfb8946aee8f3f989574a83b2a634a4d0ffeb836e5564c0d5a8487949717,bcb1b73b351d8c541d56d6e7a059516cbe9b383c7a455ddf424d75fcac67c4b2,21104038f74cb8254b395cee3d97afbe7d7cbb51f18eaaf68b9d5c449f93e8a3,bc29abeb2dfd1e768aed462fa5ecd69b4b2a4f4eb24221aedbc24c7aa4325a33,b6a439992f196d79f5e4080993c6ae656f29bc1b92d1b235ff636b051f74fc00,22fbee69e8469a234c155a25c8fabe1a64575c30ca8f461f986e1f43c0734371,d2de65bdd8f15f57f156feba0345a92600feaa9902a1f99adc65302a15076aac,6dd457fd98c84fb3a780eca21f74b1f1d93da7f6fc2ee09d860bfa272440aa0d,8379bde0493b5184b88e992319d99e1a7716cd4580e3f7a026697b39c3b8f5df,4ca8dc398a5e2c1da97e199118a959376024da37ab85f71dd644220531a4625d,6b09362201a02a61198c23c4f3b6e10507c70326ce7c10340443654d016fa286,a29afc8ace36c0fc75ae1f8ba9852b494dfc3792dae23edf67e3d866762ef1b6,872ec8da6e9933c639e035aa78c727d6c55f37da69c88f6eca39031cd9f6fc21,abbeaf63b5e7b72aad2acf684e9b363b05987789ae33f60525f1122e153f1787,06e9cf18a3cab9f94b764cff15792c7247991393800992a1b29e5bab1481f5cd,9c7f77a5a9d23ceabd38e1d841ae0852f748ebff59890768b6fa98c5a06af85d,5ed3ff18647dc91aaeb3e1362701e4d14007f33d7ceef91e1fe935ddff3cd03d,46a4beee1a3786471fe9342add53426a8673bf695d1a57c6c47379d7977eb1a4
"劍","1","101011","0","0","0","0","0","0","0","0","0","0","0","鐵劍","0","0","0","0","0","0"
"短劍","1","101071","0","0","0","0","0","0","0","0","0","0","0","殺手筆劍","0","0","0","0","0","0"
"指虎","1","101101","0","0","0","0","0","0","0","0","0","0","0","木製拳套","0","0","0","0","0","0"
"弓","1","101131","0","0","0","0","0","0","0","0","0","0","0","獵人弓","0","0","0","0","0","0"
"戟","1","101161","0","0","0","0","0","0","0","0","0","0","0","鋼之戟","0","0","0","0","0","0"
"斧","1","101191","0","0","0","0","0","0","0","0","0","0","0","單手斧","0","0","0","0","0","0"
"回復法杖","1","101251","0","0","0","0","0","0","0","0","0","0","0","檀香之杖","0","0","0","0","0","0"
"輕裝鎧甲","1","101281","0","0","0","0","0","0","0","0","0","0","0","皮革工作服","0","0","0","0","0","0"
"魔法服","1","101371","0","0","0","0","0","0","0","0","0","0","0","旅行長袍","0","0","0","0","0","0"
"盾","1","101401","0","0","0","0","0","0","0","0","0","0","0","木製盾","0","0","0","0","0","0"
"鞋","1","101431","0","0","0","0","0","0","0","0","0","0","0","皮靴","0","0","0","0","0","0"
"魔法帽","1","101521","0","0","0","0","0","0","0","0","0","0","0","時尚貝雷帽","0","0","0","0","0","0"
"攻擊配件","1","101551","0","0","0","0","0","0","0","0","0","0","0","幹勁手鍊","0","0","0","0","0","0"
"防禦配件","1","101581","0","0","0","0","0","0","0","0","0","0","0","守護墜飾","0","0","0","0","0","0"
"魔法配件","1","101611","0","0","0","0","0","0","0","0","0","0","0","氣魄手環","0","0","0","0","0","0"
"劍","2","102011","0","0","0","0","0","0","0","0","13","0","0","齒輪劍","0","30","0","0","0","0"
"劍","2","102013","0","0","0","0","0","0","0","0","27","0","0","湛藍之血","0","60","0","0","0","0"
