952d1b4c13a977d347a1ace6035c0e4d0ca7863373e499e6bc79556f14eecad9,f2a4cb17055d392ed9429aefcd977a8fb519e3891fa5e91c915458caf4c22242,d8002b6f729cd92878f9a7dd9b59c73eb942823c2b9091f94503b2865ab5b2da,4c77aebfbe54abe78b8438a026848deb87c8ba14aab8befc73f439a86f0813d2,b24bd59d14bd628407034103518f863be6c13edde02bb222335c2f034c11091f
"30","1","31058","2","10101001"
"100","1","20001","2","10101002"
"20","1","101011","4","10101003"
"20","2","101071","4","10101003"
"20","3","101101","4","10101003"
"20","4","101131","4","10101003"
"20","5","101161","4","10101003"
"20","6","101191","4","10101003"
"20","7","101251","4","10101003"
"20","8","101281","4","10101003"
"20","9","101371","4","10101003"
"20","10","101401","4","10101003"
"20","11","101431","4","10101003"
"20","12","101521","4","10101003"
"20","13","101551","4","10101003"
"20","14","101581","4","10101003"
"20","15","101611","4","10101003"
"1","1","24027","2","10101004"
"300000","1","94002","12","10101005"
"30","1","31059","2","10101006"
"300","2","25011","2","10101006"
"300","3","25012","2","10101006"
"300","4","25013","2","10101006"
"300","5","25014","2","10101006"
"300","6","25015","2","10101006"
"145","1","31010","2","10101007"
"1000","1","0","5","10101008"
"1000","1","0","5","10101009"
"30","1","31060","2","10101010"
"20","1","102011","4","10101012"
"20","2","102071","4","10101012"
"20","3","102162","4","10101012"
"20","4","102191","4","10101012"
"20","5","102221","4","10101012"
"20","6","102251","4","10101012"
"20","7","102281","4","10101012"
"20","8","102311","4","10101012"
"20","9","102341","4","10101012"
"20","10","102371","4","10101012"
"20","11","102431","4","10101012"
"20","12","102461","4","10101012"
"20","13","102491","4","10101012"
"20","14","102493","4","10101012"
"20","15","102551","4","10101012"
"20","16","102581","4","10101012"
"20","17","102611","4","10101012"
"20","18","102612","4","10101012"
"1","1","21023","2","10101013"
"100","1","20002","2","10101014"
"1","1","24027","2","10101015"
"2500","1","25011","2","10101016"
"2500","2","25012","2","10101016"
"2500","3","25013","2","10101016"
"2500","4","25014","2","10101016"
"2500","5","25015","2","10101016"
"30","1","31002","2","10101017"
"100","2","50003","2","10101017"
"100","1","31058","2","10101018"
"1000","1","50003","2","10101019"
"100","1","20003","2","10101020"
"7500","1","0","5","10101021"
"100","2","20004","2","10101021"
