c7aea107fff5aa64f009922ac42a6e3fdda392200d346c2e1d59f30a506299fc,e038e3fd5e621154cea2494e9c4bbaad0f4a5b5dbd61cebd3922e50e833ee69a,b47a79bcdf0e36b695cdd8c5ed3f546d3f55cdc0bf85d576384a157beaa6383c,3e3a0a0f754dcaf568b381c2c785d906b6d2b52a2e0bda8cbf91418326ae142d,c5becfcd47de1ec2ec368bc1d3789de6624ba77eec491216cf47b593d71e20da,9273c565d602f37619920d9b3834543f448b7fcd29f62999f2c399ad594ac699,0db746945cfaf85ce8487d7539c6e971ff1415778ef969a56cb67434f45dddf8,c88e3f3b9735c5f8daf8188b005baf4f423dd99d09dcf955eefcf286b437451d,094890d185dd95aba5dfa5091b39ed3355e5f0d7fa0935b2cde0b007cf4e3d76,8c7f653d7ecce5365dfd09edabdf266f4f99d3e07935aa5e5c1d972c28450cce,332446c97b2b91bd24b88733b105ef41f509ed600f498b35dfdbb9e47cbc80bf,6c2c37fd8410021b4fbb61ee34a7dd9374d01ba1cfca7cb0e5e226e2faa65ed1,4a5e2b60aca5ad40a360e08f4849f70ed11e6abbd2ee32a52125b1d2e7e18243,88a8e6088058ae74aa4a19febcf6baa7f2ea4a4aa61447a782d136130295cba7,9818c38084a503cc0e2bdff0a45142074dfdec6bd3a52dd52f78665b81dc91c3
"99001001","打倒 1 隻惡代官（NORMAL限定）","99001001","660014101","2030/04/01 14:59:59","0","0","2019/09/03 16:00:00","9001","1","1004110","1","8006","20014","601"
"99001002","打倒 1 隻惡代官（HARD限定）","99001002","660014201","2030/04/01 14:59:59","0","0","2019/09/03 16:00:00","9001","1","1004111","1","8007","20014","601"
"99001003","打倒 1 隻惡代官（VERY HARD限定）","99001003","660014301","2030/04/01 14:59:59","0","0","2019/09/03 16:00:00","9001","1","1004112","1","8010","20014","601"
"99001004","打倒 1 隻惡代官（SPECIAL限定）","99001004","610041401","2030/04/01 14:59:59","0","0","2019/09/03 16:00:00","9001","1","1004113","1","6011","10041","601"
"99001005","打倒 1 隻貝特魯吉烏斯（NORMAL限定）","99001005","610153101","2030/04/01 14:59:59","0","0","2019/10/01 16:00:00","9001","1","1005310","1","6006","10153","601"
"99001006","打倒 1 隻貝特魯吉烏斯（HARD限定）","99001006","610153201","2030/04/01 14:59:59","0","0","2019/10/01 16:00:00","9001","1","1005311","1","6007","10153","601"
"99001007","打倒 1 隻貝特魯吉烏斯（VERY HARD限定）","99001007","610153301","2030/04/01 14:59:59","0","0","2019/10/01 16:00:00","9001","1","1005312","1","6010","10153","601"
"99001008","打倒 1 隻貝特魯吉烏斯（SPECIAL限定）","99001008","610153401","2030/04/01 14:59:59","0","0","2019/10/01 16:00:00","9001","1","1005313","1","6011","10153","601"
"99001009","打倒 1 隻雨神大人（NORMAL限定）","99001009","660015101","2030/04/01 14:59:59","0","0","2019/11/01 16:00:00","9001","1","1004310","1","8006","20015","601"
"99001010","打倒 1 隻雨神大人（HARD限定）","99001010","660015201","2030/04/01 14:59:59","0","0","2019/11/01 16:00:00","9001","1","1004311","1","8007","20015","601"
"99001011","打倒 1 隻雨神大人（VERY HARD限定）","99001011","660015301","2030/04/01 14:59:59","0","0","2019/11/01 16:00:00","9001","1","1004312","1","8010","20015","601"
"99001012","打倒 1 隻雨神大人（SPECIAL限定）","99001012","610043401","2030/04/01 14:59:59","0","0","2019/11/01 16:00:00","9001","1","1004313","1","6011","10043","601"
"99001017","打倒 1 隻奄美魔物（NORMAL限定）","99001017","660016101","2030/04/01 14:59:59","0","0","2019/12/02 16:00:00","9001","1","1004510","1","8006","20016","601"
