8d7d4ac9b27053731505fe53f3ead6e7fb89b229d2f1cedeab7963991354ff89,70c2d67a2a9237a08b0361c9a230c2e725db19d934fff95b5a1c512fe9182138,e94b5a99fdc50d06b3230f272539c9c42e38cf8a43436e62d772ad2ae52ba83d,64ed62b5bdced070f572d32247c0495cc1379cd417360a5ea272f7d9aa8c0013,f1c662bccd8ae57e14b16403db38d4a06b5d20394b9ec38fa0225d42421c7b8f,1239b29288315ab55b818a2f448a11811399060b2760596a8fd01849f5357163,69eb028864a89c2c55f5186caad495c5d65a83549b18c7ce4b091a85a00f1ca8,33b43d0d2b67d41bc3e8dd301bcf6ec6d9eb906aed03f599ee859204dc2d8de0,af1181e1f08b91875b98a0710b96abebcad1ffb15425439f39eff71bf9e0176d,94a69e7dba1600a192bb0131e4b021b9753f6e60eebe6666ace49b2013af98fd,7261a1f0a27d9e507b50683c4994262bd5dd9b5f35673bfacc0fe1eea9e20314,e547ac44d4f45c28c9abff980b4ccb167dc495f08cd02c66f77ec4ada6987802,2229b63eb9697e4e7445966a71337220f1d4a81dc834e4f5a99dcad354f9ef14
"","29","","","","1","","","","3100101","","","31001_01"
"","59","","","","30","","","","3100101","","","31001_03"
"","-1","","","","60","","","","3100101","","","31001_05"
"","29","","","31001_01","1","","","","3100102","","","31001_01"
"","59","","","31001_03","30","","","","3100102","","","31001_03"
"","-1","","","31001_05","60","","","","3100102","","","31001_05"
"","29","","31001_01","31001_01","1","","","","3100103","","","31001_01"
"","59","","31001_03","31001_03","30","","","","3100103","","","31001_03"
"","-1","","31001_05","31001_05","60","","","","3100103","","","31001_05"
"","29","31001_01","31001_01","31001_01","1","","","","3100104","","","31001_01"
"","59","31001_03","31001_03","31001_03","30","","","","3100104","","","31001_03"
"","-1","31001_05","31001_05","31001_05","60","","","","3100104","","","31001_05"
"","289","","","61004_02","1","","","","3100201","","","61004_01"
"","299","","","61004_04","290","","","","3100201","","","61004_03"
"","309","","","61004_06","300","","","","3100201","","","61004_05"
"","319","","","61004_08","310","","","","3100201","","","61004_07"
"","329","","","61004_10","320","","","","3100201","","","61004_09"
"","339","","","61004_12","330","","","","3100201","","","61004_11"
"","349","","","61004_14","340","","","","3100201","","","61004_13"
"","-1","","","61004_16","350","","","","3100201","","","61004_15"
