a941a90a83dc7ee327412cda5e5408445d8416fae3c8046531a85d4483cb1e6e,90efa264d8b73146888271a76f679c42c80b76b884c5e8cf7bb401a042a0408b,ba70a4e08a064509ef532da1a7bb50e7a9ddcd02b0b300229d1632ea8edab5db,f64de156a87bc819a1e021e8869733f0b86da799fc2fcd97791a50f9aef72569,0dda461902622a59180df2ad6aef8b13f81531fdc7fd6ec2bce42392de41650e,b55f7ae61b353231a2eec809664cf54b0073289fc13d1c52249fe4c716c36692,383a23c1d40614fa48f8afb50746defcb9ed145cfe16f4a5c37d99b2a014312a,8783991218d405c63d6cfee0201fb42e10cdb98a4911881870cb757d3abe542d
"1","10001","ㄧㄥ","ㄨㄛ","紅色又酸酸甜甜的水果。","1000100","1","蘋果"
"2","10001","ㄧㄣ","ㄕ","據說會長成智慧之樹的水果。也有人說其實那不是蘋果之類的。","1000101","1","禁忌的果實"
"2","10001","ㄓ","ㄨㄛ","吃了可以增強記憶力，提高智能的水果。","1000102","1","智慧之果"
"1","10002","ㄟ","ㄧㄥ","又強又黑還很強壯。最愛香蕉的生物。","1000200","1","黑猩猩"
"2","10002","ㄧㄥ","ㄟ","動物分類中的一種。","1000201","1","靈長類"
"2","10002","ㄨ","ㄡ","形容大猩猩兇猛叫聲的擬聲語。","1000202","1","嗚吼嗚吼"
"3","10002","ㄓ","ㄧㄢ","坐鎮於「露娜之塔」的強大仙猿。雖然不是猩猩是猴子，但也算是親戚，算你勉強通過。","1000203","1","擲岩猴仙"
"1","10003","ㄚ","ㄚ","統稱特定的銅管樂器的說法。","1000300","1","喇叭"
"2","10003","ㄧㄠ","ㄠ","銅管樂器中的一種。","1000301","1","小號"
"2","10003","ㄨㄢ","ㄧ","以管狀造型為主，多以吹奏等空氣流動方式產生樂音的樂器。","1000302","1","管樂器"
"1","10004","ㄥ","ㄧ","生長在溫暖地區，黃色且味道酸甜的水果。","1000400","1","鳳梨"
"1","10004","ㄛ","ㄨㄛ","在某些地區就是這樣叫這種水果的。","1000401","1","菠蘿"
"1","10004","ㄨㄤ","ㄞ","「鳳梨」的台語讀音。","1000402","1","旺來"
"1","10005","ㄨㄥ","ㄕ","也有人稱其為寶石女王，鮮艷的紅色寶石。","1000500","1","紅寶石"
"1","10005","ㄠ","ㄕ","用在裝飾品中，既美麗又珍貴的礦物。","1000501","1","寶石"
"2","10005","ㄛ","ㄕ","帶有魔法的石頭，可以鑲嵌在武器上，也可以做施法的媒介。","1000502","1","魔法石"
"3","10005","ㄧㄡ","ㄣ","「紫藤家」的大小姐「秋乃」戴在身上的美麗胸針。","1000503","1","秋乃的胸針"
"3","10005","ㄗ","ㄕ","「秋乃」的專用裝備。紫藤家代代相傳的輝石。","1000504","1","紫藤紅輝石"
"1","10006","ㄧ","ㄧㄡ","用穀物釀成的酒類。","1000600","1","啤酒"
"1","10006","ㄧㄡ","ㄟ","用單手拿著，裝飲料用的容器。","1000601","1","酒杯"
"2","10006","ㄞ","ㄧㄡ","「優花梨」會稱呼它「像啤酒的東西」。不能讓她喝太多。","1000602","1","麥酒"
"3","10006","ㄥ","ㄨㄟ","「優花梨」專用裝備的內容物。不管怎麼喝都會不斷地湧出來。","1000603","1","生命之水"
"1","10007","ㄨㄥ","ㄧㄢ","用弓與箭組成的武器。","1000700","1","弓箭"
"1","10007","ㄧㄢ","ㄕ","「箭」的別種說法。","1000701","1","箭矢"
"2","10007","ㄩㄢ","ㄧ","指可以飛得很遠的攻擊型武器。","1000702","1","遠距離武器"
"2","10007","ㄧㄡ","ㄜ","羅馬神話中的小愛神。","1000703","1","邱比特"
"2","10007","ㄚ","ㄧㄝ","獵殺動物的行為。","1000704","1","打獵"
"2","10007","ㄡ","ㄧㄝ","人類獵殺動物以取得資源的行為。","1000705","1","狩獵"
"1","10008","ㄧㄣ","ㄨ","在音樂上用來表示音高的記號。","1000800","1","音符"
"1","10008","ㄩㄢ","ㄩ","音樂中音符的流動。","1000801","1","旋律"
"2","10008","ㄡ","ㄧ","將音階由低到高排列 3個。","1000802","1","ㄉㄡㄖㄨㄟㄇㄧ"
"2","10008","ㄜ","ㄧㄢ","數個音符根據樂理結成的組合。","1000803","1","和弦"
"1","10009","ㄧㄢ","ㄧㄠ","為了在畫上著色的材料。","1000900","1","顏料"
"1","10009","ㄨㄟ","ㄞ","水性的顏料。","1000901","1","水彩"
"2","10009","ㄨㄢ","ㄨㄢ","盛裝膏狀物的容器。","1000902","1","軟管"
"2","10009","ㄢ","ㄜ","藍色。或是憂鬱的顏色。","1000903","1","藍色"
"1","10010","ㄧㄢ","ㄧㄢ","以刀刃進行攻擊的武器總稱。","1001000","1","劍"
"2","10010","ㄨ","ㄧ","用於戰鬥的工具。","1001001","1","武器"
"2","10010","ㄨㄢ","ㄧㄢ","長度較短的劍。","1001002","1","短劍"
"2","10010","ㄧㄣ","ㄧ","近身格鬥用的武器。","1001003","1","近戰武器"
"3","10010","ㄨㄥ","ㄧㄢ","「貪吃佩可」的專用裝備。能帶給貪吃佩可更加強大的力量，「皇家裝備」真正的模樣。","1001004","1","公主之劍"
"1","10011","ㄧㄢ","ㄧㄥ","為了補正視力，在眼睛周邊戴在身上的道具。","1001100","1","眼鏡"
"2","10011","ㄧㄥ","ㄧㄢ","用在眼鏡或各式東西上，折射光線用的透明物體。","1001101","1","鏡片"
"2","10011","ㄨ","ㄗ","只知道念書並對其餘事情一竅不通的人。","1001102","1","書呆子"
"2","10011","ㄢ","ㄩ","用來變裝，拿下後原來是美女的眼鏡。","1001103","1","扮裝道具"
"3","10011","ㄨㄚ","ㄧㄥ","公會小屋的管理員「花凜」戴著的眼鏡。","1001104","1","花凜的眼鏡"
"1","10012","ㄤ","ㄧㄥ","為了把小東西放大觀看用的道具。","1001200","1","放大鏡"
"1","10012","ㄧㄥ","ㄧㄢ","用在放大鏡或各式物品上，讓光線曲折用的透明物體。","1001201","1","鏡片"
"2","10012","ㄨ","ㄧㄥ","具有放大效果的透鏡。","1001202","1","凸透鏡"
"3","10012","ㄣ","ㄧㄣ","名偵探「霞」愛用的偵探道具之一。","1001203","1","偵探必備的物品"
"1","10013","ㄡ","ㄡ","拿去烤就會噗滋地流出肉汁，是很棒的食材。","1001300","1","肉"
"2","10013","ㄧㄠ","ㄧ","食材經過巧手烹飪後的完美傑作，讓人忍不住要品嚐美味。","1001301","1","料理"
"2","10013","ㄞ","ㄡ","帶骨的肉。或是以該狀態料理的食物。光是帶骨就看起來莫名的美味。","1001302","1","帶骨肉"
"3","10013","ㄨㄥ","ㄡ","這麼棒的帶骨肉，該不會是傳說中存在於艾爾皮斯島上的「龍」吧。","1001303","1","龍肉"
"1","10014","ㄩㄝ","ㄧㄤ","在夜空中閃耀著金黃色的美麗星球。","1001400","1","月亮"
