bd4c6301bfc0e66710dcd3262eb03e81013b54cb7691c4475b0f0f2e90e16b9c,b542ba47ec27c0b987b988cebf954494c094081196d4c22c35becc6b0e13825c,bfbc51d1bba8f63eb226621adaf55839e62737a8c24d5c29a0bbeb50d85aa91a,da5c808185d25136ae2e0da5086faf632a2979e1caf54905f70fdf4a3c841d48,1c11e5990bbc93cd30e0e8f4dcbaf66ccdcad99c5a0a9e700abb19756bcb5f38,807cd138458a977b88d847e22640c7975758686e194ae03c9cfc9dce3b130850,59a2a12b8eb490f69e7a078dca4fb72b67eaf15f213e311062903ec306699f7d,e290fdfb711491dceaf490bf41f295bf6adb3cbe8d13499c570d8c6587a21d3b,ae82173f6ac0cbc29a00a118e9f91960290a6cb44d4e5585f2bb5ffefdff45f1,267a6928936dc0eaf06c90861100b056db330915620915618d0d10c364ab9a4d,2d1a86be338281ee5af89ec3944096298ed9eecd0343ee0b881b7e92db87dba7,c1e2d9513b632451d309d0080e897e55134f493d982a9438a95e6f1047398b56
"1","110111","110111","0","0","0","4","0","0","0","201","200"
"1","110121","110121","0","0","0","4","0","0","0","201","200"
"1","110211","110211","0","0","0","4","0","0","0","201","200"
"1","110221","110221","0","0","0","4","0","0","0","201","200"
"1","110311","110311","0","0","0","4","0","0","0","201","200"
"1","110321","110321","0","0","0","4","0","0","0","201","200"
"1","110411","110411","0","0","0","4","0","0","0","201","200"
"1","110421","110421","0","0","0","4","0","0","0","201","200"
"1","110511","110511","0","0","0","6","0","0","0","411","200"
"1","110521","110521","0","0","0","6","0","0","0","421","300"
"0","110711","110711","0","0","0","3","0","0","0","711","0"
"0","110712","110712","0","0","0","3","0","0","0","712","0"
"0","110721","110721","0","0","0","4","0","0","0","721","0"
"0","110722","110722","0","0","0","4","0","0","0","722","0"
"0","110731","1500","0","0","0","1","0","0","0","731","0"
"0","110732","2000","0","0","0","1","0","0","0","732","0"
"0","110811","110811","0","0","0","3","0","0","0","821","0"
"0","110812","110812","0","0","0","4","0","0","0","823","0"
"0","110813","110813","0","0","0","3","0","0","0","822","0"
"0","110821","1000","0","0","0","1","0","0","0","811","0"
"1","110911","110911","0","0","0","6","0","0","0","411","300"
"1","110921","110921","0","0","0","6","0","0","0","421","450"
"0","111011","3000","0","0","0","1","0","0","0","311","0"
"0","111012","1000","0","0","0","1","0","0","0","312","0"
"0","111021","3000","0","0","0","1","0","0","0","321","0"
"0","111022","1000","0","0","0","1","0","0","0","322","0"
"0","111031","3000","0","0","0","1","0","0","0","331","0"
"0","111032","1000","0","0","0","1","0","0","0","332","0"
"0","111111","2000","0","0","0","1","0","0","0","1011","0"
"0","111121","111121","0","0","0","3","0","0","0","1023","0"
"0","111122","111122","0","0","0","3","0","0","0","1022","0"
"0","111123","111123","0","0","0","3","0","0","0","1021","0"
"0","111211","2000","0","0","0","1","0","0","0","1111","0"
"4","111221","111220","0","0","0","4","0","0","0","1121","111221"
"4","111222","111220","0","0","0","4","0","0","0","1122","111222"
"4","111223","111220","0","0","0","4","0","0","0","1123","111223"
"1","111311","111311","0","0","0","6","0","0","0","411","400"
"1","111321","111321","0","0","0","6","0","0","0","421","600"
"1","111711","111711","0","0","0","6","0","0","0","411","500"
"1","111721","111721","0","0","0","6","0","0","0","421","750"
"7","131411","131411","0","0","0","3","0","0","0","511","131411"
"0","131412","500","0","0","0","1","0","0","0","513","0"
"0","131511","131511","0","0","0","7","0","0","0","911","0"
"0","131512","500","0","0","0","1","0","0","0","912","0"
"7","131611","2000","0","0","0","1","0","0","0","611","131611"
"0","131612","500","0","0","0","1","0","0","0","612","0"
"7","231411","231411","0","0","0","3","0","0","0","512","231411"
"0","231412","500","0","0","0","1","0","0","0","513","0"
"0","231511","231511","0","0","0","7","0","0","0","921","0"
"0","231512","500","0","0","0","1","0","0","0","922","0"
"0","231521","231521","0","0","0","4","0","0","0","0","0"
"7","231611","4000","0","0","0","1","0","0","0","621","231611"
"0","231612","500","0","0","0","1","0","0","0","622","0"
"0","231621","0","0","0","0","8","0","0","0","0","0"
"0","331411","331411","0","0","0","3","0","0","0","514","0"
"0","331412","500","0","0","0","1","0","0","0","513","0"
"0","331511","331511","0","0","0","4","0","0","0","931","0"
"0","331512","500","0","0","0","1","0","0","0","932","0"
"0","331521","331521","0","0","0","4","0","0","0","0","0"
"0","331611","8000","0","0","0","1","0","0","0","631","0"
"0","331612","500","0","0","0","1","0","0","0","632","0"
"0","331621","0","0","0","0","8","0","0","0","0","0"
