760034a635ffe63fa7888d5e49640b691021b043831c341863f4d0d2076d1872,955c2d1584c3ea9ad1611bddf49c29cc0cb77154677ec7d774a745476f3aea53,d2708eab3e398c6e61728f4fc459d2b9b7afbb283c5269341e14d39aaea6b897,b1afea1125672562dca987150ccc5d5da174fd4a46a3e333c83cfcd4c573cdfa,52f63d4c91b9e662f73a90e72eb94179064c8ebd71887e0d3e08a95f771d4b46,155d8a9688ebd3de28b42937e297a456f4071b29313828eaf6b05eaad9ddeabf
"111011101","1","0","1","101001","1110111"
"111021101","1","0","1","101002","1110211"
"133011101","1","0","3","301","1330111"
"133011201","1","0","3","301","1330112"
"133020101","0","500","3","302","1330201"
"133020201","0","500","3","302","1330202"
"133030101","0","1","3","303","1330301"
"133030201","0","250","3","303","1330302"
"133030301","0","1","3","303","1330303"
"133030401","0","1","3","303","1330304"
"133030501","0","250","3","303","1330305"
"133030601","0","1","3","303","1330306"
"133040101","0","1000","3","304","1330401"
"133040201","0","1000","3","304","1330402"
"133040301","0","1000","3","304","1330403"
"133040401","0","1000","3","304","1330404"
"133051101","1","0","3","305","1330511"
"133051201","1","0","3","305","1330512"
"134010101","0","1","3","401","1340101"
"134010201","0","1","3","401","1340102"
"134021101","1","0","3","402","1340211"
"134021201","1","0","3","402","1340212"
"140010101","0","1","4","1","1400101"
"140010201","0","1","4","1","1400102"
"140010301","0","10","4","1","1400103"
"140020101","0","0","4","2","1400201"
"210000101","0","0","1","0","2100001"
"211030101","0","0","1","101003","2110301"
"221010101","0","0","2","100001","2210101"
"221020101","0","0","2","100002","2210201"
"221030101","0","0","2","100003","2210301"
"221050101","0","0","2","100005","2210501"
"221070101","0","0","2","100007","2210701"
"221080101","0","0","2","100008","2210801"
"221090101","0","0","2","100009","2210901"
"221100101","0","0","2","100010","2211001"
"221110101","0","0","2","100011","2211101"
"221120101","0","0","2","100012","2211201"
"221130101","0","0","2","100013","2211301"
"221140101","0","0","2","100014","2211401"
"221160101","0","0","2","100016","2211601"
"221170101","0","0","2","100017","2211701"
"222020101","0","0","1","201020","2220201"
"222040101","0","0","1","201040","2220401"
"222050101","0","0","1","201050","2220501"
"222060101","0","0","1","201060","2220601"
"222070101","0","0","1","201070","2220701"
"222080101","0","0","1","201080","2220801"
"222090101","0","0","1","201090","2220901"
"222100101","0","0","1","201100","2221001"
"222110101","0","0","1","201110","2221101"
"222130101","0","0","1","201130","2221301"
"222140101","0","0","1","201140","2221401"
"222160101","0","0","1","201160","2221601"
"222180101","0","0","1","201180","2221801"
"222190101","0","0","1","201190","2221901"
"222200101","0","0","1","201200","2222001"
"222210101","0","0","1","201210","2222101"
"222220101","0","0","1","201220","2222201"
"222230101","0","0","1","201230","2222301"
"222240101","0","0","1","201240","2222401"
"222250101","0","0","1","201250","2222501"
"222270101","0","0","1","201270","2222701"
"222280101","0","0","1","201280","2222801"
"222290101","0","0","1","201290","2222901"
"222300101","0","0","1","201300","2223001"
"222320101","0","0","1","201320","2223201"
"222340101","0","0","1","201340","2223401"
"222350101","0","0","1","201350","2223501"
"222360101","0","0","1","201360","2223601"
"222370101","0","0","1","201370","2223701"
"222380101","0","0","1","201380","2223801"
"222390101","0","0","1","201390","2223901"
"222400101","0","0","1","201400","2224001"
"222410101","0","0","1","201410","2224101"
"222430101","0","0","1","201430","2224301"
"222440101","0","0","1","201440","2224401"
"222470101","0","0","1","201470","2224701"
"222480101","0","0","1","201480","2224801"
"222490101","0","0","1","201490","2224901"
"233010101","0","1000","3","301","2330101"
"233050101","0","1000","3","305","2330501"
"234020101","0","0","3","402","2340201"
"234030101","0","0","3","403","2340301"
"240010101","0","0","4","1","2400101"
"310000101","0","0","1","0","3100001"
"310000102","0","0","1","0","3100002"
"311010101","0","0","1","101001","3110101"
"311020101","0","0","1","101002","3110201"
