36e2bb74ec07f7552cb72c423446d77ef1cbe0abf888f6512c583f95bace5cfa,b04d46d13bbe29eb5ca41dce20226db4b376a49c65b4d1a442237cfdd6563d46,f797d444ef9ab86b3fd7d8ccc20440e146e1404beb5d8eb89b8cb201ed02a167,73cbf3e6fe8d96f837419f870245393ceff215066d3a555dd0fb7d69e7ddb928,99138ae6b38b9b5be5bd1d309680edee86633fca6eb22275c4f71fc0fe06267b
"101","單手劍","red","#D23232","90009"
"102","雙手劍","red","#D23232","90009"
"103","短劍","red","#D23232","90009"
"104","槍","red","#D23232","90009"
"105","斧","red","#D23232","90009"
"106","弓","red","#D23232","90009"
"107","拳","red","#D23232","90009"
"108","盾","red","#D23232","90009"
"109","杖","red","#D23232","90009"
"110","書本","red","#D23232","90009"
"201","衣服","blue","#476FD8","90010"
"202","鎧甲","blue","#476FD8","90010"
"203","白長袍","blue","#476FD8","90010"
"204","黑長袍","blue","#476FD8","90010"
"301","戒指","yellow","#E5681E","90011"
"302","手鐲","yellow","#E5681E","90011"
"303","項鍊","yellow","#E5681E","90011"
"304","寶珠","yellow","#E5681E","90011"
"305","耳環","yellow","#E5681E","90011"
