5e435bc02daf42cba4fcd55339dee7c9ca2906963ab23cfc0efd6deecb24be75,01c2122fa42b3926dd63371db78de60cc9dbdab4f68a115fb48b119c066f386a,f4900227e3e1fd7c03c561446c7ac2d0cd9b9475c30a9e995f134cc077c3f0b1,195b6b729f8976f504cfb9327484df450db1258947fad1620b4f92e82ec42291,bbcd143f3008dc88b252b3b963acbbbd2581b1d2608821334a088b04ce25bf5a
"0","0","0","0","1"
"0","0","0","0","2"
"0","0","0","0","3"
"0","2","0","0","4"
"0","2","0","0","5"
"0","2","0","0","6"
"0","3","0","0","7"
"0","3","0","0","8"
"0","3","0","0","9"
"0","4","0","0","10"
"0","4","0","0","11"
"0","4","0","0","12"
"0","0","0","0","13"
"0","0","0","0","14"
"0","0","0","0","15"
"0","0","0","2","16"
"0","0","0","2","17"
"0","0","0","2","18"
"0","0","0","3","19"
"0","0","0","3","20"
"0","0","0","3","21"
"0","3","0","0","22"
"0","3","0","0","23"
"0","2","0","0","24"
"0","2","0","0","25"
"0","0","0","2","26"
"0","0","0","2","27"
"3","2","0","0","28"
"3","2","0","0","29"
"0","3","0","2","30"
"0","3","0","2","31"
"0","3","0","3","32"
"0","0","0","3","33"
"4","3","0","0","34"
"0","0","0","0","35"
"0","2","0","2","36"
"0","2","0","2","37"
"0","4","0","3","38"
