53af710de75b3b6da7a4f42d6e738fed60604fe2880ae72a4514e31c87393bba,c2cb2509b67bcb1f9c661bd4c8458205dc283ed501954323839991f3248dec21,6f7f537b1cedef154cf1a4021855ffd5c77150aa95cd6728f14e5bdfcfdb958f,a6af0d9eef95979a0d790f846ee759d8ec0c14942c7dd25faffb17613300a6dd,4dc2fb3ca266f632afd543e33bbe1ec2ed23e881960418ac75a05777a3bab057,98ce71d8f32ec6bb92ed272607cdd31cfd9bd5cf9003173fbc9b9da27e1a9ec3,7e02f8335cee769d40ed1586dc6a979a6bb32949922a065b15d6e894e5d08414,646aac7eeb89bcd5664e1559d26dcd3b93caf49652e0cd98e14e34b7296a0679,443472c1559d408a1fe8bb75a6dc7cd95310c5c7d9a255f591337fd5154c7981
"1","93001","6","100","2018/01/01 05:00:00","2030/12/31 23:59:59","1","-1","18001001"
"1","93001","6","100","2018/01/01 05:00:00","2030/12/31 23:59:59","2","-1","18001002"
"1","0","5","30","2018/01/01 05:00:00","2021/02/09 04:59:59","3","-1","11001001"
"1","94002","12","30000","2018/01/01 05:00:00","2021/02/09 04:59:59","4","-1","11001001"
"1","91002","8","10","2018/01/01 05:00:00","2021/02/09 04:59:59","5","-1","11001001"
"1","0","5","40","2018/01/01 05:00:00","2021/02/09 04:59:59","6","-1","11003001"
"1","20002","2","2","2018/01/01 05:00:00","2021/02/09 04:59:59","7","-1","11003001"
"1","91002","8","10","2018/01/01 05:00:00","2021/02/09 04:59:59","8","-1","11003001"
"1","0","5","20","2018/01/01 05:00:00","2021/02/09 04:59:59","9","-1","13002001"
"1","0","5","20","2018/01/01 05:00:00","2021/02/09 04:59:59","10","-1","18004001"
"1","0","5","25","2018/01/01 05:00:00","2021/02/09 04:59:59","11","-1","16006001"
"1","0","5","25","2018/01/01 05:00:00","2021/02/09 04:59:59","12","-1","16007001"
"1","22001","2","3","2018/01/01 05:00:00","2021/02/09 04:59:59","13","-1","16007001"
"1","0","5","30","2018/01/01 05:00:00","2021/02/09 04:59:59","14","-1","11004001"
"1","20002","2","2","2018/01/01 05:00:00","2021/02/09 04:59:59","15","-1","11004001"
"1","90007","2","500","2018/01/01 05:00:00","2021/02/09 04:59:59","16","-1","11004001"
"1","0","5","40","2018/01/01 05:00:00","2021/02/09 04:59:59","17","-1","11005001"
"1","94002","12","30000","2018/01/01 05:00:00","2021/02/09 04:59:59","18","-1","11005001"
