1887732c66051035357fc8d9e6e396ac09fe0debb018e6fed5adf3b9399a942d,20d01cae21280f973c494dcefa8bd897214816e6af8004cbca0671932cde9f6e,65e5e86eab6e4116edccbacd4cc617c18f5e3441ede9e8a52b3515f79cecbc6a,ffafe8659c1a2bd1ef9dd8ff2a56579ab16b98a9b203d127dc3b7c4288b96d91,f55894d4cbe21d352a6cbb373dac5b2020eeb24d2d8befeec5974091585efcd3,0fdce968d0b48d21a31821da5fc98dbbeefbc6e629b4b03bc65ce27f132a2b9a,681ad9d75aa3d1b7d86e48b988a6a4fc37a1483c9d9df6c4084cd270f79f3165
"105","2","3","1","1","105","105"
"120","2","3","1","2","120","105"
"120","2","3","1","3","100","100"
"120","2","3","1","4","120","105"
"120","2","3","1","5","105","105"
"105","2","3","1","6","100","100"
"105","2","3","1","7","100","120"
"105","2","3","1","8","100","100"
"120","2","3","1","9","120","105"
"105","2","3","1","10","100","120"
"100","2","3","1","11","105","100"
"120","2","3","1","12","120","105"
"105","2","3","1","13","105","105"
"105","2","3","1","14","120","105"
"120","2","3","1","15","120","120"
"100","2","3","1","16","100","100"
"120","2","3","1","17","105","120"
"105","2","3","1","18","120","120"
"100","2","3","1","19","105","105"
"105","2","3","1","20","105","100"
"100","2","3","1","21","105","100"
"120","2","3","1","22","120","120"
"100","2","3","1","23","100","105"
"120","2","3","1","24","120","120"
"120","2","3","1","25","105","105"
"100","2","3","1","26","100","100"
"100","2","3","1","27","100","100"
"100","2","3","1","28","100","100"
"120","2","3","1","29","120","120"
"105","2","3","1","30","120","105"
