76b5aae8156205b5721af12e6a00b6acef5f8627e02c7be71ef635f0d0f66a0b,1847fe7c6fc591e1239cb806f2964b1aeb57e5df475cc7647eaba652185f76b7,6abd4aae5ba7d6c7521a1ae5cc6fe4f1ed8e1dac269eb2037639152f2bf3a3ed,6f3aa0692e9e5387a0ec3df50ef72e76176e5c38299eb27a04631500574fca5e,1e129b2d3bfc6741ed797be81941e51a8a9e406c5ef5bc51380729c59695a0ab
"1045","1025","1","1037","1048"
"1006","1003","2","1062","1004"
"1006","1003","3","1029","1007"
"1062","1047","4","1025","1045"
"1022","1043","5","1003","1013"
"1019","1006","6","1048","1004"
"1003","1062","7","1037","1033"
"1059","1056","8","1050","1053"
"1034","1001","9","1030","1011"
"1026","1063","10","1046","1023"
"1044","1020","11","1014","1038"
"1040","1017","12","1008","1049"
"1020","1023","13","1017","1044"
"1020","1017","14","1001","1038"
"1008","1030","15","1036","1048"
"1011","1044","16","1004","1038"
"1022","1043","17","1005","1011"
"1047","1046","18","1042","1016"
"1063","1014","19","1041","1028"
"1058","1052","20","1061","1055"
"1024","1025","21","1031","1001"
"1005","1024","22","1064","1063"
"1044","1040","23","1066","1000"
"1010","1000","24","1076","1038"
"1043","1003","25","1077","1019"
"1068","1070","26","1071","1069"
"1090","1092","27","1089","1091"
"1099","1098","28","1097","1100"
"1103","1102","29","1101","1104"
"1107","1106","30","1105","1108"
"1090","1089","31","1088","1091"
