88e62b6e7ec14c4f98232fe3ec4552e0b487fd0f4cab6e4f03b217e8b5e98c67,cbdd99b8970e7db4142cb818ca5261d85f055b25f92ac5a209f932b73fceea77,72bf0e3c94f24b6f01b2f8b3eca06d4c4a7d5dc5a095d975e23bf23c25995a67,afc57bbdd4e28c51a0ff1b9370f9fa7cce610e1e61c0ccb7d6412b17006eee1e,ce79d5114a57ff4e6afbd95810392f2cc88b2add9a2c5fccf0df76b847218879,3640dacdd917e2116234d2924388aa371d8bf9516c7de81ca3322f055b14de51,6ffd51013e94bb4e110fb79d408f1de19b946c9966fe478b19e5bb48f54f4a16,70b487b5e911d6dfc313dbcb883ac62c943534ca83e0769fe5ca1740b6f7b3bd
"10001101","塔爾格姆地區","10001","bgm_M32","10001","10001101","10001","bgm_M32"
"10002101","馬席納地區","10002","bgm_M98","10002","10002101","10002","bgm_M98_2"
"10003101","蘭德索爾郊外","10003","bgm_M106","10003","10003101","10003","bgm_M106"
"10004101","塔帕斯海灘 周邊","10004","bgm_M112","10004","10004101","10004","bgm_M112"
"10005101","伊爾席翁的孤島","10005","bgm_M121","10005","10005101","10005","bgm_M121"
"10006101","王城蘭德索爾","10006","bgm_M128","10006","10006101","10006","bgm_M128"
"10007101","蘭德索爾近郊","10007","bgm_M135","10007","10007101","10007","bgm_M135"
"10008101","蘭德索爾近郊","10008","bgm_M121","10008","10008101","10008","bgm_M121"
"10009101","聖誕節","10009","bgm_M171","10009","10009101","10009","bgm_M171"
"10010101","往神殿的參道","10010","bgm_M121","10010","10010101","10010","bgm_M121"
"10011101","情人節","10011","bgm_M189","10011","10011101","10011","bgm_M189"
"10012101","王城蘭德索爾","10012","bgm_M206","10012","10012101","10012","bgm_M206"
"10013101","馬納歷亞","10013","bgm_M215","10013","10013101","10013","bgm_M215"
"10014101","塔爾格姆地區","10014","bgm_M32","10014","10014101","10014","bgm_M32"
"10015101","大江戶大街","10015","bgm_M189","10015","10015101","10015","bgm_M189"
