1fe86d79ecaa158615ebbad2afe14f62f34c6a233659aa6c6899b689cca41c43,3b777414f012e07efa7f496cf0aa14e5ca7ce4f09b14c0cb452cc645f7e0e61c,b4039268a1dbbfbf2b6667f5c0e6bad74895ee1dd2876dd4ea3d5d4799d8a107,4a8b1b5e9945dc52d62aae787bcd3219f2e2afe50f2c749af4b9e8c3f2ef9df6,7d75ea3b8b478b2fb8980857c0f76f7036967ea13c6000c02f4b149ef4a29267,4cc7dc34a49f9dbacc4fa3715027cd65f76192948e164ee4f0f86ceffcd41f86,6b0d009ca425855602043635592ea6e93307fb2e727655589fd7eb24ccb0f431,1a1180617c5d51db72e16925eb89752209f688838a291af7f125fc1508d80e26,832fb1e559c6e7d0ed8abe6f83d45add3b6f77f4d6e415c225eef02e6cf9f783
"22","1","20","15","10701","1","15","53002","7"
"22","1","22","14","10702","2","14","53002","7"
"22","2","24","13","10703","3","13","53002","7"
"22","2","26","12","10704","4","12","53002","7"
"22","3","28","11","10705","5","11","53002","7"
"22","3","30","10","10706","6","10","53002","7"
"22","4","32","9","10707","7","9","53002","7"
"22","4","34","8","10708","8","8","53002","7"
"22","5","36","7","10709","9","0","53002","7"
"22","1","20","15","10801","1","15","53002","8"
"22","1","22","14","10802","2","14","53002","8"
"22","2","24","13","10803","3","13","53002","8"
"22","2","26","12","10804","4","12","53002","8"
"22","3","28","11","10805","5","11","53002","8"
"22","3","30","10","10806","6","10","53002","8"
"22","4","32","9","10807","7","9","53002","8"
"22","4","34","8","10808","8","8","53002","8"
"22","5","36","7","10809","9","0","53002","8"
"22","1","20","15","10901","1","15","53002","9"
"22","1","22","14","10902","2","14","53002","9"
"22","2","24","13","10903","3","13","53002","9"
"22","2","26","12","10904","4","12","53002","9"
"22","3","28","11","10905","5","11","53002","9"
"22","3","30","10","10906","6","10","53002","9"
"22","4","32","9","10907","7","9","53002","9"
"22","4","34","8","10908","8","8","53002","9"
"22","5","36","7","10909","9","0","53002","9"
"22","1","20","15","11001","1","15","53002","10"
"22","1","22","14","11002","2","14","53002","10"
"22","2","24","13","11003","3","13","53002","10"
"22","2","26","12","11004","4","12","53002","10"
"22","3","28","11","11005","5","11","53002","10"
"22","3","30","10","11006","6","10","53002","10"
"22","4","32","9","11007","7","9","53002","10"
"22","4","34","8","11008","8","8","53002","10"
"22","5","36","7","11009","9","0","53002","10"
"22","1","20","15","11101","1","15","53002","11"
"22","1","22","14","11102","2","14","53002","11"
"22","2","24","13","11103","3","13","53002","11"
"22","2","26","12","11104","4","12","53002","11"
"22","3","28","11","11105","5","11","53002","11"
"22","3","30","10","11106","6","10","53002","11"
"22","4","32","9","11107","7","9","53002","11"
"22","4","34","8","11108","8","8","53002","11"
"22","5","36","7","11109","9","0","53002","11"
