fa4fa81043c312dc659cf173f18e2ada199eadf1f6ae888d2a52b40c11a5d07e,0be138d1ff32ac0147aacab4e38343e41c0fff0efd4da76a8707a52c011528f6,18e5f67483ad90c2993f02a6f8d6442855d8294c6a143260b1bd73b037c7ea11,8de20e57b4348c9862dbbae853939ec55ca9841ec08e2286152c8c5c46e25dc9,031a7d539196105b829a3c82de7b06147d9df7903306debae732e6e94ab84794,5a86e7954521357c041f76842478562ac9181633ec3251535b38990d244647b6,155a6440e94b25bca5215243629e54c4f27154c78cfcff1bee9e8a97a6bcc6be,f0b8e7467c78cb558858de198f040ae526856a5ee0b279e53c10cd1df1cab8c5,5b41a74d05a5d3fe7baf540ee61cf426bb7fa6d5db3e3e8da657b29c0b1bbe52,27d8fefdfd0c7bf8d67ab44fbb2fc1cb99b4bd17e39348fbe9e31c210acbef3a,ab9e6956addeeb1dcd2ae9a50bf14d90a000fe836425047ac9070ef5ca87a12e,2f923c96208e0f944a205897286be61944c661804cd7cf01e3f828e159bd8f08,80f67e84814097d6f91957cefa7940fd998deb6e5554e706581123a67a61105a,04ad9d33b8800322917ced69c251cdaab34728e5d6a5212873597675c09c124a,4eea330d8eaeba18c7e10cdda249efa561c0bba2a5106e782b04cc3cc7804679
"81010001","0","9001","3","0","2019/06/03 16:00:00","81010001","601","0","10010","2019/06/21 15:59:59","6011","打倒優衣、怜、日和的闇影","103","0"
"81010002","0","9014","36","0","2019/06/03 16:00:00","81010002","601","0","10010","2019/06/21 15:59:59","6011","消滅 36 個煩惱","104","0"
"81010003","0","9014","72","0","2019/06/03 16:00:00","81010003","601","0","10010","2019/06/21 15:59:59","6011","消滅 72 個煩惱","105","0"
"81010004","0","9014","108","0","2019/06/03 16:00:00","81010004","601","0","10010","2019/06/21 15:59:59","6011","消滅 108 個煩惱","106","0"
"81010005","0","9013","500000","0","2019/06/03 16:00:00","81010005","601","0","10010","2019/06/21 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 1080000","111","0"
"81010006","0","9013","1040000","0","2019/06/03 16:00:00","81010006","601","0","10010","2019/06/21 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 540000","113","0"
"81010007","0","9013","1580000","0","2019/06/03 16:00:00","81010007","601","0","10010","2019/06/21 15:59:59","6011","將特別戰鬥的 Boss 消滅","115","0"
"81011001","0","9013","500000","0","2019/07/01 16:00:00","81011001","601","0","10011","2019/07/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 5000000","103","0"
"81011002","0","9013","1500000","0","2019/07/01 16:00:00","81011002","601","0","10011","2019/07/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 4000000","104","0"
"81011003","0","9013","1650000","0","2019/07/01 16:00:00","81011003","601","0","10011","2019/07/18 15:59:59","6011","完成特別戰鬥的模式1","105","0"
"81011004","0","9013","3500000","0","2019/01/31 12:00:00","81011004","601","0","10011","2019/02/18 14:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 2000000","106","0"
"81011005","0","9013","3300000","0","2019/01/31 12:00:00","81011005","601","0","10011","2019/02/18 14:59:59","6011","完成特別戰鬥的模式2","111","0"
"81011006","0","9013","4600000","0","2019/07/01 16:00:00","81011006","601","0","10011","2019/07/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 900000","113","0"
"81011007","0","9013","5500000","0","2019/07/01 16:00:00","81011007","601","0","10011","2019/07/18 15:59:59","6011","將特別戰鬥的 Boss 消滅","115","0"
"81012001","0","9001","4","0","2019/07/17 16:00:00","81012001","601","0","10012","2019/08/03 15:59:59","6011","打倒香織、真琴、真步、霞的闇影","103","0"
"81012002","0","9013","450000","0","2019/07/17 16:00:00","81012002","601","0","10012","2019/08/03 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 2700000","104","0"
"81012003","0","9013","1050000","0","2019/07/17 16:00:00","81012003","601","0","10012","2019/08/03 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 2100000","105","0"
"81012004","0","9013","1543500","0","2019/07/17 16:00:00","81012004","601","0","10012","2019/08/03 15:59:59","6011","完成特別戰鬥的模式2","106","0"
"81012005","0","9013","2150000","0","2019/07/17 16:00:00","81012005","601","0","10012","2019/08/03 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 1000000","111","0"
"81012006","0","9013","2650000","0","2019/07/17 16:00:00","81012006","601","0","10012","2019/08/03 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 500000","113","0"
"81012007","0","9013","3150000","0","2019/07/17 16:00:00","81012007","601","0","10012","2019/08/03 15:59:59","6011","將特別戰鬥的 Boss 消滅","115","0"
"81013001","0","9001","3","0","2019/08/01 16:00:00","81013001","601","0","10013","2019/08/19 15:59:59","6011","打倒貪吃佩可、可可蘿、凱留的闇影","103","0"
"81013002","0","9013","300000","0","2019/08/01 16:00:00","81013002","601","0","10013","2019/08/19 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 2700000","104","0"
"81013003","0","9013","900000","0","2019/08/01 16:00:00","81013003","601","0","10013","2019/08/19 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 2100000","105","0"
"81013004","0","9013","1500000","0","2019/08/01 16:00:00","81013004","601","0","10013","2019/08/19 15:59:59","6011","完成特別戰鬥的模式2","106","0"
"81013005","0","9013","2000000","0","2019/08/01 16:00:00","81013005","601","0","10013","2019/08/19 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 1000000","111","0"
"81013006","0","9013","2500000","0","2019/08/01 16:00:00","81013006","601","0","10013","2019/08/19 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 500000","113","0"
"81013007","0","9013","3000000","0","2019/08/01 16:00:00","81013007","601","0","10013","2019/08/19 15:59:59","6011","將特別戰鬥的 Boss 消滅","115","0"
"81015001","0","9001","3","0","2019/09/03 16:00:00","81015001","601","0","10015","2019/09/18 15:59:59","6011","打倒莫妮卡、步未、雪的闇影","103","0"
"81015002","0","9013","300000","0","2019/09/03 16:00:00","81015002","601","0","10015","2019/09/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 1200000","104","0"
"81015003","0","9013","500000","0","2019/09/03 16:00:00","81015003","601","0","10015","2019/09/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 1000000","105","0"
"81015004","0","9013","750000","0","2019/09/03 16:00:00","81015004","601","0","10015","2019/09/18 15:59:59","6011","完成特別戰鬥的模式2","106","0"
"81015005","0","9013","1100000","0","2019/09/03 16:00:00","81015005","601","0","10015","2019/09/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 400000","111","0"
"81015006","0","9013","1300000","0","2019/09/03 16:00:00","81015006","601","0","10015","2019/09/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 200000","113","0"
"81015007","0","9013","1500000","0","2019/09/03 16:00:00","81015007","601","0","10015","2019/09/18 15:59:59","6011","將特別戰鬥的 Boss 消滅","115","0"
"81017001","0","9001","2","0","2019/10/01 16:00:00","81017001","601","0","10017","2019/10/18 15:59:59","6011","打倒雷姆與拉姆的闇影","103","0"
"81017002","0","9013","300000","0","2019/10/01 16:00:00","81017002","601","0","10017","2019/10/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 2850000","104","0"
"81017003","0","9013","900000","0","2019/10/01 16:00:00","81017003","601","0","10017","2019/10/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 2250000","105","0"
"81017004","0","9013","1500000","0","2019/10/01 16:00:00","81017004","601","0","10017","2019/10/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 1650000","106","0"
"81017005","0","9013","2000000","0","2019/10/01 16:00:00","81017005","601","0","10017","2019/10/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 1150000","111","0"
"81017006","0","9013","2500000","0","2019/10/01 16:00:00","81017006","601","0","10017","2019/10/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 650000","113","0"
"81017007","0","9013","3000000","0","2019/10/01 16:00:00","81017007","601","0","10017","2019/10/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 150000","115","0"
"81017008","0","9015","1","0","2019/10/01 16:00:00","81017008","601","5","10017","2019/10/18 15:59:59","6011","在5次以內，討伐EXHIBITION或特別戰鬥的BOSS","118","0"
"81019001","4","9014","200","0","2019/11/01 16:00:00","81019001","601","0","10019","2019/11/18 15:59:59","6011","破壞雨神大人的護盾","103","0"
"81019002","1","9013","900000","0","2019/11/01 16:00:00","81019002","601","0","10019","2019/11/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 3600000","104","0"
"81019003","1","9013","1500000","0","2019/11/01 16:00:00","81019003","601","0","10019","2019/11/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 3000000","105","0"
"81019004","1","9013","2250000","0","2019/11/01 16:00:00","81019004","601","0","10019","2019/11/18 15:59:59","6011","完成特別戰鬥的模式2","106","0"
"81019005","1","9013","3300000","0","2019/11/01 16:00:00","81019005","601","0","10019","2019/11/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 1200000","111","0"
"81019006","1","9013","3900000","0","2019/11/01 16:00:00","81019006","601","0","10019","2019/11/18 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 600000","113","0"
"81019007","1","9013","4500000","0","2019/11/01 16:00:00","81019007","601","0","10019","2019/11/18 15:59:59","6011","討伐特別戰鬥的 Boss","115","0"
"81019008","0","9015","1","0","2019/11/01 16:00:00","81019008","601","5","10019","2019/11/18 15:59:59","6011","在5次以內，討伐EXHIBITION或特別戰鬥的BOSS","118","0"
"81021001","1","9013","600000","0","2019/12/02 16:00:00","81021001","601","0","10021","2019/12/17 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 2550000","103","0"
"81021002","1","9013","1260000","0","2019/12/02 16:00:00","81021002","601","0","10021","2019/12/17 15:59:59","6011","完成特別戰鬥的模式1","104","0"
"81021003","0","9014","15","0","2019/12/02 16:00:00","81021003","601","0","10021","2019/12/17 15:59:59","6011","打倒 15 隻奄美魔物的分身","105","0"
"81021004","0","9014","30","0","2019/12/02 16:00:00","81021004","601","0","10021","2019/12/17 15:59:59","6011","完成特別戰鬥的模式2","106","0"
"81021005","1","9013","1700000","0","2019/12/02 16:00:00","81021005","601","0","10021","2019/12/17 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 1450000","111","0"
"81021006","1","9013","2300000","0","2019/12/02 16:00:00","81021006","601","0","10021","2019/12/17 15:59:59","6011","將特別戰鬥的 Boss 的 HP 降低至 850000","113","0"
"81021007","1","9013","3150000","0","2019/12/02 16:00:00","81021007","601","0","10021","2019/12/17 15:59:59","6011","討伐特別戰鬥的 Boss","115","0"
