376ec27b8742b41871d90e7ab8e2fbc24a845b425b7bd090d6e35f744bffbabf,2a3e80536e22a477aae9e38fa395e38d23c7ae998e7f0963322dda596fbd4df9,4d62f50c5814b86e4d04ee92183248a9086a7eedf03ea336d7238ed3cb244d22,d829963da76c0f30c4c514ea2a8a223d20b28fec7138729317d74a92ab10385e,9a537ab08aca2ddb34481ef71f9f79d4722b44d6eb8332a694c1a4a864974fc9
"1","1","0","1038","150"
"2","2","0","1038","151"
"3","3","0","1038","152"
"4","4","0","1038","153"
"5","5","0","1038","154"
"1","6","0","1039","156"
"2","7","0","1039","157"
"3","8","0","1039","158"
"4","9","0","1039","159"
"5","10","0","1039","160"
"1","11","0","1040","162"
"2","12","0","1040","163"
"3","13","0","1040","164"
"4","14","0","1040","165"
"5","15","0","1040","166"
"1","16","0","1041","168"
"2","17","0","1041","169"
"3","18","0","1041","170"
"4","19","0","1041","171"
"5","20","0","1041","172"
"1","21","0","1042","174"
"2","22","0","1042","175"
"3","23","0","1042","176"
"4","24","0","1042","177"
"5","25","0","1042","178"
"1","26","0","1043","180"
"2","27","0","1043","181"
"3","28","0","1043","182"
"4","29","0","1043","183"
"5","30","0","1043","184"
"1","31","0","1044","186"
"2","32","0","1044","187"
"3","33","0","1044","188"
"4","34","0","1044","189"
"5","35","0","1044","190"
"1","36","0","1045","192"
"2","37","0","1045","193"
"3","38","0","1045","194"
"4","39","0","1045","195"
"5","40","0","1045","196"
"1","41","0","1046","198"
"2","42","0","1046","199"
"3","43","0","1046","200"
"4","44","0","1046","201"
"5","45","0","1046","202"
"1","46","0","1047","204"
"2","47","0","1047","205"
"3","48","0","1047","206"
"4","49","0","1047","207"
"5","50","0","1047","208"
"1","51","0","1048","210"
"2","52","0","1048","211"
"3","53","0","1048","212"
"4","54","0","1048","213"
"5","55","0","1048","214"
"1","56","0","1049","216"
"2","57","0","1049","217"
"3","58","0","1049","218"
"4","59","0","1049","219"
"5","60","0","1049","220"
"1","61","0","1050","222"
"2","62","0","1050","223"
"3","63","0","1050","224"
"4","64","0","1050","225"
"5","65","0","1050","226"
"1","66","0","1051","228"
"2","67","0","1051","229"
"3","68","0","1051","230"
"4","69","0","1051","231"
"5","70","0","1051","232"
"1","71","0","1052","234"
"2","72","0","1052","235"
"3","73","0","1052","236"
"4","74","0","1052","237"
"5","75","0","1052","238"
"1","76","0","1053","240"
"2","77","0","1053","241"
"3","78","0","1053","242"
"4","79","0","1053","243"
"5","80","0","1053","244"
"1","81","0","1054","246"
"2","82","0","1054","247"
"3","83","0","1054","248"
"4","84","0","1054","249"
"5","85","0","1054","250"
"1","86","0","1055","252"
"2","87","0","1055","253"
"3","88","0","1055","254"
"4","89","0","1055","255"
"5","90","0","1055","256"
"1","91","0","1056","258"
"2","92","0","1056","259"
"3","93","0","1056","260"
"4","94","0","1056","261"
"5","95","0","1056","262"
"1","96","0","1057","264"
"2","97","0","1057","265"
"3","98","0","1057","266"
"4","99","0","1057","267"
"5","100","0","1057","268"
"1","101","0","1058","270"
"2","102","0","1058","271"
"3","103","0","1058","272"
"4","104","0","1058","273"
"5","105","0","1058","274"
"1","106","0","1059","276"
"2","107","0","1059","277"
"3","108","0","1059","278"
"4","109","0","1059","279"
"1","111","0","1060","282"
"2","112","0","1060","283"
"3","113","0","1060","284"
"4","114","0","1060","285"
"1","116","0","1061","288"
"2","117","0","1061","289"
"3","118","0","1061","290"
"4","119","0","1061","291"
"1","121","0","1063","294"
"2","122","0","1063","295"
"3","123","0","1063","296"
"4","124","0","1063","297"
"1","125","0","1064","299"
"2","126","0","1064","300"
"3","127","0","1064","301"
"4","128","0","1064","302"
"1","129","0","1065","304"
"2","130","0","1065","305"
"3","131","0","1065","306"
"4","132","0","1065","307"
"1","133","0","1066","308"
"2","134","0","1066","310"
"3","135","0","1066","311"
"4","136","0","1066","312"
"1","137","0","1067","313"
"2","138","0","1067","315"
"3","139","0","1067","316"
"4","140","0","1067","317"
"1","141","0","1068","318"
"2","142","0","1068","320"
"3","143","0","1068","321"
"4","144","0","1068","322"
"1","145","0","1069","323"
"2","146","0","1069","325"
"3","147","0","1069","326"
"4","148","0","1069","327"
"1","149","0","1070","328"
"2","150","0","1070","330"
"3","151","0","1070","331"
"4","152","0","1070","332"
"1","153","0","1071","333"
"2","154","0","1071","335"
"3","155","0","1071","336"
"4","156","0","1071","337"
"1","157","0","1072","338"
"2","158","0","1072","340"
"3","159","0","1072","341"
"4","160","0","1072","342"
"1","161","0","1073","343"
"2","162","0","1073","345"
"3","163","0","1073","346"
"4","164","0","1073","347"
"1","165","0","1074","348"
"2","166","0","1074","350"
"3","167","0","1074","351"
"4","168","0","1074","352"
"1","169","0","1075","353"
"2","170","0","1075","355"
"3","171","0","1075","356"
"4","172","0","1075","357"
"1","173","0","1076","358"
"2","174","0","1076","360"
"3","175","0","1076","361"
"4","176","0","1076","362"
"1","177","0","1077","363"
"2","178","0","1077","365"
"3","179","0","1077","366"
"4","180","0","1077","367"
"1","181","0","1078","368"
"2","182","0","1078","370"
"3","183","0","1078","371"
"4","184","0","1078","372"
