311fc1c89490c718906636528f7e9dfc3f8aea8fb4bcbf6005b2b35f51ce1fe1,d0c1a38139cb53734e7c6088b50a2e8cb88eae2501e943554d2bc1e7d8688b5a,92bac4f1d4b3a11fcde648df6e0242af9ac1aa458e3698cd71fcf8ff31d38301,2806530c954e700cba0a5c1ebcf893a70eb4d734c2becbc74b3632895bacd4ab,d71b35bb0ed8bead3c609cb65d178981559d106ecfda0b52cac22b3cdc922b80,71f98badf10a874f42e0a5a1ac817d908fee5b8e39dbea9a12559029d2ea9409,0351ae940986f178395ff4855132a746b7970b80b831fd683ac2983f58c47453,a3010de2fa05792041b798a2edcbe4ae09ab19738e94309724ab81116a03e578
"1.朱諾平原","1.朱諾平原","2030/12/17 14:59:59","2015/12/17 15:00:00","bgm_M61","bgm_M61","11001","101"
"2.帕拉斯高原","2.帕拉斯高原","2030/12/17 14:59:59","2015/12/17 15:00:00","bgm_M61_02","bgm_M61","11002","101"
"3.赫柏丘陵","3.赫柏丘陵","2030/12/17 14:59:59","2015/12/17 15:00:00","bgm_M61_03","bgm_M61","11003","101"
"4.維斯塔溪谷","4.維斯塔溪谷","2030/12/17 14:59:59","2015/12/17 15:00:00","bgm_M61_04","bgm_M61","11004","101"
"5.刻瑞斯森林","5.刻瑞斯森林","2030/12/17 14:59:59","2015/12/17 15:00:00","bgm_M62_01","bgm_M62","11005","101"
"6.佛洛拉湖畔","6.佛洛拉湖畔","2030/12/17 14:59:59","2015/12/17 15:00:00","bgm_M62_02","bgm_M62","11006","101"
"7.墨提斯大瀑布","7.墨提斯大瀑布","2030/12/17 14:59:59","2015/12/17 15:00:00","bgm_M62_03","bgm_M62","11007","101"
"8.伊麗絲樹海","8.伊麗絲樹海","2030/12/17 14:59:59","2015/12/17 15:00:00","bgm_M42_02","bgm_M42","11008","101"
"9.弗麗嘉雪原","9.弗麗嘉雪原","2030/12/17 14:59:59","2015/12/17 15:00:00","bgm_M58","bgm_M58","11009","101"
"10.洛麗泰海岸","10.洛麗泰海岸","2030/12/17 14:59:59","2018/10/05 16:00:00","bgm_M101","bgm_M101","11010","101"
"11.蓋奴亞荒漠","11.蓋奴亞荒漠","2030/12/17 14:59:59","2018/11/07 16:00:00","bgm_M93","bgm_M93","11011","101"
"12.波諾尼亞砂丘","12.波諾尼亞砂丘","2030/12/17 14:59:59","2018/12/07 16:00:00","bgm_M94","bgm_M94","11012","101"
"13.朵羅西亞濕地","13.朵羅西亞溼地","2030/12/17 14:59:59","2019/01/03 16:00:00","bgm_M118","bgm_M118","11013","101"
"14.尤金尼亞熱地","14.尤金尼亞熱地","2030/12/17 14:59:59","2019/01/30 16:00:00","bgm_M95","bgm_M95","11014","101"
"15.塔利亞火山","15.塔利亞火山","2030/12/17 14:59:59","2019/02/18 16:00:00","bgm_M96","bgm_M96","11015","101"
"16.泰美斯銀嶺","16.泰美斯銀嶺","2030/12/17 14:59:59","2019/03/21 16:00:00","bgm_M140","bgm_M140","11016","101"
"17.菲得斯冰原","17.菲得斯冰原","2030/12/17 14:59:59","2015/12/17 15:00:00","bgm_M141","bgm_M141","11017","101"
"18.法艾頓\n　　　　　草原‧北部","18.法艾頓草原","2030/12/17 14:59:59","2015/12/17 15:00:00","bgm_M179","bgm_M179","11018","102"
"19.法艾頓\n　　　　　草原‧南部","19.法艾頓草原‧南部","2030/12/17 14:59:59","2019/06/17 16:00:00","bgm_M179","bgm_M179","11019","102"
"20.卡斯塔利亞\n　　　　　樹林‧西部","20.卡斯塔利亞樹林‧西部","2030/12/17 14:59:59","2019/08/15 16:00:00","bgm_M180","bgm_M180","11020","102"
"21.卡斯塔利亞\n　　　　　樹林‧東部","21.卡斯塔利亞樹林‧東部","2030/12/17 14:59:59","2019/08/15 16:00:00","bgm_M180","bgm_M180","11021","102"
"22.馬提爾德\n　　　　　岩峰‧南部","22.馬提爾德岩峰‧南部","2030/12/17 14:59:59","2019/09/17 16:00:00","bgm_M232","bgm_M232","11022","102"
"23.馬提爾德\n　　　　　岩峰‧北部","23.馬提爾德岩峰‧北部","2030/12/17 14:59:59","2019/09/17 16:00:00","bgm_M232","bgm_M232","11023","102"
"24.雷蒂烏斯\n　　　　　群峰‧西麓","24.雷蒂烏斯群峰‧西麓","2030/12/17 14:59:59","2019/10/15 16:00:00","bgm_M233","bgm_M233","11024","102"
