857209daee9aa19180e07e7506a3411d10dff71d0aa2a0bd0836dd2536511327,1f89a9d9c3a882a94d0cf1f93cb2fd4823585ee76145b2d96031bd959ca1de07,65305d89ed7dbc44154c13a1e5687399c28c680eaaca543d69be92c8bcadd704,589504741112be9be6151bde1726514cd6e220258346fe3d60d371de8aa2e876,330eca121c8d581c7dfc7b9a82ad3efaa391df538ffcbab3904638e8a15dd982,c81b223856c16247f073fae64f30aadeb5bc59ceac3c47fdd13220203fc04f16,905d1dca608ec5037164a30209b526ce23feeae950788522a31dbbe2d5c83a38,47fef825c3556950cc269fca67ff32413774b62bcf5d3aada5017ce22c126e93,405215eafd5655b6d21cfb237f20e3be62490ba92c8fafefeadcb49f140dbefc,c428d63216aaa96fbd410ec9ba91dd745c14f790f4c511ed9441fd10cf317974,7b72cc1c697c8454fa823a0ffc31040c0d60d63d576941340cce59d640d72779
"1","1","0","0","5","10011","1000","0","1","1","1"
"2","2","0","1","2","10012","2000","0","0","2","2"
"3","2","0","1","5","10013","2000","0","0","3","3"
"4","2","0","1","8","10014","2000","0","0","4","4"
"5","3","0","2","2","10015","3000","0","0","5","5"
"6","3","0","3","5","10016","3000","0","0","6","6"
"7","3","0","4","8","10017","3000","0","0","7","7"
"8","4","0","5","2","10018","4000","0","0","8","8"
"9","4","0","6","5","10019","4000","0","0","9","9"
"10","4","0","7","8","10020","4000","0","0","10","10"
"11","5","10","8","5","10021","10000","9","1","11","11"
"12","6","0","11","2","10022","8000","0","0","12","12"
"13","6","0","11","5","10023","8000","0","0","13","13"
"14","6","0","11","8","10024","8000","0","0","14","14"
"15","7","0","12","2","10025","10000","0","0","15","15"
"16","7","0","13","5","10026","10000","0","0","16","16"
"17","7","0","14","8","10027","10000","0","0","17","17"
"18","8","0","15","2","10028","12000","0","0","18","18"
"19","8","0","16","5","10029","12000","0","0","19","19"
"20","8","0","17","8","10028","12000","0","0","20","20"
"21","9","20","18","5","10030","20000","19","1","21","21"
"22","10","0","21","2","10012","10000","0","0","22","22"
"23","10","0","21","5","10013","10000","0","0","23","23"
"24","10","0","21","8","10014","10000","0","0","24","24"
"25","11","0","22","2","10015","12000","0","0","25","25"
"26","11","0","23","5","10016","12000","0","0","26","26"
"27","11","0","24","8","10017","12000","0","0","27","27"
"28","12","0","25","2","10018","14000","0","0","28","28"
"29","12","0","26","5","10019","14000","0","0","29","29"
"30","12","0","27","8","10020","14000","0","0","30","30"
"31","13","30","28","5","10032","20000","29","1","31","31"
"32","14","0","31","2","10022","12000","0","0","32","32"
"33","14","0","31","5","10023","12000","0","0","33","33"
"34","14","0","31","8","10024","12000","0","0","34","34"
"35","15","0","32","2","10025","14000","0","0","35","35"
"36","15","0","33","5","10026","14000","0","0","36","36"
"37","15","0","34","8","10027","14000","0","0","37","37"
"38","16","0","35","2","10028","16000","0","0","38","38"
"39","16","0","36","5","10029","16000","0","0","39","39"
"40","16","0","37","8","10028","16000","0","0","40","40"
"41","17","40","38","5","10033","30000","39","1","41","41"
"42","18","0","41","2","10012","17000","0","0","42","42"
"43","18","0","41","5","10013","17000","0","0","43","43"
"44","18","0","41","8","10014","17000","0","0","44","44"
"45","19","0","42","2","10015","20000","0","0","45","45"
"46","19","0","43","5","10016","20000","0","0","46","46"
"47","19","0","44","8","10017","20000","0","0","47","47"
"48","20","0","45","2","10018","23000","0","0","48","48"
"49","20","0","46","5","10019","23000","0","0","49","49"
"50","20","0","47","8","10020","23000","0","0","50","50"
"51","21","50","48","5","10011","50000","49","1","51","51"
"52","22","0","51","2","10022","23000","0","0","52","52"
"53","22","0","51","5","10023","23000","0","0","53","53"
"54","22","0","51","8","10024","23000","0","0","54","54"
"55","23","0","52","2","10025","27000","0","0","55","55"
"56","23","0","53","5","10026","27000","0","0","56","56"
"57","23","0","54","8","10027","27000","0","0","57","57"
"58","24","0","55","2","10028","30000","0","0","58","58"
"59","24","0","56","5","10029","30000","0","0","59","59"
"60","24","0","57","8","10028","30000","0","0","60","60"
"61","25","60","58","5","10034","70000","59","1","61","61"
"62","26","0","61","2","10012","31000","0","0","62","62"
"63","26","0","61","5","10013","31000","0","0","63","63"
"64","26","0","61","8","10014","31000","0","0","64","64"
"65","27","0","62","2","10015","35000","0","0","65","65"
"66","27","0","63","5","10016","35000","0","0","66","66"
"67","27","0","64","8","10017","35000","0","0","67","67"
"68","28","0","65","2","10018","39000","0","0","68","68"
"69","28","0","66","5","10019","39000","0","0","69","69"
"70","28","0","67","8","10020","39000","0","0","70","70"
"71","29","70","68","5","10035","100000","69","1","71","71"
"72","30","0","71","2","10022","39000","0","0","72","72"
"73","30","0","71","5","10023","39000","0","0","73","73"
"74","30","0","71","8","10024","39000","0","0","74","74"
"75","31","0","72","2","10025","43000","0","0","75","75"
"76","31","0","73","5","10026","43000","0","0","76","76"
"77","31","0","74","8","10027","43000","0","0","77","77"
"78","32","0","75","2","10028","47000","0","0","78","78"
"79","32","0","76","5","10029","47000","0","0","79","79"
"80","32","0","77","8","10028","47000","0","0","80","80"
"81","33","80","78","5","10021","130000","79","1","81","81"
