b40f3634737b58e13d62b6e25909e3ec3fddebd1895ff19fcf8490acb2b02037,57c24f4681147ceee3294d87c9077e53df678794430eb28fc44b7cdbf6019d8e,4cd373520a98e855224f9a5d057eef4394bd246024dd9810a4ad0b285ca50262,56733b99f35f1407f24fd739fce68bc5ef700ab75ae4a9896eb6ec6bfeafd150
"1","1","2500","1"
"1","2","2000","2"
"1","107","2000","3"
"1","4","2000","4"
"1","3","1000","5"
"1","110","1000","6"
"1","5","1000","7"
"1","6","2000","8"
"1","105","2000","9"
"1","7","2000","10"
"3","1000","0","11"
"1","100","20","12"
"1","108","1000","13"
"1","101","20","14"
"1","102","5","15"
"1","109","1000","16"
"1","103","5","17"
"1","1","500","18"
"2","2000","0","19"
"1","1","500","20"
"5","25","0","21"
"1","2","3000","22"
"1","107","3000","23"
"1","4","3000","24"
"1","3","1500","25"
"1","110","1500","26"
"1","5","1500","27"
"1","6","3000","28"
"1","105","3000","29"
"1","7","3000","30"
"6","1","0","31"
"1","100","30","32"
"1","108","1500","33"
"1","101","30","34"
"1","102","10","35"
"1","109","1500","36"
"1","103","10","37"
"1","1","500","38"
"2","3000","0","39"
"1","1","500","40"
"4","50","0","41"
