f40467f8b2ef9a52ba27d76458ea7e52f8585b73a63d7425222b41f61ef5553b,fe987dd36636e27ba57fd9522e500d1d294640b4f6dbf034ba96d32bc190247a,30f5f9186b127ed4f4a62acd260c451a470a75ace45e3fd6d9e95810b8356c12,80ac1ab6a40f0c24ce8a237e248dbb022641b8e6c2c21c4f49ef1cab051de7c1,61475ba110b581e9373c6c8e49caf498094755ac06c5d906155061824fc19d43,76c4d7d4375c01e679a7fc495142e1e40227621d5ae7001c7b6621e2c1a35d58
"1","10009101","1","10009106","1","0"
"2","10009101","1","10009112","1","0"
"3","10010101","1","10010110","1","0"
"4","10019101","2","1001901","1","0"
"5","10021101","1","10021112","1","0"
"6","10025101","1","10025109","1","0"
"7","10025","3","5025001","2","500810"
"8","20009101","1","20009106","1","0"
"9","20009101","1","20009112","1","0"
"10","20010101","1","20010110","1","0"
"12","10042","3","5042001","2","501001"
"13","20015101","2","2001501","1","0"
"14","10044","3","5044001","2","501031"
"15","20016101","1","20016112","1","0"
"16","10046","3","5046002","2","501103"
"17","10049101","1","10049109","1","0"
"19","10066101","1","10066112","1","0"
"20","10066","3","5066005","2","501291"
"21","10069","3","5042001","2","501001"
"22","10071","3","5044001","2","501031"
"23","10068","3","5068001","2","501341"
"24","10070","3","5070004","2","501353"
"25","10070","3","5070005","2","500016"
"26","10072","3","5072004","2","501364"
"27","10072","3","5072006","2","501365"
"28","10073","3","5046002","2","501103"
"29","10074","3","5074001","2","501383"
"30","10076101","1","10076112","1","0"
"31","10076","3","5076005","2","505036"
"32","10078","3","5078004","2","501451"
"33","10080","3","5080005","2","501463"
"34","10082101","1","10082105","1","0"
"35","10082102","1","10082108","1","0"
"36","10082103","1","10082111","1","0"
"37","10082","3","5082002","2","501160"
"38","10082","3","5082004","2","501031"
"39","10082","3","5082005","2","501483"
"40","10084","3","5084001","2","500368"
"41","10084","3","5084002","2","510306"
"42","10084","3","5084003","2","500039"
"43","10085","3","5085002","2","500368"
"44","10085","3","5085003","2","510203"
"45","10085","3","5085004","2","500272"
"46","10085","3","5085005","2","501501"
"47","10088","3","5088005","2","501810"
"50","20025","3","5042001","2","501001"
"51","10090","3","5090002","2","501541"
"55","20026","3","5044001","2","501031"
"56","10093101","1","10093112","1","0"
"57","10093","3","5066005","2","501291"
"58","20027","3","5046002","2","501103"
"59","10092","3","5092001","2","501031"
"60","10092","3","5092004","2","501551"
"61","10094","3","5094001","2","501593"
"62","10095","3","5068001","2","501341"
"67","20018","3","5025001","2","500810"
"68","10096","3","5096002","2","501613"
"73","10097","3","5070004","2","501353"
"74","10097","3","5070005","2","500016"
"75","10098","3","5098000","2","501031"
"76","10098101","1","10098104","1","0"
"77","10098102","1","10098111","1","0"
"78","10099","3","5072004","2","501364"
"79","10099","3","5072006","2","501365"
"80","10100","3","5100003","2","500837"
"82","10101","3","5074001","2","501383"
