55de7eb9064bce90003b0e854714675ff03e6f8e508060b259abb91aa1622ea5,4efe1ffba8c9d119467e6f56e7fe83222999a0e873b259d8603609bbc45d5c58,309877e2727fe263a33066ef26ca4078f24f50b7daea6d6ed9bf475dc594afca,55560699ccb9e710aa55f1582d8b725a91daee14a21c820e8b6133b807f836f7,76ca9e1d003608adc288cdd2539d0a829f7095ee08491dfa6a60dd6698ed3706,a3aa34de3a0ba978fd7ac8cde7601b258c18b1e28ab6c3229ec8a1b2f53b866b,fd6a0b0ba7d264f5db50739653531ace7771ae1aeef8ffbf4cd5b24f4ce82013,bbd6743bc2c7f374a4132e416d868bc6bad134da58db2b934c02c9be3641aee9,09ba29f17621ef69b80f3dc09aaf659290e8af9c087b5b21d3d58f143f60a693,515491dbd1bf3128946e297d85d93b3a6f11e3d7c0598105ee6e11575cce2335,4bd8fd6d3cfbafe502ba2fd22d54b9fde594cf0be5c208de891127fea09efea5,df2c8e77dca5466036ffa19ff1ee1f5a3cebbd31fca7a0ee2d231f3369e6300f
"1","0","0","0","vo_10011600","vo_10011600_1501","0","0","0","1150001","15","2"
"2","240","0","1","0","0","0","0","0.997402597402597","1150002","15","1"
"3","0","1","1","0","0","2.4974025974026","0","0","1150003","15","4"
"4","0","0","0","vo_10011600","vo_10011600_1502","0","0","0","1150004","15","2"
"5","118","0","2","0","0","0","0","0.748051948051948","1150005","15","1"
"6","0","1","2","0","0","0.848051948051948","0","0","1150006","15","4"
"7","0","0","0","vo_10011600","vo_10011600_1503","0","0","0","1150007","15","2"
"8","460","0","2","0","0","0","118","1.16363636363636","1150008","15","1"
"9","0","1","2","0","0","1.96363636363636","0","0","1150009","15","4"
"10","0","0","0","vo_10011600","vo_10011600_1504","0","0","0","1150010","15","2"
"11","500","0","3","0","0","0","0","2.07792207792208","1150011","15","1"
"12","0","1","3","0","0","3.47792207792208","0","0","1150012","15","4"
"13","0","0","0","vo_10011600","vo_10011600_1505","0","0","0","1150013","15","2"
"14","248","0","4","0","0","0","0","1.24675324675325","1150014","15","1"
"15","0","1","4","0","0","2.24675324675325","0","0","1150015","15","4"
"16","0","0","0","vo_10011600","vo_10011600_1506","0","0","0","1150016","15","2"
"17","770","0","4","0","0","0","248","1.95324675324675","1150017","15","1"
"18","0","1","4","0","0","1.95324675324675","0","0","1150018","15","4"
"19","0","0","0","vo_10011600","vo_10011600_1507","0","0","0","1150019","15","2"
"20","359","0","5","0","0","0","0","2.07792207792208","1150020","15","1"
"21","0","1","5","0","0","2.97792207792208","0","0","1150021","15","4"
"22","0","0","0","vo_10011600","vo_10011600_1508","0","0","0","1150022","15","2"
"23","770","0","5","0","0","0","359","1.12207792207792","1150023","15","1"
"24","0","1","5","0","0","2.02207792207792","0","0","1150024","15","4"
"25","0","0","0","vo_10011600","vo_10011600_1509","0","0","0","1150025","15","2"
"26","277","0","6","0","0","0","0","1.32987012987013","1150026","15","1"
"27","0","1","6","0","0","2.57987012987013","0","0","1150027","15","4"
"28","0","0","0","vo_10011600","vo_10011600_1510","0","0","0","1150028","15","2"
"29","770","0","6","0","0","0","277","1.87012987012987","1150029","15","1"
"30","0","1","6","0","0","2.87012987012987","0","0","1150030","15","4"
"31","0","0","0","vo_10011600","vo_10011600_1511","0","0","0","1150031","15","2"
"32","361","0","7","0","0","0","0","1.55844155844156","1150032","15","1"
"33","0","1","7","0","0","1.75844155844156","0","0","1150033","15","4"
"34","0","0","0","vo_10011600","vo_10011600_1512","0","0","0","1150034","15","2"
"35","726","0","7","0","0","0","361","1.26753246753247","1150035","15","1"
"36","0","1","7","0","0","2.51753246753247","0","0","1150036","15","4"
"37","0","0","0","vo_10011600","vo_10011600_1513","0","0","0","1150037","15","2"
"38","793","0","8","0","0","0","0","1.99480519480519","1150038","15","1"
"39","0","1","8","0","0","2.49480519480519","0","0","1150039","15","4"
"40","0","0","0","vo_10011600","vo_10011600_1514","0","0","0","1150040","15","2"
"41","793","0","8","0","0","0","793","1.03896103896104","1150041","15","1"
"42","0","1","8","0","0","2.53896103896104","0","0","1150042","15","4"
"43","400","0","9","0","0","0","0","0.01","1150043","15","1"
"44","0","1","9","0","0","0","0","0","1150044","15","4"
"45","0","0","0","vo_10011600","vo_10011600_1515","0","0","0","1150045","15","2"
