d059f5a3d1bf067850dbff00a3d9af03f291a3db89f63e44cac8c916b8cd7dd6,81c63178092721accb66c902fa0a0890b33c51ef619e49d72debbcd8b167e055,188479fefdc34cb85e0421f4cea4234736ccc3436386c0158af210e76f2ab3b6,7f0d1a28fe47cf34ebacaea01abb4e49fc70746d35fd271ea9a5a2d9f73944ab,d0a23935b3493bcf6395593aa9b8c98284027219a02e694cd65b10ed91886e07,2c417c2a0362d54a17e506010320bd12ec53b2f414d88fa0a6213ed9b7e99224,c88fd867519072cb2724fa94bcd68794102a5e606929455edb72a052ce0187ab
"21","0","0","2021/04/25 04:59:59","400","2021/04/23 05:00:00","70004"
"22","0","0","2021/04/25 04:59:59","401","2021/04/23 05:00:00","70004"
"23","0","1","0","416","0","70005"
"24","0","2","0","417","0","70005"
"25","0","3","0","418","0","70005"
"26","0","3","2021/07/18 04:59:59","9002001","2021/07/17 05:00:00","80004"
"27","0","3","2021/07/19 04:59:59","9002002","2021/07/18 05:00:00","80004"
"28","0","3","2021/07/20 04:59:59","9002003","2021/07/19 05:00:00","80004"
"29","0","3","2021/07/21 04:59:59","9002004","2021/07/20 05:00:00","80004"
"30","0","3","2021/07/22 04:59:59","9002005","2021/07/21 05:00:00","80004"
"31","0","3","2021/07/23 04:59:59","9002006","2021/07/22 05:00:00","80004"
"32","0","3","2021/07/24 04:59:59","9002007","2021/07/23 05:00:00","80004"
"33","0","3","2021/07/25 04:59:59","9002008","2021/07/24 05:00:00","80004"
"34","0","3","2021/07/26 04:59:59","9002009","2021/07/25 05:00:00","80004"
"35","0","3","2021/07/27 04:59:59","9002010","2021/07/26 05:00:00","80004"
"36","0","3","2021/07/28 04:59:59","9002011","2021/07/27 05:00:00","80004"
"37","0","3","2021/07/29 04:59:59","9002012","2021/07/28 05:00:00","80004"
"38","0","3","2021/07/30 04:59:59","9002013","2021/07/29 05:00:00","80004"
"39","0","3","2021/07/31 04:59:59","9002014","2021/07/30 05:00:00","80004"
"40","0","3","2021/08/01 04:59:59","9002015","2021/07/31 05:00:00","80004"
"41","0","3","2021/08/02 04:59:59","9002016","2021/08/01 05:00:00","80004"
"42","1","3","2021/08/03 04:59:59","9002017","2021/08/02 05:00:00","80004"
"43","0","0","2022/04/25 04:59:59","400","2022/04/24 05:00:00","70006"
"44","0","0","2022/04/26 04:59:59","401","2022/04/25 05:00:00","70006"
"45","0","3","2022/07/17 04:59:59","9004001","2022/07/16 05:00:00","80006"
"46","0","3","2022/07/18 04:59:59","9004002","2022/07/17 05:00:00","80006"
"47","0","3","2022/07/19 04:59:59","9004003","2022/07/18 05:00:00","80006"
"48","0","3","2022/07/20 04:59:59","9004004","2022/07/19 05:00:00","80006"
"49","0","3","2022/07/21 04:59:59","9004005","2022/07/20 05:00:00","80006"
"50","0","3","2022/07/22 04:59:59","9004006","2022/07/21 05:00:00","80006"
"51","0","3","2022/07/23 04:59:59","9004007","2022/07/22 05:00:00","80006"
"52","0","3","2022/07/24 04:59:59","9004008","2022/07/23 05:00:00","80006"
"53","0","3","2022/07/25 04:59:59","9004009","2022/07/24 05:00:00","80006"
"54","0","3","2022/07/26 04:59:59","9004010","2022/07/25 05:00:00","80006"
"55","0","3","2022/07/27 04:59:59","9004011","2022/07/26 05:00:00","80006"
"56","0","3","2022/07/28 04:59:59","9004012","2022/07/27 05:00:00","80006"
"57","0","3","2022/07/29 04:59:59","9004013","2022/07/28 05:00:00","80006"
"58","0","3","2022/07/30 04:59:59","9004014","2022/07/29 05:00:00","80006"
"59","0","3","2022/07/31 04:59:59","9004015","2022/07/30 05:00:00","80006"
"60","0","3","2022/08/01 04:59:59","9004016","2022/07/31 05:00:00","80006"
"61","1","3","2022/08/02 04:59:59","9004017","2022/08/01 05:00:00","80006"
"62","0","1","0","436","0","70007"
"63","0","2","0","437","0","70007"
"64","0","3","0","438","0","70007"
"65","0","3","2023/01/07 04:59:59","9005001","2023/01/06 05:00:00","80007"
"66","0","3","2023/01/08 04:59:59","9005002","2023/01/07 05:00:00","80007"
"67","0","3","2023/01/09 04:59:59","9005003","2023/01/08 05:00:00","80007"
"68","0","3","2023/01/10 04:59:59","9005004","2023/01/09 05:00:00","80007"
"69","0","3","2023/01/11 04:59:59","9005005","2023/01/10 05:00:00","80007"
"70","0","3","2023/01/12 04:59:59","9005006","2023/01/11 05:00:00","80007"
"71","0","3","2023/01/13 04:59:59","9005007","2023/01/12 05:00:00","80007"
"72","0","3","2023/01/14 04:59:59","9005008","2023/01/13 05:00:00","80007"
"73","0","3","2023/01/15 04:59:59","9005009","2023/01/14 05:00:00","80007"
"74","0","3","2023/01/16 04:59:59","9005010","2023/01/15 05:00:00","80007"
"75","0","3","2023/01/17 04:59:59","9005011","2023/01/16 05:00:00","80007"
"76","0","3","2023/01/18 04:59:59","9005012","2023/01/17 05:00:00","80007"
"77","0","3","2023/01/19 04:59:59","9005013","2023/01/18 05:00:00","80007"
"78","0","3","2023/01/20 04:59:59","9005014","2023/01/19 05:00:00","80007"
"79","1","3","2023/01/21 04:59:59","9005015","2023/01/20 05:00:00","80007"
"80","0","0","2023/04/25 04:59:59","400","2023/04/24 05:00:00","70008"
"81","0","0","2023/04/26 04:59:59","401","2023/04/25 05:00:00","70008"
"82","0","1","0","439","0","70009"
"83","0","3","2023/07/18 04:59:59","9006001","2023/07/17 05:00:00","80008"
"84","0","3","2023/07/19 04:59:59","9006002","2023/07/18 05:00:00","80008"
"85","0","3","2023/07/20 04:59:59","9006003","2023/07/19 05:00:00","80008"
"86","0","3","2023/07/21 04:59:59","9006004","2023/07/20 05:00:00","80008"
