3bf726de6ae7f004eb1cc63099d260c2257575b06055b10f848a6844b5d66b65,a09e2d9a96acf1944bc08f0a56be2e6d5a49c99e05a702c2438cd9b85423def1,30da3eeee26764645739e49a0b5d53a47bfd564c725abac1e4a2482afa45d598,b0239ee04bd13865064a71e0aa5334c8958a9aad90a2a180e2a9e4fa1074adec,7e8487e4a463d9b6897cb4ac18bb116b2bd74fc01da71d7a2c8af3855b321a34,303067bf90203098cdf69e8d5b662ed1da3509f936d4633c4cdc231b77b12121,6025b5bb697da7c9157febf5663febbc709e717b3c9c119b2f2e8bd84833fff4,c904ac46046777f866a45a32fecc3b3fb89cfc1f62617444caa495a13198b476,9a064ed6b425bcd1c184eeba27e20463e0fd7168e7a7fb18b012d65986bb4025,f89051f4b73af19f66c9c81c4ec0700443e9033d0225d5be33f8297906dbc73b,2558eee6f11d6cbd15c0cae58f7c65ced4ec505aeea6df71fd7a451fdea20b89
"1","100","ttk_idle_def","1000","1010001","102611","1","-120","1","1","5"
"2","0","","0","1010002","2","","1","1","1","31"
"1","-120","","-80","1010003","1","","1","1","1","31"
"1","","","","1010004","","","","","1","93"
"vo_minigame_1005","0","","0","1010005","vo_minigame_1005_top_000","","","","1","21"
"102611","ttk_idle_doya","","0","1010006","ttk_doya","0.3","1","0.3","1","3"
"102611","","","8","1010007","我會把大家\n交代的工作做好的","0","","0","1","11"
"0","","","","1010008","","","","","1","91"
"1","100","ttk_idle_def","1000","1020001","102611","1","-120","1","2","5"
"2","0","","0","1020002","2","","1","1","2","31"
"1","-120","","-80","1020003","1","","1","1","2","31"
"1","","","","1020004","","","","","2","93"
"vo_minigame_1005","0","","0","1020005","vo_minigame_1005_top_001","","","","2","21"
"102611","ttk_idle_def","","0","1020006","ttk_idle_smile","0.3","1","0.3","2","3"
"102611","","","8","1020007","我會讓你後悔\n出現在\n我面前的","0","","0","2","11"
"0","","","","1020008","","","","","2","91"
"1","100","ttk_idle_def","1000","1030001","102611","1","-120","1","3","5"
"2","0","","0","1030002","2","","1","1","3","31"
"1","-120","","-80","1030003","1","","1","1","3","31"
"1","","","","1030004","","","","","3","93"
"vo_minigame_1005","0","","0","1030005","vo_minigame_1005_top_002","","","","3","21"
"102611","ttk_idle_joy","","0","1030006","ttk_joy","0.3","1","0.1","3","3"
"102611","","","8","1030007","只要掌握到訣竅\n其實也還蠻開心的\n不對，勞動就是勞動……","0","","0","3","11"
"2.2","","","","1030008","","","","","3","93"
"102611","","","1","1030009","ttk_talk_sad","0.3","","0.3","3","3"
"3","","","","1030010","","","","","3","93"
"102611","","","1","1030011","ttk_idle_def","0.3","","0.3","3","3"
"0","","","","1030012","","","","","3","91"
"1","100","ttk_idle_def","1000","1040001","102611","1","-120","1","4","5"
"2","0","","0","1040002","2","","1","1","4","31"
"1","-120","","-80","1040003","1","","1","1","4","31"
"1","","","","1040004","","","","","4","93"
"vo_minigame_1005","0","","0","1040005","vo_minigame_1005_top_003","","","","4","21"
"102611","ttk_idle_shock","","0","1040006","ttk_shock","0.3","1","0.3","4","3"
"102611","","","8","1040007","我根本不想知道\n老鼠的事情好嗎\n唉……麻煩死了","0","","0","4","11"
"5","","","","1040008","","","","","4","93"
"102611","","","1","1040009","ttk_idle_def","0.3","","0.3","4","3"
"0.7","","","","1040010","","","","","4","93"
"1","100","ttk_idle_def","1000","1050001","102611","1","-120","1","5","5"
"2","0","","0","1050002","2","","1","1","5","31"
"1","-120","","-80","1050003","1","","1","1","5","31"
"1","","","","1050004","","","","","5","93"
"vo_minigame_1005","0","","0","1050005","vo_minigame_1005_top_004","","","","5","21"
"102611","","","0","1050006","ttk_surprise","0.3","","0.3","5","3"
"102611","","","8","1050007","唔哇！？\n別過來！\n唉……一隻接著一隻\n趕老鼠還真不容易……","0","","0","5","11"
"0.9","","","","1050008","","","","","5","93"
"102611","","","1","1050009","ttk_talk_anger","0.3","","0.3","5","3"
"0.8","","","","1050010","","","","","5","93"
"102611","ttk_talk_sad","","0","1050011","ttk_sad","0.3","1","0.3","5","3"
"5","","","","1050012","","","","","5","93"
"102611","","","1","1050013","ttk_idle_def","0.3","","0.3","5","3"
"0","","","","1050014","","","","","5","91"
"1","100","ttk_idle_def","1000","1060001","102611","1","-120","1","6","5"
"2","0","","0","1060002","2","","1","1","6","31"
"1","-120","","-80","1060003","1","","1","1","6","31"
"1","","","","1060004","","","","","6","93"
"vo_minigame_1005","0","","0","1060005","vo_minigame_1005_top_005","","","","6","21"
"102611","","","1","1060006","ttk_idle_worry","0.3","","0.3","6","3"
"102611","","","8","1060007","我完全不想要\n習慣這種事情……\n不過為了牧場，\n也只能這麼做了","0","","0","6","11"
"7","","","","1060008","","","","","6","93"
"102611","ttk_idle_def","","0","1060009","ttk_amz","0.3","1","0.3","6","3"
"0","","","","1060010","","","","","6","91"
