37d1c781aad28ac76ecd7572c0078dbc5b9602b9179091d966a7a4cec76e4754,426ffede45e50178b0eacec88724746aac3398cb25f1a005036bc0e3310383c3,70eeca24347f18ae11dce0ddd45118d07da898fcf6b218e4bbafac8f3d9b4f14,09cf18b5ad297934e98735770de405af2b55f69057cfa9536792b11bd5e6de86,466483bc25731ddf1e26787dbf7ac92e393a48054c3075691fbdb0c666a29ee2,7de2abe44820dc81c91bcb0cf551a5cb383da10caec1af81cfa02fead3aa5ccf,7c215eca80a57fa55e9df2527955787acfa4fcfbe23ff668f67c6564336bd604,eb0e6a06a366badd2fb6e652ab8b5950db151b4fedbd30eaa73d7ee217032acc,f8ba0a51e6a9d29cb8d0b30a709df451050327d1f156db28dc657de1d984b9ea,5f160f637a58459d249cc35f6cb44dd3d4ae9bdbc79987f78cba343ee5b3ca34,1c84f058c8fa3fc0e533e313fe03b20132bf54f4ad6517b03946db6185d2cb90
"","","","se_travel_start_1pt","101110001","111","23","0","","se_travel",""
"1","0","1","10010","101110002","111","31","0","","10010",""
"1","0","1","10011","101110003","111","31","0","","10011",""
"1","0","0","10020","101110004","111","31","0","","10020",""
"-150","-150","0.68","1001001","101110005","111","1","62","<weapon>_idle","2","0"
"-75","-250","0.68","1001002","101110006","111","1","61","<weapon>_idle","2","0"
"-180","-350","0.68","1001003","101110007","111","1","63","<weapon>_idle","2","0"
"-75","-450","0.68","1001004","101110008","111","1","61","<weapon>_idle","2","0"
"-150","-550","0.68","1001005","101110009","111","1","62","<weapon>_idle","2","0"
"0.68","-150","1","1001001","101110010","111","31","-150","","10012","0"
"0.68","-75","1","1001002","101110011","111","31","-250","","10012","0"
"0.68","-180","1","1001003","101110012","111","31","-350","","10012","0"
"0.68","-75","1","1001004","101110013","111","31","-450","","10012","0"
"0.68","-150","1","1001005","101110014","111","31","-550","","10012","0"
"1","0","0","10030","101110015","111","31","0","","10030",""
"1","0","0","10031","101110016","111","31","0","","10031",""
"","","","0","101110017","111","91","","","",""
"","","","1","101110018","111","32","","","10030",""
"","","","0","101110019","111","91","","","0",""
"0","","0","<weapon>_run","101110020","111","3","1","","1001001",""
"0","","0","<weapon>_run","101110021","111","3","1","","1001002",""
"0","","0","<weapon>_run","101110022","111","3","1","","1001003",""
"0","","0","<weapon>_run","101110023","111","3","1","","1001004",""
"0","","0","<weapon>_run","101110024","111","3","1","","1001005",""
"0","3","","800","101110025","111","2","-150","","1001001",""
"0","3","","700","101110026","111","2","-75","","1001002",""
"0","3","","600","101110027","111","2","-180","","1001003",""
"0","3","","500","101110028","111","2","-75","","1001004",""
"0","3","","400","101110029","111","2","-150","","1001005",""
"0","3","","800","101110030","111","33","-150","","1001001",""
"0","3","","700","101110031","111","33","-75","","1001002",""
"0","3","","600","101110032","111","33","-180","","1001003",""
"0","3","","500","101110033","111","33","-75","","1001004",""
"0","3","","400","101110034","111","33","-150","","1001005",""
"","","","1","101110035","111","32","","","10020",""
"","","","0","101110036","111","93","","","2.5",""
"","","","1","101110037","111","32","","","10031",""
"","","","0","101110038","111","93","","","0.4",""
"","","","0","101110039","111","91","","","0",""
"","","","se_travel_start_2pt","102110001","211","23","0","","se_travel",""
"1","0","1","10010","102110002","211","31","0","","10010",""
"1","0","1","10011","102110003","211","31","0","","10011",""
"1","0","0","10020","102110004","211","31","0","","10020",""
"-90","-100","0.68","1001001","102110005","211","1","62","<weapon>_idle","2","0"
"-15","-170","0.68","1001002","102110006","211","1","61","<weapon>_idle","2","0"
"-105","-240","0.68","1001003","102110007","211","1","63","<weapon>_idle","2","0"
"-15","-310","0.68","1001004","102110008","211","1","61","<weapon>_idle","2","0"
"-90","-380","0.68","1001005","102110009","211","1","62","<weapon>_idle","2","0"
"0.68","-90","1","1001001","102110010","211","31","-100","","10012","0"
"0.68","-15","1","1001002","102110011","211","31","-170","","10012","0"
"0.68","-105","1","1001003","102110012","211","31","-240","","10012","0"
